"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.131050000E-2,1.095310211E0,-7.024817467E-1,2.154594660E-1,1.318941941E0
2.977334600E-2,-6.135654449E-2,-2.593750954E-1,2.565009594E-1,3.699091886E-1
3.799084600E-2,9.823799133E-3,4.199638367E-1,3.208066225E-1,5.285669496E-1
4.602134600E-2,6.118650436E-1,1.217839718E0,8.397483826E-2,1.365490455E0
5.464119200E-2,2.617924690E0,7.356591225E-1,7.271393538E-1,2.814863348E0
6.284896100E-2,4.586134911E0,-7.783241272E-1,-4.162025452E-2,4.651897904E0
7.118603800E-2,4.531883240E0,-1.248239994E0,-1.382956028E0,4.899860830E0
7.944591500E-2,3.598933220E0,-9.693322182E-1,-2.338009357E0,4.399796930E0
8.731542300E-2,4.188484192E0,-7.948980331E-1,-2.296832561E0,4.842592542E0
9.517311500E-2,5.268386841E0,-6.784167290E-1,-2.396770716E0,5.827577458E0
1.034312310E-1,5.465009689E0,-6.817667484E-1,-2.273159027E0,5.958052431E0
1.118775000E-1,4.504530907E0,-1.032089233E0,-1.905610919E0,4.998735825E0
1.200117310E-1,3.648987770E0,-1.765340567E0,-1.671542048E0,4.384699748E0
1.282338080E-1,2.086993217E0,-2.642803192E0,-1.973338366E0,3.903077466E0
1.367283080E-1,-3.189744949E-1,-3.130116463E0,-3.088364124E0,4.408782912E0
1.449073850E-1,-1.123320580E0,-2.982747555E0,-2.264236212E0,3.909654425E0
1.532218850E-1,-1.446014404E0,-2.812008381E0,-1.366103649E0,3.444501121E0
1.615384530E-1,-2.674985886E0,-2.121382236E0,-2.162778378E-1,3.420904586E0
1.694340380E-1,-3.475738049E0,-9.202618599E-1,1.246819139E0,3.805547902E0
1.773778460E-1,-4.015811920E0,7.967591286E-1,1.259977221E0,4.283586475E0
1.856680000E-1,-3.270948410E0,1.713968754E0,1.772046566E0,4.095966482E0
1.941231920E-1,-2.140727520E0,1.729819775E0,2.817863941E0,3.938952647E0
2.022483080E-1,-5.847616196E-1,1.995600939E0,8.510235548E-1,2.246911291E0
2.102554610E-1,-5.097527504E-1,2.224448681E0,1.329202801E-1,2.285976291E0
2.188143460E-1,-9.325218201E-1,2.344666004E0,-4.079629779E-1,2.556069132E0
