"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.121950000E-2,-1.975479126E-1,1.163525581E-1,4.679098725E-3,2.293141721E-1
3.948515300E-2,-4.945592880E-1,1.614813805E-1,-3.792676330E-1,6.438237826E-1
4.806036500E-2,-1.092391014E0,-1.411080360E-1,-1.081013083E0,1.543314256E0
5.623857700E-2,-1.776360512E0,-5.803442001E-2,-9.839414358E-1,2.031493394E0
6.451521100E-2,-2.173187256E0,6.188583374E-2,-5.021797419E-1,2.231312887E0
7.260684600E-2,-1.917953491E0,-1.678204536E-1,8.827976882E-2,1.927304495E0
8.087613400E-2,-1.523687363E0,-6.836478710E-1,1.714460015E0,2.393401499E0
8.908682700E-2,-2.635547638E0,-1.843409538E-1,4.359944820E0,5.097961531E0
9.688576900E-2,-3.980368614E0,2.271676064E-1,6.098793030E0,7.286303305E0
1.053381530E-1,-4.184770584E0,6.507070065E-1,5.645188808E0,7.057186488E0
1.133600000E-1,-3.122959137E0,8.391511440E-1,4.273194313E0,5.358846709E0
1.217248840E-1,-1.626396179E0,1.383659840E0,3.078451395E0,3.746537345E0
1.301716730E-1,1.590347290E-2,1.487189770E0,1.041463137E0,1.815662908E0
1.383569610E-1,9.608106613E-1,2.259195328E0,5.120277405E-3,2.455024821E0
1.465851530E-1,2.278810978E0,2.147740364E0,-1.496515870E0,3.470637966E0
1.547448460E-1,3.250228405E0,2.257494926E0,-1.768075228E0,4.334323250E0
1.630297880E-1,3.363975525E0,2.483770370E0,-1.493390203E0,4.440232075E0
1.712490570E-1,3.165273666E0,2.480246544E0,-1.279891253E0,4.220035772E0
1.790144610E-1,3.052116871E0,2.199887753E0,-1.119527817E0,3.925336425E0
1.872818460E-1,2.796290874E0,1.457589149E0,-1.017767191E0,3.313556826E0
1.955698460E-1,2.571166992E0,5.179452896E-1,-1.413491488E0,2.979450488E0
2.038450380E-1,2.208259106E0,-3.433785439E-1,-1.934724331E0,2.955922079E0
2.123041720E-1,1.906748772E0,-9.782161713E-1,-1.955490589E0,2.901127574E0
2.204669610E-1,2.036107063E0,-1.848680496E0,-1.969658732E0,3.382736625E0
