"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.302333601E-3,2.564439681E-1,-7.238315034E-1,5.486092345E-1,9.437518987E-1
1.723033376E-2,2.467153707E-1,-4.355982703E-1,5.775177956E-1,7.642912609E-1
2.715833299E-2,1.246755016E-1,-2.086941433E-1,4.811954427E-1,5.391162029E-1
3.708733339E-2,2.971876591E-2,2.258077741E-2,3.926370958E-1,3.944071317E-1
4.701533355E-2,-6.179776043E-2,2.659611887E-1,4.006441268E-1,4.848402143E-1
5.694333371E-2,-2.140510699E-1,3.553341258E-1,4.716119293E-1,6.280907684E-1
6.687233318E-2,-3.691741928E-1,4.139080238E-1,4.947152285E-1,7.432042749E-1
7.679966651E-2,-4.557796428E-1,5.774780345E-1,3.952811337E-1,8.351425853E-1
8.672766667E-2,-4.584395412E-1,6.326447600E-1,3.424644041E-1,8.530463489E-1
9.665566683E-2,-5.161679319E-1,5.494558382E-1,3.034051497E-1,8.126412104E-1
1.065846663E-1,-5.825563413E-1,4.105792040E-1,2.657499580E-1,7.606380307E-1
1.165126665E-1,-5.023614863E-1,3.005416220E-1,2.875882852E-1,6.522264570E-1
1.264406666E-1,-3.408888718E-1,2.625651258E-1,2.655467673E-1,5.056290675E-1
1.363686668E-1,-1.276645982E-1,1.414868313E-1,2.304365762E-1,2.990280734E-1
1.462976672E-1,6.840277523E-2,-4.893417835E-2,1.279477496E-1,1.531147286E-1
1.562256664E-1,2.174292988E-1,-2.372320640E-1,-3.739396736E-2,3.239642896E-1
1.661536666E-1,2.845041713E-1,-4.934202164E-1,-2.338607056E-1,6.157085050E-1
1.760826670E-1,3.347779468E-1,-8.845188367E-1,-4.491127937E-1,1.046972850E0
1.860106671E-1,3.801932707E-1,-1.305161099E0,-5.343441479E-1,1.460656046E0
1.959386664E-1,4.265777707E-1,-1.710287189E0,-5.262529171E-1,1.839563263E0
2.058666665E-1,4.706798100E-1,-2.169245086E0,-5.080518503E-1,2.277121080E0
2.157956669E-1,4.655678818E-1,-2.678396067E0,-4.896809220E-1,2.762308156E0
2.257236671E-1,4.754581547E-1,-3.279666422E0,-4.811603594E-1,3.348699388E0
2.356516663E-1,5.758291197E-1,-3.976779073E0,-6.146709307E-1,4.064993398E0
2.455796665E-1,7.114321902E-1,-4.734243761E0,-8.615591598E-1,4.864307139E0
2.555086669E-1,7.673833197E-1,-5.511435201E0,-1.100844693E0,5.672446929E0
2.654366670E-1,8.241115442E-1,-6.063991233E0,-1.352938113E0,6.267502776E0
2.753646672E-1,9.711023596E-1,-6.242900829E0,-1.627119902E0,6.524137470E0
2.852936666E-1,1.119663737E0,-6.158454171E0,-1.845939084E0,6.525924897E0
2.952216668E-1,1.128504435E0,-5.927637672E0,-1.970685922E0,6.347756583E0
3.051496670E-1,1.154928295E0,-5.707863055E0,-1.956410530E0,6.143378727E0
3.150776671E-1,1.264064236E0,-5.112716489E0,-1.835947362E0,5.577493255E0
3.250066666E-1,1.306660325E0,-3.870266778E0,-1.112035167E0,4.233550324E0
3.349346668E-1,1.235989415E0,-1.951614643E0,2.921742564E-1,2.328483486E0
3.448626669E-1,1.654542467E0,6.903281271E-1,1.333731179E0,2.234480377E0
3.547906671E-1,2.039140737E0,3.705803897E0,1.618758969E0,4.528957725E0
3.647196665E-1,1.537427707E0,6.579846631E0,2.007822758E0,7.049072128E0
3.746476667E-1,1.163897046E-1,9.260614913E0,2.398500963E0,9.566887791E0
3.845756669E-1,-2.216143849E0,1.164277700E1,2.228169817E0,1.205944819E1
3.945046663E-1,-4.991039439E0,1.334794320E1,2.258125688E0,1.442834689E1
4.044326665E-1,-7.098684694E0,1.423361979E1,2.981037424E0,1.618251651E1
4.143606666E-1,-7.478142092E0,1.451542517E1,3.967096669E0,1.680351252E1
4.242886668E-1,-5.876978565E0,1.483313247E1,5.024581992E0,1.672743615E1
4.342176663E-1,-3.851719702E0,1.523757502E1,5.786174229E0,1.674811181E1
4.441456664E-1,-2.603615149E0,1.552896516E1,5.789891304E0,1.677648390E1
4.540736666E-1,-2.130912202E0,1.562794215E1,5.000682667E0,1.654630442E1
4.640016668E-1,-2.254856802E0,1.519876120E1,3.973810442E0,1.587066132E1
4.739306672E-1,-2.282829589E0,1.467819529E1,3.071345331E0,1.516884603E1
4.838586664E-1,-2.447240137E0,1.336780385E1,2.322296541E0,1.378695852E1
4.937866665E-1,-2.789362187E0,1.151182978E1,1.965156795E0,1.200685668E1
5.037156669E-1,-2.954969952E0,9.355762560E0,1.726485146E0,9.962072649E0
5.136436671E-1,-3.157197367E0,7.147030057E0,1.343239921E0,7.927939666E0
5.235716663E-1,-3.302977517E0,5.057567305E0,8.244480515E-1,6.096586103E0
5.334996665E-1,-3.084738086E0,2.689625060E0,2.676585623E-1,4.101381856E0
5.434286669E-1,-2.516368552E0,5.861050165E-1,-2.779650108E-1,2.598633165E0
5.533566670E-1,-1.887365145E0,-1.227944523E0,-5.234076619E-1,2.311698623E0
5.632846663E-1,-1.248075025E0,-2.831728188E0,-5.759823167E-1,3.147718448E0
5.732126664E-1,-6.053803629E-1,-4.249960404E0,-5.456867230E-1,4.327403704E0
5.831416668E-1,-7.193537056E-3,-5.801335475E0,-5.672571015E-1,5.829007262E0
5.930696670E-1,6.008449700E-1,-7.473379535E0,-6.186458679E-1,7.522974084E0
6.029976672E-1,1.283014185E0,-8.956925735E0,-5.797547941E-1,9.066904634E0
6.129266666E-1,2.102429099E0,-1.005752901E1,-4.968110168E-1,1.028692953E1
6.228546668E-1,3.020867488E0,-1.088990355E1,-6.737489319E-1,1.132120035E1
6.327826669E-1,3.803324052E0,-1.163474293E1,-1.147918360E0,1.229431712E1
6.427106671E-1,4.246627199E0,-1.236157756E1,-1.648967439E0,1.317427554E1
6.526396666E-1,4.002516178E0,-1.298561113E1,-1.945663347E0,1.372704768E1
6.625676667E-1,3.292090586E0,-1.334144694E1,-1.844073822E0,1.386479986E1
