"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.472749911E-3,6.758533448E-1,6.234706248E-1,-1.550322572E0,1.802496447E0
1.239974983E-2,1.152820081E0,1.213021259E0,-1.269196630E0,2.100303502E0
2.232674975E-2,-1.014743346E-1,6.432364064E-1,8.302847421E-1,1.055188546E0
3.225374967E-2,-2.264316135E0,1.963797610E-1,1.041304908E0,2.500001696E0
4.218074959E-2,-3.763724077E0,2.233805948E-1,-4.617996436E-1,3.798522966E0
5.210775044E-2,-3.261496784E0,-4.280663256E-1,-1.638287500E0,3.674858907E0
6.203375012E-2,-1.170552347E0,4.669441701E-1,-5.235874053E0,5.385406833E0
7.196075004E-2,-1.335239761E0,8.517979641E-1,-1.233843545E1,1.243967099E1
8.188774996E-2,-1.400192971E0,1.401588994E0,-1.221144913E1,1.237111482E1
9.181474987E-2,6.209380496E-1,4.891300266E0,-5.148949930E0,7.128959793E0
1.017417498E-1,9.652875960E-2,6.202016512E0,-3.661168884E0,7.202672019E0
1.116687497E-1,-4.220865244E-1,5.420209281E0,-3.273135374E0,6.345883773E0
1.215957496E-1,-3.752281076E-1,4.636466621E0,-9.510367620E-1,4.747851070E0
1.315227505E-1,-3.863775784E-1,3.251282283E0,5.773444256E-1,3.324673022E0
1.414497504E-1,-4.958538276E-1,2.212982406E0,1.685158488E0,2.825406391E0
1.513767503E-1,1.458471000E-2,1.725533220E0,-6.073637384E-1,1.829362817E0
1.613037502E-1,-1.076806278E0,1.538911292E0,-4.414995435E0,4.797910421E0
1.712307502E-1,-1.143518915E0,1.023402634E0,-5.375440074E0,5.590200752E0
1.811577501E-1,7.772142434E-1,7.594999574E-1,-7.802401775E0,7.877713858E0
1.910847500E-1,2.486307431E0,9.548063157E-1,-7.795408505E0,8.237825775E0
2.010117499E-1,5.856526174E0,8.856961736E-1,-3.272830442E0,6.767183730E0
2.109387498E-1,5.905410651E0,3.794433653E-2,-2.273870485E0,6.328175228E0
2.208657498E-1,2.715204290E0,-1.642596605E0,-2.338108874E0,3.941726912E0
2.307927497E-1,4.038318095E0,-1.450428740E0,-1.827347862E0,4.663792102E0
2.407197496E-1,2.619470751E0,-1.127805400E0,-1.076759500E0,3.048439446E0
2.506467504E-1,-9.080924714E-1,-2.488830213E0,3.147740373E-1,2.667956232E0
2.605737504E-1,-5.448432037E0,-2.863505466E0,2.033242066E0,6.482217870E0
2.705007503E-1,-5.363167353E0,-3.610408036E0,4.237879179E0,7.730344765E0
2.804277502E-1,-2.960165788E0,-5.157377522E0,5.976759546E0,8.431060376E0
2.903547501E-1,-1.056319388E0,-5.704968683E0,4.238986642E0,7.185505276E0
3.002817500E-1,-9.869977230E-1,-5.343048254E0,2.728671304E0,6.080129623E0
3.102087500E-1,-9.190864062E-1,-5.086891676E0,1.701227221E0,5.441999706E0
3.201357499E-1,-7.854634953E-1,-5.004277536E0,8.918553382E-2,5.066330093E0
3.300627498E-1,7.332887900E-1,-5.243072560E0,1.640583116E0,5.542475556E0
3.399897497E-1,2.015494305E0,-4.873014561E0,3.476978375E0,6.316475823E0
3.499167496E-1,2.041920211E0,-4.774867292E0,-7.315905247E0,8.971692448E0
3.598437505E-1,1.427799430E0,-4.491675528E0,-9.198907492E0,1.033603692E1
3.697707504E-1,1.762209880E0,-3.758887260E0,-5.978538269E0,7.278566955E0
3.796977503E-1,3.411915237E0,-2.715552784E0,-3.126307404E0,5.365555935E0
3.896247502E-1,7.344423287E0,-2.697989502E0,8.381145732E0,1.146574483E1
3.995507499E-1,1.728314506E1,3.034950507E-1,3.569735915E1,3.966233304E1
4.094777498E-1,1.125918796E1,2.623217647E0,1.071950750E1,1.576573580E1
4.194047498E-1,4.311520475E0,-1.005410020E0,9.410379648E0,1.039977419E1
4.293317497E-1,3.282529219E0,-1.081317405E0,8.710114177E0,9.370716856E0
4.392587496E-1,2.583523239E0,-3.071144772E-1,3.012300732E0,3.980309954E0
4.491857504E-1,1.522733070E0,1.953682804E0,5.634318531E-1,2.540285014E0
4.591127504E-1,3.350466263E-1,3.228834237E0,-2.804214992E-1,3.258260731E0
4.690397503E-1,-5.763670635E-1,3.561929648E0,-8.271822826E-1,3.701860659E0
4.789667502E-1,-1.202564099E0,4.272045922E0,-1.132376022E0,4.580263336E0
4.888937501E-1,-1.637654831E0,5.062347404E0,-1.797637575E0,5.616117469E0
4.988207500E-1,-1.810043027E0,5.475445588E0,-2.737309688E0,6.383543254E0
5.087477500E-1,-1.942194779E0,5.566281499E0,-3.299720033E0,6.756016769E0
5.186747499E-1,-2.352416718E0,4.941957911E0,-3.206516585E0,6.343387188E0
5.286017498E-1,-3.052954668E0,3.790183897E0,-3.318373820E0,5.890469505E0
5.385287497E-1,-4.105907230E0,2.697580782E0,-3.754220597E0,6.183008050E0
5.484557496E-1,-5.230405152E0,2.122662658E0,-4.166464796E0,7.015858017E0
5.583827505E-1,-5.958139672E0,2.862402096E0,-4.895384839E0,8.225421985E0
5.683097504E-1,-6.162961789E0,4.026642959E0,-3.630978833E0,8.208529638E0
5.782367503E-1,-6.423225451E0,3.896285718E0,9.326057535E-1,7.570245774E0
5.881637502E-1,-6.587185471E0,3.149845955E0,6.235074331E0,9.601494357E0
5.980907502E-1,-6.555418718E0,2.590993642E0,7.596583292E0,1.036314819E1
6.080177501E-1,-6.584475287E0,2.677246504E0,4.513886177E0,8.420102854E0
6.179447500E-1,-6.461182067E0,9.277139729E-1,3.209974628E0,7.274026672E0
6.278717499E-1,-5.903552991E0,-1.127314526E0,2.735961905E0,6.603655314E0
6.377987498E-1,-4.306584256E0,-2.356301023E0,3.086997743E0,5.798997976E0
6.477257498E-1,-2.422157044E0,-1.656991573E0,-5.273626601E0,6.035197043E0
6.576527497E-1,-7.262417257E-1,6.933335960E-2,-1.694999410E1,1.696568697E1
6.675797496E-1,9.675259101E-1,-2.577443304E0,-4.492200608E0,5.268698765E0
6.775067504E-1,2.933771164E0,-7.740835272E0,1.684222056E0,8.447730339E0
6.874337504E-1,6.221711104E0,-9.935549076E0,-7.974491179E-2,1.172310470E1
6.973597500E-1,1.121646236E1,-9.575003327E0,3.518061497E0,1.516134800E1
7.072867500E-1,1.487623931E1,-7.667859682E0,-1.079250414E0,1.677090783E1
7.172137499E-1,1.597522349E1,-5.048741518E0,-4.523101974E-1,1.676013547E1
7.271407498E-1,1.255017365E1,-4.100810797E0,1.266097605E-1,1.320376984E1
7.370677497E-1,7.993934340E0,-2.868604823E0,1.760149321E0,8.673523246E0
7.469947496E-1,6.612985725E0,-1.425638884E0,3.693499017E0,7.707526284E0
7.569217505E-1,6.072343980E0,-8.257011098E-1,4.547745356E0,7.631325675E0
7.668487504E-1,5.715555067E0,6.306432581E-1,1.244275212E0,5.883324013E0
7.767757503E-1,4.817692592E0,2.189306883E0,-3.483121168E0,6.335247399E0
7.867027503E-1,3.734309074E0,2.430727308E0,-3.110902914E0,5.434263193E0
7.966297502E-1,3.510937250E0,2.157257710E0,-2.013665881E0,4.586424694E0
8.065567501E-1,3.035070082E0,1.109436665E0,-1.090049636E0,3.410382431E0
8.164837500E-1,2.510225175E0,-6.491491109E-1,2.326545128E0,3.483595445E0
8.264107499E-1,1.539069021E0,-4.122607462E0,5.439881068E0,6.996923022E0
8.363377498E-1,-8.657153606E-2,-7.341280409E0,8.480374151E0,1.121689076E1
8.462647498E-1,-7.317211515E-1,-8.254573393E0,9.112285085E0,1.231694513E1
8.561917497E-1,-1.125352786E0,-5.639665809E0,1.076534850E1,1.220512096E1
8.661187496E-1,-2.528481059E0,-3.824926298E0,8.866292138E0,9.981703959E0
8.760457505E-1,-4.303260114E0,-1.819999666E0,5.629931949E0,7.316186175E0
8.859727504E-1,-6.129309309E0,-4.212439406E-1,2.464151162E0,6.619510557E0
8.958997503E-1,-8.592734832E0,-1.368529714E0,1.875830635E0,8.900938492E0
9.058267502E-1,-1.016327474E1,-1.619534894E0,1.512658317E0,1.040207584E1
9.157537501E-1,-8.221005113E0,1.292800670E0,-1.529468624E0,8.461414356E0
9.256807500E-1,-6.333551967E0,2.268651845E0,-5.159038716E0,8.477991637E0
9.356077500E-1,-5.555196347E0,1.362003636E0,-3.939420628E0,6.945091450E0
9.455337496E-1,-5.008123249E0,6.133898789E-1,-3.608032897E0,6.202857971E0
9.554607505E-1,-3.893044314E0,7.181152654E-1,-3.729969563E0,5.439131962E0
9.653877504E-1,-2.984971431E0,5.210091341E-1,-3.176668595E0,4.390071563E0
9.753147503E-1,-2.719731789E0,-3.533758932E-1,-2.539982825E0,3.738091528E0
9.852417503E-1,-2.270770876E0,-7.713687819E-1,-2.222500357E0,3.269696929E0
9.951687502E-1,-1.564765779E0,-5.606930172E-1,-2.119095857E0,2.693220350E0
1.005095750E0,-2.848278147E-1,6.533327937E-2,-1.323480133E0,1.355357880E0
1.015022750E0,9.355258530E-1,1.239804431E0,-2.236207985E0,2.722673282E0
1.024949750E0,1.939406826E0,2.519355310E0,-4.751831601E0,5.717372962E0
1.034876750E0,3.257683230E0,2.934298875E0,-4.487324615E0,6.273650621E0
1.044803750E0,3.253961477E0,2.632942736E0,-3.801367866E0,5.654294863E0
1.054730750E0,2.317809387E0,2.694526196E0,-2.349034104E0,4.260360665E0
1.064657750E0,1.641252038E0,3.702401987E0,-1.910398790E0,4.477846833E0
1.074584750E0,8.293813473E-1,4.661863418E0,-2.631383868E0,5.417104855E0
1.084511750E0,-8.974774361E-1,4.913587806E0,-2.695634243E0,5.675848381E0
1.094438750E0,-2.177413647E0,5.018512582E0,-2.106017389E0,5.861903101E0
1.104365750E0,-2.992687417E0,4.872667236E0,-2.143137853E0,6.106726114E0
1.114292750E0,-3.335854071E0,4.578756942E0,-2.421902982E0,6.161051174E0
1.124219750E0,-3.323338983E0,3.951115644E0,-2.419339855E0,5.701675382E0
1.134146750E0,-3.024569068E0,3.182131941E0,-2.037736529E0,4.840077675E0
1.144073750E0,-2.190976848E0,2.619307029E0,-1.601956117E0,3.771924212E0
1.154000750E0,-1.393228353E0,1.806848693E0,-1.453746742E0,2.705395911E0
1.163927750E0,-7.911978596E-1,1.008364034E0,-1.267085785E0,1.802303655E0
1.173853750E0,-6.539525986E-3,3.043405581E-1,-1.184845281E0,1.223325092E0
1.183780750E0,1.022880916E0,-4.608605808E-1,-1.189790856E0,1.635322636E0
1.193707750E0,2.194080550E0,-1.055375063E0,-1.030205138E0,2.643696013E0
1.203634750E0,3.354752857E0,-1.671116107E0,-1.077346268E0,3.899701368E0
1.213561750E0,4.440797151E0,-2.217928419E0,-1.066867765E0,5.077213078E0
1.223488750E0,5.499629087E0,-2.612752885E0,-3.950981158E-1,6.101516226E0
1.233415750E0,6.323286011E0,-3.338135070E0,6.453308791E-1,7.179383237E0
1.243342750E0,6.776090882E0,-4.101981994E0,1.061419330E0,7.991762942E0
1.253269750E0,6.219293280E0,-4.403419409E0,-1.682963151E-1,7.622206705E0
1.263196750E0,4.865088075E0,-4.172348557E0,-2.139657590E0,6.756900847E0
1.273123750E0,3.631868194E0,-3.553616661E0,-3.919754103E0,6.417408370E0
1.283050750E0,2.994548585E0,-2.534277404E0,-5.334299650E0,6.621528218E0
1.292977750E0,3.494913540E0,-1.133951701E0,-5.997625920E0,7.033618115E0
