"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.814550000E-2,1.083467603E-1,1.605446815E0,1.816390455E-2,1.609201176E0
2.635957700E-2,2.698242664E-2,1.226221085E0,-3.866311908E-1,1.286013172E0
3.457453900E-2,-1.840173602E-1,7.477178574E-1,-8.145742416E-1,1.120926214E0
4.278980800E-2,-4.247174263E-1,1.761360168E-1,-1.068323731E0,1.163066801E0
5.100384600E-2,-5.507220626E-1,-4.050846100E-1,-1.156792879E0,1.343710570E0
5.921950000E-2,-5.027842522E-1,-9.540367126E-1,-1.101274967E0,1.541358040E0
6.743434600E-2,-3.875780404E-1,-1.380408287E0,-9.477733374E-1,1.718725713E0
7.564880800E-2,-3.012981117E-1,-1.685542107E0,-7.609643340E-1,1.873739433E0
8.386380800E-2,-1.614930183E-1,-1.868068695E0,-5.556832552E-1,1.955644274E0
9.207726900E-2,-1.721113175E-1,-1.818708897E0,-4.274218678E-1,1.876169984E0
1.002940390E-1,-5.420768261E-2,-1.652299881E0,-3.173974752E-1,1.683381872E0
1.085077310E-1,4.058670998E-2,-1.234515190E0,-2.885007858E-1,1.268427270E0
1.167208460E-1,1.055852771E-1,-7.112073898E-1,-1.930023432E-1,7.444555773E-1
1.249354620E-1,1.775976419E-1,-3.023424149E-1,-1.176651716E-1,3.698607182E-1
1.331492690E-1,2.308588028E-1,-2.118110657E-2,-9.290826321E-2,2.497526206E-1
1.413633460E-1,2.213463187E-1,5.901336670E-2,1.170837879E-2,2.293771052E-1
1.495781920E-1,2.421351373E-1,9.789466858E-3,1.584323645E-1,2.895273260E-1
1.577920380E-1,2.516555190E-1,-5.398368835E-2,6.928873062E-2,2.665439308E-1
1.660056920E-1,3.164343238E-1,-2.374515533E-1,1.358611584E-1,4.182967557E-1
1.742193840E-1,2.805515528E-1,-3.247318268E-1,1.244478226E-1,4.468189719E-1
1.824333840E-1,2.309259176E-1,-2.831926346E-1,2.249479294E-3,3.654174433E-1
1.906460380E-1,2.470351458E-1,-1.968212128E-1,4.001176357E-2,3.183801097E-1
1.988602310E-1,1.883608699E-1,-3.914356232E-2,1.221466064E-2,1.927724921E-1
2.070742310E-1,1.766024828E-1,1.674299240E-1,5.117523670E-2,2.486767404E-1
2.152893840E-1,1.545789838E-1,4.089202881E-1,1.868901849E-1,4.754349645E-1
2.235036150E-1,1.543355584E-1,5.854587555E-1,3.294783831E-1,6.893021282E-1
2.317189610E-1,1.667362452E-2,9.067258835E-1,2.817411423E-1,9.496356716E-1
2.399324610E-1,-8.047682047E-2,1.305287361E0,2.929032445E-1,1.340165633E0
2.481470380E-1,-1.352595091E-1,1.886786461E0,1.387796402E-1,1.896712438E0
2.563591150E-1,-7.329123020E-1,3.648432732E0,-7.994472980E-2,3.722178529E0
2.645731150E-1,-9.607458115E-1,4.287226677E0,-2.259912491E-1,4.399365538E0
2.727854610E-1,-9.367651939E-1,4.827869415E0,-4.081006050E-1,4.934814913E0
2.809993840E-1,-5.842851102E-2,2.616403580E0,-5.535030365E-1,2.674948073E0
2.892129610E-1,2.319713533E-1,-3.991594315E-1,-1.890709996E-1,4.988855614E-1
2.974266150E-1,-1.819556653E-1,-2.336277962E0,1.987214684E-1,2.351763764E0
3.056400380E-1,-6.138219833E-1,-3.461552620E0,5.447156429E-1,3.557504617E0
3.138540380E-1,-9.791659117E-1,-4.122508049E0,1.059997916E0,4.367772210E0
3.220684610E-1,-9.663270712E-1,-4.098418713E0,1.449612379E0,4.453335829E0
3.302832680E-1,-3.409866989E-1,-3.041703701E0,1.725836515E0,3.513793536E0
3.384984610E-1,9.088948369E-2,-1.280434608E0,1.638480186E0,2.081439648E0
3.467171920E-1,-1.508252025E-1,-1.196022034E-1,1.503364325E0,1.515637563E0
3.549315380E-1,-1.125217795E0,-4.262447357E-2,1.320008636E0,1.735037386E0
3.631452680E-1,-1.403866529E0,-1.070591927E0,9.380400181E-1,1.999231698E0
3.713588450E-1,-9.083294868E-1,-1.877675056E0,4.225410223E-1,2.128207459E0
3.795713840E-1,-9.467821121E-1,-1.485430717E0,-6.900727749E-2,1.762856429E0
3.877851530E-1,-1.046047688E0,-9.585762024E-2,-7.077997923E-1,1.266643199E0
3.959988840E-1,-1.063494802E0,1.562432289E0,-1.448010802E0,2.380955929E0
4.042135370E-1,-9.986259937E-1,2.801794052E0,-1.894991994E0,3.526797193E0
4.124266140E-1,-1.239093781E0,2.820079803E0,-1.803867459E0,3.569613607E0
4.206397300E-1,-1.331512332E0,2.127326012E0,-1.111811519E0,2.744916375E0
4.288529990E-1,-1.650799036E0,1.368640900E0,-1.661264896E-1,2.150793663E0
4.370693830E-1,-1.859760880E0,7.006406784E-1,8.654705286E-1,2.167636300E0
4.452838830E-1,-1.866449237E0,1.410064697E-1,1.482901573E0,2.387993437E0
4.534980370E-1,-1.844665766E0,-1.016607285E-1,1.767488837E0,2.556783816E0
4.617129600E-1,-1.908309937E0,1.046123505E-1,1.549258828E0,2.460242564E0
4.699279990E-1,-2.046018600E0,3.406152725E-1,9.484291673E-1,2.280729875E0
4.781436910E-1,-1.571838737E0,1.056747437E-1,5.342350006E-1,1.663505696E0
4.863603060E-1,-7.511742115E-1,-9.099178314E-1,4.540601373E-1,1.264272029E0
4.945764990E-1,-1.252146840E0,-1.224259377E0,6.833399534E-1,1.879796857E0
5.027921910E-1,-1.712672234E0,-1.011543274E0,5.285781622E-1,2.058120708E0
5.110081520E-1,-1.930131912E0,-5.905208588E-1,1.713156700E-1,2.025703123E0
5.192247290E-1,-2.148824692E0,-8.826923370E-2,-2.078685760E-1,2.160659242E0
5.274414990E-1,-2.332411766E0,3.776788712E-1,-3.617691994E-1,2.390326950E0
5.356558060E-1,-2.350157738E0,7.425708771E-1,-2.768213749E-1,2.480178012E0
5.438717290E-1,-2.319128275E0,1.027996063E0,-2.232478857E-1,2.546560716E0
5.520891140E-1,-2.420037985E0,1.155252457E0,-6.420433521E-2,2.682408299E0
5.603063060E-1,-2.390321016E0,1.112556458E0,2.425916791E-1,2.647690910E0
5.685244600E-1,-2.509907722E0,1.065443039E0,3.311971426E-1,2.746724812E0
5.767413060E-1,-2.661371946E0,9.734268188E-1,4.654772878E-1,2.871781592E0
5.849575370E-1,-3.013045788E0,9.347333908E-1,3.923517466E-1,3.179011061E0
5.931759600E-1,-3.210295439E0,8.918361664E-1,6.644153595E-2,3.332534025E0
6.013924600E-1,-3.417339325E0,6.650152206E-1,-1.007053852E-1,3.482900355E0
6.096079210E-1,-3.153921604E0,4.718914032E-1,-3.504302502E-1,3.208224484E0
6.178233440E-1,-2.712423086E0,5.398244858E-1,-5.786700249E-1,2.825510303E0
6.260384980E-1,-2.117290497E0,1.235078812E0,-6.781160831E-1,2.543261713E0
6.342533830E-1,-1.703403831E0,2.576853752E0,-7.784134150E-1,3.185543488E0
6.424679600E-1,-1.742007017E0,4.553310394E0,-6.582075357E-1,4.919396422E0
6.506822290E-1,-2.023375034E0,7.289317131E0,-4.782611132E-1,7.580034595E0
6.588965360E-1,-2.546475410E0,1.058631229E1,-5.111960173E-1,1.090026910E1
6.671095750E-1,-2.486981392E0,1.339850616E1,-7.788015604E-1,1.364959984E1
6.753234590E-1,-1.422321796E0,1.624835968E1,-1.821778059E0,1.641191844E1
6.835371130E-1,4.834212661E-1,1.820210648E1,-3.032994509E0,1.845939956E1
6.917509590E-1,2.807858467E0,1.813184357E1,-3.880517960E0,1.875383267E1
6.999646130E-1,6.165434837E0,1.555492973E1,-3.882306337E0,1.717674964E1
7.081766900E-1,6.176543713E0,1.100601196E1,-3.002445936E0,1.297292076E1
7.163889590E-1,3.370740414E0,6.116738319E0,-1.841049314E0,7.222592414E0
7.246019980E-1,4.387345314E-1,1.296819687E0,-1.363285661E0,1.932039617E0
7.328148440E-1,-1.123895049E0,-2.561835289E0,-1.088355660E0,3.001775837E0
7.410264980E-1,-2.294620514E0,-4.928020000E0,-7.891362906E-1,5.493031996E0
