"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.950230500E-2,-7.157850266E-1,-1.160647869E-1,-6.627887487E-3,7.251642351E-1
2.771545800E-2,-5.545501709E-1,-3.930747509E-2,-2.094488144E-1,5.940873467E-1
3.592803500E-2,-2.450561523E-1,8.658337593E-2,1.093202084E-1,2.819576329E-1
4.414218900E-2,-1.215744019E-2,4.393219948E-3,6.535697579E-1,6.536975847E-1
5.235492000E-2,-2.069950104E-2,-1.432958841E-1,7.623649836E-1,7.759913324E-1
6.056765100E-2,-7.923030853E-2,-2.150167227E-1,5.310796499E-1,5.784074925E-1
6.878165100E-2,-5.354881287E-3,-2.114241123E-1,5.587853491E-2,2.187492644E-1
7.699476600E-2,3.567390442E-1,-2.248289585E-1,-1.771224141E-1,4.573654511E-1
8.520884300E-2,7.722282410E-1,-2.933349609E-1,-1.842851490E-1,8.463704104E-1
9.342245800E-2,9.459476471E-1,-4.769519567E-1,8.785948157E-3,1.059423104E0
1.016352270E-1,7.891607285E-1,-7.593106031E-1,2.321633250E-1,1.119476242E0
1.098473040E-1,4.516048431E-1,-9.817907810E-1,4.776391387E-1,1.181524108E0
1.180601500E-1,3.266611099E-1,-9.895124435E-1,5.121440887E-1,1.161091695E0
1.262793430E-1,3.648252487E-1,-8.056497574E-1,5.891226530E-1,1.062654457E0
1.344931890E-1,3.955516815E-1,-6.798725128E-1,5.433552265E-1,9.559930275E-1
1.427068430E-1,4.821405411E-1,-5.398678780E-1,4.570617080E-1,8.560503676E-1
1.509205350E-1,3.452243805E-1,-4.115216732E-1,3.476923108E-1,6.398592841E-1
1.591349580E-1,-3.698472977E-1,-2.602703571E-1,3.541731834E-2,4.536320853E-1
1.673487270E-1,-8.163681030E-1,-2.000911236E-1,-1.768512130E-1,8.589352065E-1
1.755618810E-1,-8.493881226E-1,-7.655882835E-2,-3.268195987E-1,9.133085388E-1
1.837743040E-1,-7.253513336E-1,-2.634239197E-2,-5.348796248E-1,9.016233648E-1
1.919874580E-1,-5.034885406E-1,-7.117271423E-2,-5.495786071E-1,7.487342060E-1
2.001999960E-1,-3.028535843E-1,-1.772260666E-1,-6.218617558E-1,7.140318029E-1
2.084131500E-1,-2.309427261E-1,-1.902329922E-1,-7.728016376E-1,8.287010952E-1
2.166259960E-1,-3.188896179E-1,-2.262089252E-1,-7.046002150E-1,8.058055157E-1
2.248389580E-1,-4.897031784E-1,-3.462855816E-1,-5.710206032E-1,8.281228388E-1
2.330524580E-1,-4.053106308E-1,-2.682595253E-1,-5.720558167E-1,7.506582030E-1
2.412648810E-1,-6.672763824E-2,-1.521542072E-1,-4.146563411E-1,4.467027666E-1
2.494787650E-1,1.928081512E-1,-2.563548088E-2,-1.328998357E-1,2.355727645E-1
2.576933810E-1,3.144769669E-1,1.311151981E-1,6.458967179E-2,3.467834823E-1
2.659069580E-1,2.246904373E-1,2.496802807E-1,4.069622457E-1,5.276782207E-1
2.741189580E-1,2.544355392E-1,3.161928654E-1,5.567857623E-1,6.890034520E-1
2.823329190E-1,2.889404297E-1,4.022405148E-1,5.839215517E-1,7.656685851E-1
2.905459960E-1,3.399095535E-1,3.758237362E-1,6.682131886E-1,8.386243800E-1
2.987588800E-1,5.878601074E-1,3.230943680E-1,7.787749767E-1,1.027842372E0
3.069730340E-1,6.858482361E-1,2.861106396E-1,7.413783073E-1,1.049708958E0
3.151867270E-1,6.928939819E-1,1.569252014E-1,1.037583113E0,1.257500022E0
3.234009570E-1,7.113866806E-1,1.650571823E-2,1.209693193E0,1.403460391E0
3.316133030E-1,5.433225632E-1,-6.375598907E-2,1.226016641E0,1.342527853E0
3.398262260E-1,5.154266357E-1,-7.203388214E-2,1.408032537E0,1.501135944E0
3.480394960E-1,4.104623795E-1,6.731510162E-3,1.494271755E0,1.549636330E0
3.562528800E-1,3.701047897E-1,1.945679188E-1,1.464251876E0,1.522782908E0
3.644657260E-1,4.345712662E-1,1.681141853E-1,1.737174511E0,1.798579953E0
3.726858420E-1,6.015901566E-1,7.595324516E-2,1.997301459E0,2.087317113E0
3.809256110E-1,6.610927582E-1,-1.263237000E-2,1.932202697E0,2.042207255E0
3.891372650E-1,7.528581619E-1,-1.025381088E-1,1.904978514E0,2.050915067E0
3.973493030E-1,5.660886765E-1,-1.731305122E-1,1.552335739E0,1.661377986E0
4.055625720E-1,3.430099487E-1,-1.858470440E-1,1.099763393E0,1.166908081E0
4.137763030E-1,2.504816055E-1,-2.649972439E-1,8.725632429E-1,9.456908516E-1
4.219902260E-1,1.029434204E-1,-3.234281540E-1,6.119932532E-1,6.998134470E-1
