"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.476185900E-2,4.080438614E-2,1.313762665E-1,9.629845619E-3,1.379037898E-1
3.297366600E-2,1.718440056E-1,1.472511292E-1,9.118288755E-2,2.439827377E-1
4.118489700E-2,1.816823483E-1,9.058666229E-2,1.218990088E-1,2.367990443E-1
4.939566600E-2,1.723797321E-1,9.113883972E-2,1.615011096E-1,2.531870229E-1
5.760639700E-2,1.239731312E-1,9.444713593E-2,1.519485116E-1,2.176647627E-1
6.581743500E-2,6.486129761E-2,1.962795258E-1,8.031272888E-2,2.217718976E-1
7.402782000E-2,2.856135368E-2,3.244628906E-1,4.466885328E-2,3.287662160E-1
8.223920400E-2,7.895255089E-2,4.197273254E-1,-1.290923357E-2,4.272834906E-1
9.045066600E-2,1.530823708E-1,4.337844849E-1,-5.443298817E-2,4.632128471E-1
9.866235800E-2,1.408486366E-1,4.311752319E-1,9.151279926E-3,4.536895029E-1
1.068742430E-1,4.593801498E-2,4.066543579E-1,6.008428335E-2,4.136280807E-1
1.150853970E-1,-5.422592163E-2,3.852100372E-1,7.446461916E-2,3.960709569E-1
1.232968970E-1,-1.149966717E-1,3.903141022E-1,9.948462248E-2,4.188872437E-1
1.315097430E-1,-2.187426090E-1,3.442058563E-1,1.122463346E-1,4.229955557E-1
1.397213580E-1,-1.688425541E-1,3.555011749E-1,-7.442426682E-2,4.005344741E-1
1.479331270E-1,-1.512169838E-2,3.978509903E-1,-2.049267292E-1,4.477823585E-1
1.561465890E-1,4.782867432E-2,4.336996078E-1,-1.264113784E-1,4.542716902E-1
1.643581270E-1,6.050276756E-2,4.436254501E-1,-9.325921535E-2,4.573416733E-1
1.725705500E-1,1.502799988E-1,4.176902771E-1,-3.154927492E-2,4.450220246E-1
1.807825890E-1,1.714575291E-1,3.974876404E-1,1.706808805E-1,4.653236202E-1
1.889934730E-1,1.378958225E-1,3.841924667E-1,2.690069675E-1,4.888597528E-1
1.972058190E-1,5.581092834E-2,3.385171890E-1,1.753393412E-1,3.852955120E-1
2.054166660E-1,8.308863640E-2,2.353448868E-1,1.660698056E-1,2.997834511E-1
2.136278960E-1,-1.161479950E-2,1.610670090E-1,8.191525936E-3,1.616928757E-1
2.218383960E-1,-1.189148426E-1,1.553268433E-1,-1.271055341E-1,2.332873439E-1
2.300481650E-1,-1.144399643E-1,3.089523315E-2,-1.960643530E-1,2.291118752E-1
2.382586270E-1,-1.794576645E-1,-8.220672607E-3,-3.210403323E-1,3.678852101E-1
2.464695120E-1,-2.674934864E-1,-6.967067719E-2,-3.715084791E-1,4.630608152E-1
2.546812040E-1,-3.097727299E-1,-2.243356705E-1,-1.525166929E-1,4.117608272E-1
2.628915110E-1,-2.891902924E-1,-3.357553482E-1,-1.002321243E-1,4.543227463E-1
2.711063960E-1,-1.578183174E-1,-3.980150223E-1,-7.782721519E-2,4.351777277E-1
2.793177040E-1,3.427999020E-1,-3.197374344E-1,-1.545979083E-1,4.936033964E-1
2.875295880E-1,6.561124325E-1,-2.419452667E-1,-3.410792947E-1,7.780463491E-1
2.957401650E-1,7.165625095E-1,-2.078723907E-1,-2.536273003E-1,7.880352583E-1
3.039514730E-1,6.229946613E-1,-1.733036041E-1,-4.119491577E-2,6.479610392E-1
3.121621270E-1,3.919353485E-1,-4.136753082E-2,8.227831125E-2,4.026093771E-1
3.203745880E-1,2.938895226E-1,7.751750946E-2,4.459649324E-2,3.071951545E-1
3.285861270E-1,4.198455811E-1,1.522455215E-1,1.202912331E-1,4.625137744E-1
3.367984730E-1,1.828985214E-1,2.873554230E-1,2.109596729E-1,4.006606942E-1
3.450097030E-1,-6.684684753E-2,3.739595413E-1,3.688831925E-1,5.295177516E-1
3.532218190E-1,-1.355681419E-1,3.314256668E-1,6.161488295E-1,7.126437215E-1
3.614339340E-1,-1.995463371E-1,3.620872498E-1,4.607731700E-1,6.190620577E-1
3.696457030E-1,-1.406171322E-1,3.666791916E-1,2.976697683E-1,4.927819988E-1
3.778588190E-1,7.586741447E-2,2.899351120E-1,1.743468046E-1,3.467204090E-1
3.860707800E-1,1.174879074E-1,1.933002472E-1,4.113769531E-2,2.299145579E-1
3.942816260E-1,1.516971588E-1,1.112012863E-1,9.468853474E-3,1.883279407E-1
4.024931260E-1,2.468483448E-1,3.355026245E-2,1.810861230E-1,3.079803717E-1
4.107038190E-1,3.850140572E-1,7.965087891E-2,1.657114029E-1,4.266618752E-1
4.189147030E-1,5.234758854E-1,1.247940063E-1,2.399637699E-1,5.892225025E-1
4.271245110E-1,4.705634117E-1,8.616161346E-2,3.490850925E-1,5.922112376E-1
4.353345880E-1,3.086833954E-1,7.501411438E-2,3.276203275E-1,4.563415770E-1
4.435460110E-1,1.276319027E-1,1.020631790E-1,1.643197536E-1,2.317493830E-1
4.517565880E-1,-2.429914474E-2,1.481590271E-1,1.587535739E-1,2.185045605E-1
4.599675880E-1,-1.506965160E-1,2.248497009E-1,-8.839678764E-2,2.847469403E-1
4.681779720E-1,-5.083584785E-2,1.759147644E-1,-1.692245305E-1,2.493335707E-1
4.763882030E-1,1.175801754E-1,6.521987915E-2,-9.249264002E-2,1.631980966E-1
4.845980490E-1,7.775855064E-2,5.510711670E-2,-8.335644007E-2,1.266154912E-1
4.928088570E-1,1.843628883E-1,1.449298859E-2,5.085992813E-2,1.917979499E-1
5.010201260E-1,3.087890148E-1,-1.617813110E-2,1.526035070E-1,3.448191090E-1
5.092306640E-1,2.803404331E-1,2.147102356E-2,9.693568945E-2,2.974025743E-1
5.174448570E-1,2.305862904E-1,6.836414337E-2,8.074659109E-2,2.537000303E-1
5.256565100E-1,2.498726845E-1,-8.554458618E-3,2.264153957E-1,3.373032295E-1
5.338670100E-1,8.207917213E-2,-1.183395386E-1,1.322641373E-1,1.955378196E-1
5.420783570E-1,3.005337715E-2,-1.400098801E-1,1.179029942E-1,1.854914770E-1
5.503362030E-1,-5.831694603E-2,-2.006578445E-1,8.792454004E-2,2.267050099E-1
5.585471640E-1,-2.122223377E-1,-2.170343399E-1,-1.380422711E-1,3.334634822E-1
5.667357410E-1,-2.739393711E-1,-2.616138458E-1,-2.336875796E-1,4.450780474E-1
5.749107410E-1,-2.798383236E-1,-3.756456375E-1,-2.433815002E-1,5.278765831E-1
5.831199330E-1,-3.850605488E-1,-4.083518982E-1,-4.414684474E-1,7.140849313E-1
5.913297790E-1,-3.562457561E-1,-3.609104156E-1,-5.348232985E-1,7.370232883E-1
5.995394330E-1,-2.143197060E-1,-3.922472000E-1,-4.736971855E-1,6.512908919E-1
6.077490870E-1,3.869295120E-3,-4.112119675E-1,-3.901574910E-1,5.668625242E-1
6.159608180E-1,2.667460442E-1,-4.943675995E-1,-1.319553852E-1,5.770311943E-1
6.241700100E-1,4.292640686E-1,-6.086578369E-1,1.453453898E-1,7.588526111E-1
6.323803950E-1,4.663500786E-1,-7.594547272E-1,3.155097961E-1,9.454101279E-1
6.405897790E-1,4.191548824E-1,-9.463729858E-1,4.578735232E-1,1.131795391E0
6.488004330E-1,3.211832047E-1,-1.183815002E0,5.035503507E-1,1.325948554E0
6.570117020E-1,2.313251495E-1,-1.450690269E0,4.554582834E-1,1.538003846E0
6.652225100E-1,8.657598495E-2,-1.686843872E0,3.966667056E-1,1.735016463E0
6.734330480E-1,-1.105020046E-1,-1.932794094E0,3.527198434E-1,1.967819857E0
6.816437790E-1,-3.403449059E-1,-2.135942936E0,3.424200416E-1,2.189826104E0
6.898540480E-1,-4.771251678E-1,-2.359776974E0,3.344694376E-1,2.430651270E0
6.980643170E-1,-4.924607277E-1,-2.546730518E0,3.787773848E-1,2.621416832E0
7.062753170E-1,-5.228967667E-1,-2.773404121E0,4.631795883E-1,2.860022164E0
7.144865100E-1,-5.162210464E-1,-3.020522594E0,5.779793262E-1,3.118349085E0
7.226971250E-1,-5.156424046E-1,-3.221096992E0,7.125355601E-1,3.339020792E0
7.309081250E-1,-3.721933365E-1,-3.399199963E0,7.778688669E-1,3.506874426E0
7.391194330E-1,-2.022027969E-1,-3.488101006E0,8.799892664E-1,3.603070316E0
7.473314710E-1,-1.265606880E-1,-3.473787308E0,9.738693237E-1,3.609935917E0
7.555443940E-1,-9.412717819E-2,-3.380412579E0,1.082806468E0,3.550847642E0
7.637598940E-1,-1.434586048E-1,-3.231877327E0,1.171909809E0,3.440782473E0
7.719712020E-1,-2.359790802E-1,-2.977937698E0,1.257022500E0,3.240972790E0
7.801824330E-1,-3.042292595E-1,-2.647410870E0,1.189067245E0,2.918085103E0
7.883936250E-1,-3.484449387E-1,-2.158740997E0,1.060974717E0,2.430482240E0
7.966067790E-1,-3.522131443E-1,-1.482995510E0,8.376150131E-1,1.739232213E0
8.048179320E-1,-1.991021633E-1,-5.144948959E-1,5.985815525E-1,8.140310463E-1
8.130282020E-1,1.736879349E-2,7.851486206E-1,3.659936190E-1,8.664360106E-1
8.212378550E-1,3.863801956E-1,2.256232262E0,2.691122890E-1,2.304841664E0
8.294482020E-1,7.054209709E-1,3.473282814E0,2.489809394E-1,3.552928899E0
8.376588550E-1,1.289011955E0,4.802556992E0,3.015957177E-1,4.981672957E0
8.458695860E-1,2.014170170E0,6.167058945E0,3.592338562E-1,6.497580047E0
8.540822780E-1,2.535475731E0,7.547150612E0,2.921274304E-1,7.967023156E0
8.622943940E-1,2.739489794E0,8.955146790E0,1.368826628E-2,9.364808899E0
8.705059710E-1,2.829818726E0,1.044184780E1,-4.289585650E-1,1.082700628E1
8.787176630E-1,2.929145336E0,1.198383427E1,-9.722903371E-1,1.237487473E1
8.869269710E-1,3.082731247E0,1.342194080E1,-1.440387249E0,1.384653178E1
8.951380470E-1,3.188987017E0,1.443940639E1,-1.572269678E0,1.487071374E1
9.033490470E-1,3.383221626E0,1.528344154E1,-1.457724214E0,1.572115562E1
9.115595470E-1,3.629936457E0,1.575164509E1,-1.226774812E0,1.621097585E1
9.197696240E-1,3.539543390E0,1.602438354E1,-1.141198277E0,1.645027565E1
9.279796240E-1,3.252581358E0,1.588914776E1,-1.278440595E0,1.626894933E1
9.361904320E-1,2.905867338E0,1.555317307E1,-1.784320951E0,1.592259585E1
9.444008930E-1,2.616172075E0,1.499005413E1,-2.351008654E0,1.539718548E1
9.526117010E-1,2.503465891E0,1.380538750E1,-2.363974333E0,1.422829716E1
9.608238550E-1,2.354074001E0,1.246734047E1,-1.879378080E0,1.282607909E1
9.690352400E-1,2.440540552E0,1.067445183E1,-1.076524258E0,1.100268442E1
9.772467780E-1,2.929590940E0,8.697132111E0,-2.284314632E-1,9.180130226E0
9.854589320E-1,3.235247374E0,6.616620064E0,7.505881786E-1,7.403368777E0
9.936694700E-1,3.042265654E0,4.496550560E0,1.441684484E0,5.617188033E0
1.001879624E0,2.625672102E0,2.509173393E0,1.925343871E0,4.110602648E0
1.010095162E0,2.261201859E0,5.941333771E-1,2.427252531E0,3.370101358E0
1.018305701E0,1.367945194E0,-1.307974339E0,2.965881348E0,3.518312535E0
1.026515624E0,1.225373745E-1,-2.969614029E0,3.154675961E0,4.334236185E0
1.034726278E0,-1.215404510E0,-4.832249165E0,3.034703732E0,5.834146626E0
1.042937585E0,-2.171229362E0,-6.492167950E0,2.911373854E0,7.438990479E0
1.051149816E0,-2.718049526E0,-8.154539108E0,2.753921986E0,9.025984024E0
1.059361970E0,-3.423213959E0,-9.571578979E0,2.674661160E0,1.051129537E1
1.067573355E0,-4.284733772E0,-1.063401222E1,2.682412148E0,1.177439996E1
1.075785893E0,-4.936210632E0,-1.131710339E1,2.782088280E0,1.265634306E1
1.083998085E0,-5.137855053E0,-1.174911976E1,2.855625629E0,1.313750233E1
1.092209585E0,-5.147601604E0,-1.192438698E1,2.984194756E0,1.332644834E1
1.100422431E0,-5.289673328E0,-1.198555946E1,3.131972790E0,1.347009774E1
1.108632162E0,-5.577706337E0,-1.200217247E1,3.099358797E0,1.359297528E1
1.116843431E0,-5.622954369E0,-1.211781120E1,2.818081856E0,1.365285866E1
1.125054431E0,-5.622513771E0,-1.216666794E1,2.394202471E0,1.361516343E1
1.133265816E0,-5.624181747E0,-1.195462418E1,2.044620037E0,1.336880438E1
1.141475547E0,-5.356115818E0,-1.173585987E1,1.582983375E0,1.299708506E1
1.149686085E0,-5.021584034E0,-1.116622829E1,1.284190178E0,1.231056883E1
1.157897970E0,-4.614591599E0,-1.075540161E1,1.127759933E0,1.175776177E1
1.166108123E0,-4.176357746E0,-1.031630993E1,1.054338932E0,1.117943850E1
1.174319277E0,-3.789143801E0,-9.777567863E0,1.121479392E0,1.054590727E1
1.182530354E0,-3.354343414E0,-9.190706253E0,1.252139568E0,9.863496067E0
