"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.953673000E-2,-6.266236305E-3,-4.596424103E-2,-6.656289101E-3,4.686452129E-2
2.775115300E-2,1.237702370E-1,1.296796799E-1,6.976187229E-2,1.923606242E-1
3.596588300E-2,2.997113466E-1,2.680530548E-1,9.780967236E-2,4.138188776E-1
4.418088300E-2,4.532783031E-1,3.073520660E-1,1.280629635E-2,5.478051787E-1
5.240726800E-2,4.941904545E-1,3.206949234E-1,-2.351737022E-2,5.895952051E-1
6.062269100E-2,5.798969269E-1,3.081188202E-1,-1.236230135E-1,6.682067813E-1
6.883738300E-2,6.128182411E-1,2.814035416E-1,-1.945852041E-1,7.018529415E-1
7.705269100E-2,4.374743700E-1,2.834339142E-1,-2.445222139E-1,5.757688088E-1
8.526772900E-2,2.162392139E-1,3.006954193E-1,-2.908149362E-1,4.709038755E-1
9.348234500E-2,5.563414097E-2,4.281015396E-1,-2.834607363E-1,5.164456166E-1
1.016961140E-1,-5.373752117E-2,5.087432861E-1,-3.272227645E-1,6.072743943E-1
1.099103060E-1,-4.451227188E-2,5.975885391E-1,-2.638767362E-1,6.547704455E-1
1.181242290E-1,-4.248142242E-3,6.401491165E-1,-8.587467670E-2,6.458973589E-1
1.263368830E-1,7.946419716E-2,6.220331192E-1,3.637325764E-2,6.281423198E-1
1.345509210E-1,1.703072786E-1,6.076965332E-1,-4.364907742E-2,6.326174892E-1
1.427649600E-1,3.321620226E-1,5.160837173E-1,8.654212952E-2,6.198092874E-1
1.509792290E-1,4.998695850E-1,4.400424957E-1,3.010272980E-3,6.659700157E-1
1.591926910E-1,6.055994034E-1,3.806715012E-1,-8.503741026E-2,7.203421342E-1
1.674066140E-1,6.226481199E-1,2.686262131E-1,-4.622131586E-2,6.796963540E-1
1.756216520E-1,4.393577576E-1,1.535272598E-1,-1.603745222E-1,4.922660318E-1
1.838364210E-1,3.043789864E-1,7.251262665E-2,-2.404984236E-1,3.946443210E-1
1.920498830E-1,1.928274632E-1,-1.686573029E-2,-1.429281235E-1,2.406144881E-1
2.002646900E-1,1.008939743E-1,-8.086967468E-2,-6.219118834E-2,1.434825503E-1
2.084773060E-1,2.255558968E-2,-8.477878571E-2,-2.689117193E-2,9.175691941E-2
2.166904600E-1,6.474351883E-2,-1.253814697E-1,1.508713365E-1,2.065778215E-1
2.249029210E-1,5.235981941E-2,-6.841945648E-2,1.388779283E-1,1.634314892E-1
2.331164590E-1,2.514147758E-2,7.225322723E-2,2.686383724E-1,2.793191685E-1
2.413289590E-1,9.512281418E-2,1.111688614E-1,3.786375523E-1,4.059227285E-1
2.495432670E-1,9.877562523E-2,1.553897858E-1,2.674502134E-1,3.247032897E-1
2.577998440E-1,9.417581558E-2,2.597551346E-1,1.949831247E-1,3.381718988E-1
2.660152290E-1,1.840908527E-1,3.086967468E-1,3.097671270E-1,4.744879309E-1
2.742311900E-1,1.020019054E-1,3.322734833E-1,2.476818562E-1,4.267977955E-1
2.824455360E-1,-1.075935364E-1,2.802839279E-1,2.468703985E-1,3.886906778E-1
2.906598440E-1,-1.225924492E-1,2.076721191E-1,2.798049450E-1,3.693879057E-1
2.989106130E-1,-2.553659678E-1,2.149505615E-1,1.564819813E-1,3.686490633E-1
3.071242280E-1,-3.056502342E-1,2.578439713E-1,2.229248285E-1,4.578220816E-1
3.153391130E-1,-3.462078571E-1,1.980962753E-1,3.622250557E-1,5.388033088E-1
3.235551900E-1,-5.111236572E-1,1.550798416E-1,3.938776255E-1,6.636540771E-1
3.317694980E-1,-5.664719343E-1,2.147378922E-1,3.434895277E-1,6.964107052E-1
3.399855740E-1,-5.782674551E-1,2.428588867E-1,3.805834055E-1,7.336330261E-1
3.481989590E-1,-5.989195108E-1,2.542371750E-1,3.353005648E-1,7.319614678E-1
3.564134970E-1,-4.934126139E-1,2.636213303E-1,2.836371660E-1,6.272178690E-1
3.646284970E-1,-3.900982141E-1,2.344741821E-1,4.455711842E-1,6.369367621E-1
3.728431130E-1,-3.960585594E-1,2.795267105E-1,4.104483128E-1,6.351892488E-1
3.810589200E-1,-3.761527538E-1,2.836532593E-1,3.961589336E-1,6.155420103E-1
3.892724200E-1,-3.457306623E-1,3.230762482E-1,3.510181904E-1,5.891703684E-1
3.974859590E-1,-4.926044941E-1,4.316186905E-1,3.343411684E-1,7.353488277E-1
4.057003430E-1,-6.558742523E-1,4.583425522E-1,2.553862333E-1,8.399232454E-1
4.139146900E-1,-7.682366371E-1,4.008226395E-1,2.961745262E-1,9.157323129E-1
4.221276130E-1,-8.435925245E-1,4.077825546E-1,2.131663561E-1,9.609239588E-1
4.303414200E-1,-8.468788266E-1,3.909330368E-1,2.424113750E-1,9.637404531E-1
4.385560740E-1,-8.500904441E-1,3.378906250E-1,3.386729956E-1,9.754605248E-1
4.467687280E-1,-8.029327989E-1,3.398895264E-1,2.613269091E-1,9.102294892E-1
4.549812280E-1,-7.039790154E-1,2.842760086E-1,2.226938009E-1,7.911964561E-1
4.631937280E-1,-5.791938901E-1,2.307624817E-1,2.282693386E-1,6.639456124E-1
4.714064200E-1,-5.073422194E-1,2.682867050E-1,1.032816172E-1,5.831303251E-1
4.796206890E-1,-4.497405291E-1,2.627725601E-1,-2.100288868E-2,5.213032545E-1
4.878336510E-1,-4.716553092E-1,9.669017792E-2,-6.585824490E-2,4.859475585E-1
4.960462660E-1,-2.810269594E-1,2.024393082E-1,-2.521159649E-1,4.283926764E-1
5.042588820E-1,-1.644136906E-1,1.262502670E-1,-3.803205490E-1,4.331451392E-1
5.124714580E-1,-1.213928461E-1,1.026573181E-1,-5.002432466E-1,5.248981366E-1
5.206847660E-1,-1.935878992E-1,6.489086151E-2,-6.270170808E-1,6.594221093E-1
5.288982660E-1,-1.021242142E-1,8.473014832E-2,-8.879422545E-1,8.978028740E-1
5.371126120E-1,1.955263615E-1,2.172966003E-1,-8.468718529E-1,8.959019510E-1
5.453616510E-1,4.053068161E-1,3.819961548E-1,-9.441500306E-1,1.096181535E0
5.535756510E-1,5.026545525E-1,4.201354980E-1,-9.679251909E-1,1.168783389E0
5.617898040E-1,5.825811625E-1,3.689680099E-1,-7.701684237E-1,1.033778315E0
5.700036890E-1,5.521613359E-1,2.627305984E-1,-6.648322344E-1,9.032781455E-1
5.782191500E-1,6.459968686E-1,1.396284103E-1,-6.486505270E-1,9.260429544E-1
5.864336890E-1,7.889480591E-1,1.716613770E-3,-7.666468620E-1,1.100086087E0
5.946484970E-1,8.964380622E-1,-7.641029358E-2,-8.902866244E-1,1.265721141E0
6.028618810E-1,1.076249361E0,-2.504034042E-1,-8.555515409E-1,1.397491678E0
6.110746890E-1,1.171511412E0,-4.387550354E-1,-9.091693163E-1,1.546458475E0
6.192884200E-1,1.134399295E0,-5.330877304E-1,-9.152922630E-1,1.552032286E0
6.275016500E-1,1.062281370E0,-6.751966476E-1,-9.957541227E-1,1.604948129E0
6.357153810E-1,1.141556740E0,-7.810268402E-1,-1.045792818E0,1.734023452E0
6.439282270E-1,1.209218383E0,-8.528375626E-1,-9.395128489E-1,1.752776483E0
6.521406890E-1,1.343308449E0,-1.038050652E0,-8.796766400E-1,1.912029742E0
6.603537270E-1,1.509110093E0,-1.238057137E0,-8.836918473E-1,2.142687571E0
6.685665350E-1,1.776696205E0,-1.394540787E0,-9.096020460E-1,2.434906424E0
6.767798810E-1,2.008875608E0,-1.569667816E0,-9.705340266E-1,2.727888297E0
6.849943810E-1,2.213224411E0,-1.775092125E0,-9.960433245E-1,3.006894852E0
6.932079580E-1,2.407939434E0,-2.056534290E0,-1.108664155E0,3.355091923E0
7.014222650E-1,2.544467688E0,-2.351648808E0,-1.083619833E0,3.630261681E0
7.096357650E-1,2.493581772E0,-2.737128735E0,-9.465193748E-1,3.821743410E0
7.178494960E-1,2.449045658E0,-3.122126102E0,-9.257388115E-1,4.074615121E0
7.260636110E-1,2.432687283E0,-3.336740971E0,-9.608979225E-1,4.239709016E0
7.342775340E-1,2.360148191E0,-3.455185413E0,-1.013739109E0,4.305377185E0
7.424929580E-1,2.493741035E0,-3.582748413E0,-1.161340475E0,4.517028032E0
7.507062650E-1,2.661034584E0,-3.599393845E0,-1.101897717E0,4.609871981E0
7.589213420E-1,2.719766617E0,-3.715703011E0,-7.596045732E-1,4.666966726E0
7.671359570E-1,2.709811687E0,-4.073073387E0,-4.640722275E-1,4.914099025E0
7.753498800E-1,2.630258799E0,-4.621581078E0,-2.900009155E-1,5.325539741E0
7.835639190E-1,2.884656906E0,-5.225080013E0,-4.369368553E-1,5.984448214E0
7.918147650E-1,2.887993813E0,-5.696861744E0,-5.624189377E-1,6.411790472E0
8.000289190E-1,2.963091135E0,-5.974468231E0,-6.676661968E-1,6.702235289E0
8.082433800E-1,3.165251255E0,-5.890278816E0,-7.214782834E-1,6.725676989E0
8.164578800E-1,3.310638905E0,-5.427321434E0,-8.183577061E-1,6.409825055E0
8.246712260E-1,3.418504238E0,-4.908655643E0,-8.560824394E-1,6.042677270E0
