"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.501380600E-2,1.479283333E0,1.713917732E0,-1.096747518E-1,2.266676360E0
2.322426800E-2,3.262629509E-1,8.019614220E-1,2.627921104E-1,9.047924230E-1
3.143542100E-2,-7.550911903E-1,-1.757502556E-1,2.697197199E-1,8.208529621E-1
3.965899800E-2,-5.836596489E-1,6.063938141E-2,-5.680277348E-1,8.166953090E-1
4.786915200E-2,-4.711046219E-1,6.517701149E-1,-1.135581613E0,1.391506179E0
5.607922900E-2,-4.452376366E-1,6.384158134E-1,-1.039482236E0,1.298589474E0
6.428869100E-2,-3.181309700E-1,3.998489380E-1,-8.583508134E-1,9.989257260E-1
7.249865200E-2,-2.324671745E-1,2.995147705E-1,-5.550746322E-1,6.722037877E-1
8.070807500E-2,-2.522940636E-1,2.574181557E-1,-2.942618132E-1,4.653024995E-1
8.891749800E-2,-3.315806389E-1,2.235617638E-1,-2.680323124E-1,4.814217515E-1
9.712746000E-2,-4.397654533E-1,2.774524689E-1,-4.538732767E-1,6.901988683E-1
1.053368830E-1,-5.687956810E-1,3.074831963E-1,-6.508275270E-1,9.174153436E-1
1.135471520E-1,-6.123528481E-1,1.173310280E-1,-7.625622749E-1,9.850095450E-1
1.217583440E-1,-3.425121307E-2,4.988670349E-1,-7.524082661E-1,9.034155539E-1
1.299680360E-1,-1.030912399E-1,3.566002846E-1,-1.660628319E-1,4.066551744E-1
1.381774210E-1,-8.016681671E-1,-6.588444710E-1,3.127563000E-1,1.083773219E0
1.463867290E-1,-1.070647240E0,-1.167649269E0,4.762559533E-1,1.654240025E0
1.545953060E-1,-6.524519920E-1,-7.818164825E-1,1.011476517E-1,1.023309074E0
1.628042670E-1,-3.884305954E-1,-4.548077583E-1,-4.225907326E-1,7.323328149E-1
1.710137290E-1,-3.563852310E-1,-5.310983658E-1,-2.408983707E-1,6.834529479E-1
1.792234210E-1,-3.216667175E-1,-8.775348663E-1,3.675783873E-1,1.004316081E0
1.874320750E-1,-3.035206795E-1,-1.141279697E0,6.705731153E-1,1.358054658E0
1.956424210E-1,-2.665805817E-1,-1.013321877E0,8.459945321E-1,1.346697138E0
2.038519980E-1,-1.882553101E-1,-9.269604683E-1,7.924007177E-1,1.233934629E0
2.120628440E-1,-1.212844849E-1,-7.276663780E-1,6.032540798E-1,9.529552816E-1
2.202736130E-1,-9.885168076E-2,-5.065846443E-1,5.394948721E-1,7.466286719E-1
2.284836130E-1,1.448712349E-1,-9.184646606E-2,7.085786462E-1,7.290453661E-1
2.366936130E-1,-3.017210960E-1,-3.618941307E-1,8.635506034E-1,9.837289394E-1
2.449048820E-1,-1.076517105E-1,-2.789521217E-1,1.302733898E0,1.336607192E0
