"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.687335400E-2,-5.772066116E-2,6.235580444E-1,-7.511854172E-2,6.307131716E-1
2.508673800E-2,3.352099657E-2,5.510292053E-1,1.964700818E-1,5.859670088E-1
3.330131500E-2,1.341856122E-1,3.982267380E-1,3.884214759E-1,5.722425677E-1
4.151773800E-2,8.286535740E-2,1.221084595E-1,4.298333526E-1,4.544599590E-1
4.973258400E-2,3.022456169E-1,-1.662549973E-1,3.401602507E-1,4.844606622E-1
5.795054600E-2,5.271069407E-1,-3.332433701E-1,8.175784349E-2,6.289492950E-1
6.616543100E-2,3.888225257E-1,-3.432359695E-1,-2.011213899E-1,5.562766405E-1
7.438073800E-2,2.499411404E-1,-2.611217499E-1,-4.728603363E-1,5.951907590E-1
8.259570000E-2,1.289024353E-1,-1.940345764E-1,-6.079922915E-1,6.510913002E-1
9.081012300E-2,8.087754250E-3,-7.824993134E-2,-5.587602854E-1,5.642707861E-1
9.902393000E-2,5.196571350E-3,6.712818146E-2,-3.624832630E-1,3.686832151E-1
1.072362380E-1,4.751265049E-3,3.959741592E-1,-9.040594101E-2,4.061912646E-1
1.154508150E-1,1.220053434E-2,8.057451248E-1,8.892822266E-2,8.107294789E-1
1.236638920E-1,-4.967021942E-2,1.066945076E0,3.540744781E-1,1.125258931E0
1.318763920E-1,-2.371978164E-1,1.100660324E0,6.470400691E-1,1.298605715E0
1.400909300E-1,-3.200099468E-1,8.846740723E-1,9.016316533E-1,1.303071072E0
1.483042760E-1,-3.860300779E-1,5.769004822E-1,8.782131672E-1,1.119415809E0
1.565183920E-1,-3.079305291E-1,3.004980087E-1,5.604157448E-1,7.065310121E-1
1.647301220E-1,-1.572371125E-1,-3.970623016E-2,2.005925179E-1,2.579485462E-1
1.729426990E-1,-2.226399183E-1,-2.008419037E-1,-3.135216236E-1,4.338223277E-1
1.811556610E-1,-1.490137577E-1,-3.212461472E-1,-5.341876149E-1,6.409060734E-1
1.893690840E-1,-2.521156669E-1,-2.523651123E-1,-5.637934208E-1,6.671682552E-1
1.975821990E-1,-3.565602899E-1,-5.141353607E-2,-6.167558432E-1,7.142593101E-1
2.058219300E-1,-2.342942357E-1,7.287311554E-2,-3.875596523E-1,4.587011707E-1
2.140345840E-1,-5.759114027E-2,2.634630203E-1,-2.322916985E-1,3.559338923E-1
2.222503530E-1,-3.556883335E-2,4.722194672E-1,-9.240090847E-2,4.824876112E-1
2.304628530E-1,-8.752864599E-2,4.893884659E-1,1.124922037E-1,5.097223070E-1
2.386771990E-1,-3.293999434E-1,4.702596664E-1,2.054099441E-1,6.097882597E-1
2.469048140E-1,-4.371465445E-1,4.481077194E-1,-7.173693180E-2,6.301141301E-1
2.551212760E-1,-1.065396070E-1,3.548870087E-1,-1.325070858E-1,3.935144274E-1
2.633370450E-1,-9.925997257E-2,3.788394928E-1,-5.715795755E-1,6.928745302E-1
2.715518140E-1,-9.574997425E-2,4.057521820E-1,-7.132581472E-1,8.261598365E-1
2.797661220E-1,1.505234838E-1,3.584423065E-1,-4.982794523E-1,6.319973251E-1
2.879812760E-1,3.322355151E-1,3.566818237E-1,-3.775523901E-1,6.165615688E-1
2.961964300E-1,1.702808738E-1,3.114004135E-1,-3.222239017E-1,4.793683723E-1
3.044148140E-1,-2.177847624E-1,1.667652130E-1,-4.037702084E-1,4.881303311E-1
3.126315830E-1,-5.407041311E-1,-5.564594269E-2,-1.022183180E0,1.157720122E0
3.208469680E-1,-7.136497498E-1,-2.429189682E-1,-1.570881367E0,1.742404620E0
3.290616600E-1,-6.175546646E-1,-3.621215820E-1,-1.996309638E0,2.120791827E0
3.372748910E-1,-5.077313185E-1,-3.585681915E-1,-2.337719679E0,2.418945129E0
3.454896990E-1,-3.343968391E-1,-2.829627991E-1,-2.533588886E0,2.571179075E0
3.537052370E-1,-1.643151045E-1,-2.873840332E-1,-1.923921704E0,1.952194601E0
