"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.144309200E-2,-4.651486874E-2,3.904027939E-1,5.201137066E-2,3.965894063E-1
3.965620700E-2,1.377631426E-1,3.331403732E-1,3.331813812E-1,4.908879959E-1
4.786993800E-2,2.485630512E-1,2.869853973E-1,4.707607031E-1,6.047808267E-1
5.608316800E-2,2.840988636E-1,3.525943756E-1,4.504432678E-1,6.386971861E-1
6.433513000E-2,2.822725177E-1,4.993028641E-1,3.354314566E-1,6.644511919E-1
7.254851500E-2,2.740505934E-1,7.360248566E-1,2.146602869E-1,8.141961410E-1
8.077113000E-2,2.950487137E-1,1.077228546E0,1.389967203E-1,1.125519956E0
8.898328400E-2,2.820364833E-1,1.459982872E0,2.226853371E-1,1.503556891E0
9.719516800E-2,2.828089297E-1,1.985457420E0,4.849301577E-1,2.063293318E0
1.054446300E-1,2.507077456E-1,2.626113892E0,1.020792484E0,2.828665028E0
1.136564760E-1,4.045602083E-1,3.032853127E0,9.566329718E-1,3.205778173E0
1.218898990E-1,5.591140389E-1,3.299305916E0,5.277197361E-1,3.387700718E0
1.301277450E-1,8.386141658E-1,3.614873886E0,4.200130701E-1,3.734567968E0
1.383785530E-1,1.059859633E0,3.844129562E0,-3.562927246E-1,4.003445896E0
1.466162830E-1,1.593018055E0,3.871705055E0,-5.239461660E-1,4.219280287E0
1.548308220E-1,2.134846449E0,3.943445206E0,-8.363716602E-1,4.561561904E0
1.630768990E-1,2.411549091E0,3.410966873E0,-1.307465076E0,4.377182765E0
1.712912830E-1,2.805611134E0,2.167174339E0,-1.651896834E0,3.911120249E0
1.795055530E-1,2.785616875E0,4.869480133E-1,-9.737266302E-1,2.990806462E0
1.877598600E-1,1.788321257E0,-1.251051903E0,-1.622205973E-1,2.188501611E0
1.959725140E-1,9.309542179E-2,-3.017169952E0,-1.940078437E-1,3.024833933E0
2.041862450E-1,-1.316207170E0,-4.638196468E0,-4.923226237E-1,4.846405819E0
2.124260140E-1,-2.095158339E0,-5.838763237E0,-6.820067167E-1,6.240671259E0
2.206395910E-1,-2.344948292E0,-6.820157528E0,-5.505774021E-1,7.233012282E0
2.288784370E-1,-2.362833977E0,-7.287468910E0,-4.759204984E-1,7.675720672E0
2.370920520E-1,-2.052621365E0,-7.010026932E0,-2.399238646E-1,7.308303190E0
2.453062060E-1,-1.650936365E0,-5.707788944E0,3.152031302E-1,5.950109119E0
2.535203600E-1,-1.317091107E0,-4.317553043E0,1.043382049E0,4.632994644E0
2.617345520E-1,-8.451178670E-1,-2.960707664E0,1.715905666E0,3.524818625E0
2.699917450E-1,-3.096399307E-1,-1.745867252E0,2.069905519E0,2.725516136E0
2.782059750E-1,-2.984660268E-1,-1.270332336E-1,1.775633574E0,1.805019113E0
2.864184750E-1,-4.001694918E-1,1.566845894E0,1.010153294E0,1.906712184E0
2.946570520E-1,-8.678398132E-1,3.101675034E0,5.008556843E-1,3.259507689E0
3.028697060E-1,-1.166981697E0,4.182194710E0,-4.966205359E-1,4.370266677E0
3.111077060E-1,-1.352579832E0,4.544510841E0,-9.375022650E-1,4.833317855E0
3.193213600E-1,-1.523245573E0,4.052123070E0,-9.911264181E-1,4.440980750E0
3.275649370E-1,-1.965188265E0,3.132695198E0,-1.122163415E0,3.864582105E0
3.357797440E-1,-1.886912227E0,1.747439384E0,-1.183858514E0,2.831166391E0
3.439928600E-1,-1.049736738E0,6.356306076E-1,-9.716727138E-1,1.565286348E0
3.522469750E-1,7.030010223E-2,-4.268178940E-1,-7.410848737E-1,8.580923080E-1
3.604610900E-1,9.654638767E-1,-7.831974030E-1,-3.435282707E-1,1.289779183E0
3.686939750E-1,1.609131455E0,-6.747131348E-1,4.440212250E-2,1.745426425E0
3.769343980E-1,1.785009146E0,-1.617527008E-2,-1.524841785E-2,1.785147558E0
3.851480520E-1,1.787987232E0,5.828399658E-1,-1.325306892E-1,1.885249361E0
3.934048980E-1,1.689260721E0,1.371622086E0,-4.392981529E-2,2.176437171E0
4.016183210E-1,1.740337133E0,1.269540787E0,-5.846211910E-1,2.232104183E0
4.098308210E-1,1.743461132E0,5.355358124E-1,-8.507662416E-1,2.012525409E0
4.180703210E-1,1.915364861E0,5.973606110E-1,-2.568497658E-1,2.022729358E0
4.262835130E-1,1.988776922E0,7.712945938E-1,-1.756727695E-2,2.133175475E0
4.345013590E-1,2.035483837E0,8.083429337E-1,1.782568693E-1,2.197359384E0
4.427130130E-1,2.341713667E0,5.596141815E-1,3.848105669E-1,2.438210430E0
4.509392440E-1,2.666566372E0,2.634878159E-1,1.876611710E-1,2.686115925E0
4.591526280E-1,2.880424976E0,7.196807861E-2,6.824636459E-2,2.882132026E0
4.673656280E-1,3.209073544E0,-1.296777725E-1,5.253744125E-2,3.212122276E0
4.756118980E-1,3.303810120E0,-3.343200684E-1,-1.431221962E-1,3.323765211E0
4.838241670E-1,2.812005997E0,-1.772527695E-1,-3.228545189E-1,2.836023856E0
4.920356280E-1,3.146382570E0,-1.945104599E-1,-1.887526512E-1,3.158035016E0
5.002723590E-1,3.010275364E0,-1.547307968E-1,-3.474854231E-1,3.034212502E0
5.085112440E-1,2.896894455E0,-6.881904602E-2,-3.239378929E-1,2.915762216E0
5.167493970E-1,2.624848604E0,6.329441071E-2,-1.996060610E-1,2.633187984E0
5.249615900E-1,2.039994001E0,2.571096420E-1,-2.142734528E-1,2.067267280E0
5.331860900E-1,1.625443459E0,4.608163834E-1,-1.637187004E-1,1.697416269E0
5.413988970E-1,1.384290099E0,5.565652847E-1,4.277229309E-3,1.491992724E0
5.496108200E-1,1.193014860E0,6.632461548E-1,-6.674885750E-3,1.364999807E0
5.578570900E-1,1.097628951E0,6.403579712E-1,-1.522343159E-1,1.279852700E0
5.660724740E-1,1.073583722E0,6.034727097E-1,-2.776161432E-1,1.262470611E0
5.742867050E-1,8.640079498E-1,5.764751434E-1,-5.003879070E-1,1.152918638E0
5.825268970E-1,5.901907682E-1,6.154527664E-1,-4.622704983E-1,9.699491039E-1
5.907650510E-1,2.353831530E-1,5.957469940E-1,-2.893098593E-1,7.028654951E-1
5.990039740E-1,-1.922509670E-1,6.341972351E-1,-1.081323624E-1,6.714604792E-1
6.072162820E-1,-5.279884338E-1,5.821809769E-1,4.609513283E-2,7.872936157E-1
6.154479360E-1,-7.324123383E-1,5.107717514E-1,1.153186560E-1,9.003410508E-1
6.236602430E-1,-8.675669432E-1,3.832960129E-1,-6.690967083E-2,9.508234002E-1
6.318720890E-1,-7.809100151E-1,2.743730545E-1,-1.632480621E-1,8.436533379E-1
6.401176280E-1,-5.386855602E-1,1.555347443E-1,-3.062783480E-1,6.388893612E-1
6.483293200E-1,-1.182978153E-1,2.441692352E-2,-1.784667969E-1,2.155016400E-1
6.565423580E-1,2.720261216E-1,-7.067871094E-2,2.952301502E-2,2.826044930E-1
6.647814740E-1,2.944900393E-1,-9.153652191E-2,1.724905968E-1,3.533501438E-1
6.730223200E-1,1.136348248E-1,-1.924705505E-2,2.598305941E-1,2.842450706E-1
6.812635890E-1,-1.502646208E-1,7.418155670E-2,2.065690756E-1,2.659946289E-1
6.894768970E-1,-3.562049866E-1,1.334896088E-1,-4.057610035E-2,3.825544249E-1
6.977008970E-1,-4.543361664E-1,1.467447281E-1,-2.487721443E-1,5.383706410E-1
7.059145890E-1,-4.071844816E-1,1.836814880E-1,-3.243515491E-1,5.520344360E-1
7.141274350E-1,-2.988682985E-1,1.488885880E-1,-2.980815172E-1,4.475965398E-1
7.223746270E-1,-2.348471880E-1,1.382513046E-1,-2.209868431E-1,3.508586749E-1
7.305873580E-1,-1.834394932E-1,9.205245972E-2,-1.676796675E-1,2.650286284E-1
7.388024740E-1,-4.633617401E-2,1.276273727E-1,-1.549632549E-1,2.060325161E-1
7.470430500E-1,-5.793261528E-2,4.352378845E-2,-2.057729959E-1,2.181582773E-1
7.552829350E-1,-1.308382750E-1,1.498985291E-2,-3.353101015E-1,3.602446586E-1
7.635239730E-1,-1.895225048E-1,4.687404633E-2,-3.314893246E-1,3.847091477E-1
7.717390890E-1,-1.274099350E-1,5.766963959E-2,-2.542606592E-1,2.901853919E-1
7.799657810E-1,-1.313920021E-1,1.175699234E-1,-1.785837412E-1,2.509555692E-1
7.881793960E-1,-3.053975105E-2,1.875505447E-1,-9.372282028E-2,2.118769696E-1
7.963918580E-1,7.010364532E-2,1.740388870E-1,-7.259941101E-2,2.011833238E-1
8.046389350E-1,1.258086562E-1,1.153707504E-1,-1.364525557E-1,2.185349583E-1
8.128508960E-1,1.943573952E-1,1.454925537E-1,-2.149791718E-1,3.242821681E-1
8.210985500E-1,8.718323708E-2,1.496801376E-1,-3.686649799E-1,4.073314717E-1
8.293373580E-1,7.622134686E-2,2.068443298E-1,-4.635103941E-1,5.132603199E-1
8.375754730E-1,5.226612091E-3,2.547454834E-1,-5.381349325E-1,5.954089220E-1
8.458127810E-1,-1.376390457E-3,3.482780457E-1,-5.754106045E-1,6.726045311E-1
8.540251270E-1,9.889006615E-3,4.394721985E-1,-5.536872149E-1,7.069675647E-1
8.622577810E-1,3.147351742E-2,5.307874680E-1,-5.237100124E-1,7.463230504E-1
8.704704730E-1,1.270640492E-1,5.767927170E-1,-5.173251629E-1,7.851499444E-1
8.786848580E-1,2.536596656E-1,6.539440155E-1,-5.480558872E-1,8.901411444E-1
8.869339730E-1,3.001171350E-1,7.815294266E-1,-6.205399036E-1,1.042078841E0
8.951472420E-1,3.219550252E-1,8.493518829E-1,-7.318323851E-1,1.166461443E0
9.033617040E-1,3.736773133E-1,8.862295151E-1,-8.849515915E-1,1.306972382E0
9.116019340E-1,4.958422780E-1,9.305963516E-1,-9.463999271E-1,1.416877538E0
9.198420500E-1,7.049761415E-1,1.066612244E0,-9.058573246E-1,1.566917525E0
9.280820500E-1,8.338718414E-1,1.237174988E0,-8.674720526E-1,1.725819214E0
9.362954340E-1,9.083607197E-1,1.415997505E0,-9.453659058E-1,1.929736984E0
9.445211650E-1,9.248668551E-1,1.648889542E0,-1.135445237E0,2.205323402E0
9.527345500E-1,9.223058224E-1,1.943459511E0,-1.896317363E0,2.867699852E0
9.609483570E-1,9.053910375E-1,2.171474457E0,-3.181641579E0,3.957003586E0
9.691894730E-1,6.291380525E-1,2.283179283E0,-3.352394819E0,4.104543014E0
9.774040500E-1,6.557470560E-2,2.141799927E0,-2.165809393E0,3.046692845E0
9.856461260E-1,-2.932118177E-1,1.871222496E0,-5.269744396E-1,1.965998184E0
9.938856650E-1,-4.774698615E-1,1.495234489E0,4.066033363E-1,1.621428358E0
1.002125896E0,-5.470167994E-1,9.948768616E-1,1.246135235E-1,1.142162807E0
1.010343473E0,-7.061407566E-1,5.797328949E-1,-1.145695686E0,1.465381726E0
1.018556319E0,-8.722066283E-1,4.344940186E-1,-2.414407492E0,2.603630732E0
1.026771896E0,-9.790403843E-1,3.927011490E-1,-3.046968222E0,3.224399108E0
1.034984357E0,-1.037367940E0,4.768180847E-1,-3.102881908E0,3.306261312E0
1.043198972E0,-1.004086256E0,5.665721893E-1,-2.962297678E0,3.178742013E0
1.051438319E0,-9.204238653E-1,6.024799347E-1,-2.686761856E0,2.903248428E0
1.059651472E0,-8.000780940E-1,6.783304214E-1,-2.403156281E0,2.622101681E0
1.067866088E0,-6.049910188E-1,7.583999634E-1,-2.127088070E0,2.337881155E0
1.076106626E0,-4.104518890E-1,1.024822235E0,-1.685247660E0,2.014644148E0
1.084347934E0,-2.741900086E-1,1.439235687E0,-1.068388343E0,1.813293461E0
1.092583318E0,-3.264937401E-1,1.893261909E0,-5.298167467E-1,1.992923633E0
1.100800703E0,-5.744995475E-1,2.319120407E0,-2.003833055E-1,2.397607696E0
1.109036511E0,-9.980177879E-1,2.711149216E0,-2.105590105E-1,2.896671309E0
1.117252895E0,-1.335233450E0,2.894566536E0,-3.603795767E-1,3.207995829E0
1.125470011E0,-1.617691517E0,2.879049301E0,-5.363179445E-1,3.345666998E0
1.133706203E0,-1.677979708E0,2.516189575E0,-4.872436523E-1,3.063369428E0
1.141922241E0,-1.505475044E0,1.673930168E0,-2.970458269E-1,2.270844235E0
1.150156087E0,-1.302245378E0,6.121816635E-1,-9.018921852E-2,1.441784835E0
1.158396357E0,-1.008926392E0,-4.738082886E-1,2.447379827E-1,1.141193865E0
1.166639395E0,-9.700871110E-1,-1.441509247E0,1.130142212E-1,1.741203643E0
1.174866126E0,-1.106400013E0,-2.308120251E0,-1.093124866E0,2.783246675E0
1.183082164E0,-1.296850204E0,-2.318781853E0,-2.599169254E0,3.716752688E0
1.191331703E0,-1.152734399E0,-1.721471310E0,-3.593026161E0,4.147541086E0
1.199545856E0,-1.028473139E0,-2.448520660E-1,-4.620814800E0,4.740215074E0
1.207759856E0,-4.432432652E-1,1.456010818E0,-4.863732815E0,5.096305425E0
1.215993202E0,1.810942292E-1,2.402437210E0,-3.083714485E0,3.913284387E0
1.224207433E0,9.029027820E-1,2.483017921E0,-7.530713081E-1,2.747312837E0
1.232421049E0,8.367667198E-1,2.213547707E0,1.179994345E0,2.644306837E0
1.240661356E0,2.839940786E-1,2.016512871E0,2.752910614E0,3.424250815E0
1.248902087E0,-7.447206974E-2,2.022068977E0,3.192886114E0,3.780056981E0
1.257128510E0,3.498828411E-2,1.860137939E0,3.342607975E0,3.825488911E0
1.265344087E0,4.425581694E-1,1.529709816E0,3.245757818E0,3.615358028E0
1.273562818E0,9.593803883E-1,1.045209885E0,3.600456953E0,3.869904999E0
1.281779895E0,1.714005828E0,3.831176758E-1,4.058078289E0,4.421831581E0
1.289995433E0,2.180338860E0,-3.460788727E-2,4.421581268E0,4.930056405E0
1.298238125E0,2.160526037E0,-1.112880707E-1,4.412627220E0,4.914421306E0
1.306450971E0,2.043503761E0,-3.285083771E-1,4.223869801E0,4.703711457E0
1.314692087E0,2.050151587E0,-5.048475266E-1,3.454978228E0,4.049057558E0
1.322967894E0,2.588739634E0,-6.651287079E-1,1.472260952E0,3.051478560E0
1.331208664E0,3.015952349E0,-8.264999390E-1,2.220806479E-1,3.135026401E0
1.339449010E0,3.157280445E0,-1.112296104E0,-4.505598545E-1,3.377665853E0
1.347661817E0,2.656805038E0,-1.183093071E0,-1.681510448E0,3.359434419E0
1.355893971E0,2.025067806E0,-1.123779297E0,-2.119798422E0,3.139637698E0
1.364131779E0,1.709368467E0,-1.182808876E0,-1.137727261E0,2.369683674E0
1.372369856E0,1.487712860E0,-1.233901978E0,3.758415282E-1,1.969025266E0
1.380600163E0,1.159922242E0,-1.316852570E0,1.554893374E0,2.344613764E0
1.388813548E0,9.614564180E-1,-1.295010567E0,1.969387293E0,2.545572062E0
1.397029625E0,8.514842987E-1,-1.235087395E0,1.744342804E0,2.300695156E0
1.405241009E0,9.186284542E-1,-1.091913223E0,1.276125908E0,1.914327573E0
1.413452394E0,1.184212685E0,-1.021415710E0,9.475572109E-1,1.828527934E0
1.421691240E0,1.477818012E0,-1.126651764E0,8.786725402E-1,2.055567004E0
1.429904202E0,1.727916241E0,-1.309121132E0,5.869434476E-1,2.245884076E0
1.438116009E0,1.888228059E0,-1.492300510E0,3.734125495E-1,2.435529295E0
1.446355240E0,1.979157209E0,-1.659798145E0,6.113548875E-1,2.654382780E0
1.454594971E0,2.083742619E0,-1.771086216E0,9.258103371E-1,2.887187986E0
1.462820394E0,2.127065897E0,-1.495296955E0,1.135300040E0,2.837116229E0
1.471034317E0,2.073064327E0,-9.497680664E-1,9.123742580E-1,2.456029697E0
1.479255894E0,1.950978637E0,-2.491378784E-1,1.920642257E-1,1.976177115E0
1.487471048E0,1.853154182E0,4.029455185E-1,-3.390759230E-1,1.926530040E0
1.495686701E0,1.329590082E0,1.163071632E0,-1.000996590E0,2.030403798E0
1.503920278E0,8.902227879E-1,1.729025841E0,-2.037385225E0,2.816552063E0
1.512132855E0,3.039035797E-1,1.941352844E0,-2.599509716E0,3.258628395E0
1.520345509E0,-3.452219963E-1,1.813860893E0,-3.057335377E0,3.571633964E0
1.528585355E0,-9.288995266E-1,1.045454979E0,-3.332215071E0,3.613791322E0
1.536824701E0,-1.492352247E0,1.803731918E-1,-3.340989590E0,3.663585833E0
1.545056278E0,-1.782280445E0,-5.058069229E-1,-2.881598949E0,3.425781186E0
1.553269740E0,-1.833519697E0,-8.137807846E-1,-1.878555655E0,2.748273093E0
1.561486278E0,-1.580140829E0,-8.349218369E-1,-5.711868405E-1,1.876217983E0
1.569699624E0,-9.301187992E-1,-6.018209457E-1,6.627750397E-1,1.290960954E0
1.577912086E0,-1.569938660E-1,-4.039297104E-1,1.330670476E0,1.399460682E0
1.586135778E0,4.017074108E-1,-2.719049454E-1,1.453790426E0,1.532582052E0
1.594349355E0,8.643406630E-1,-2.006244659E-1,1.124991417E0,1.432808657E0
1.602582778E0,1.114241242E0,-1.513738632E-1,6.047771573E-1,1.276794033E0
1.610821932E0,1.073567510E0,3.218650818E-3,1.856296062E-1,1.089502597E0
1.619061470E0,7.503449917E-1,2.276916504E-1,-4.258739948E-2,7.852864323E-1
1.627291278E0,3.804595470E-1,4.144315720E-1,-2.024482489E-1,5.979032432E-1
1.635504124E0,1.065864563E-1,4.891080856E-1,-5.025904775E-1,7.093550452E-1
1.643756470E0,-3.713488579E-2,4.706726074E-1,-1.013446808E0,1.118027788E0
1.651970162E0,1.617026329E-2,3.680677414E-1,-1.652415037E0,1.692988717E0
1.660183932E0,3.024864197E-1,1.279497147E-1,-2.216238499E0,2.240442422E0
1.668425239E0,7.482134104E-1,-1.785726547E-1,-2.523756266E0,2.638381547E0
1.676639085E0,1.100150585E0,-5.371131897E-1,-2.414687872E0,2.707312211E0
1.684852470E0,1.349565268E0,-9.332294464E-1,-1.971343994E0,2.564847121E0
1.693094085E0,1.468799472E0,-1.330774307E0,-1.253633738E0,2.345192890E0
1.701337124E0,1.525299788E0,-1.731873989E0,-5.488859415E-1,2.372172577E0
1.709569508E0,1.566436291E0,-2.172297955E0,2.620273829E-1,2.690958826E0
1.717782239E0,1.547998905E0,-2.385520935E0,1.012049913E0,3.018485675E0
1.725995816E0,1.475004196E0,-2.374230862E0,1.684008598E0,3.263203108E0
1.734209047E0,1.128982306E0,-1.305227280E0,2.427784443E0,2.978650130E0
1.742424008E0,5.161212683E-1,1.424033165E0,3.620935440E0,3.924974532E0
1.750659393E0,-1.081631184E-1,4.566118240E0,4.741895199E0,6.583821468E0
1.758874508E0,-3.088150024E-1,6.792772293E0,4.929224491E0,8.398474636E0
1.767088970E0,2.955129147E-1,8.165381432E0,4.403159618E0,9.281626820E0
1.775330200E0,1.268612623E0,8.809738159E0,3.441111565E0,9.542647076E0
1.783571739E0,2.892282724E0,8.790726662E0,1.816327214E0,9.430865239E0
1.791798546E0,4.816946983E0,7.036201477E0,-6.369547844E-1,8.550837436E0
1.800013200E0,8.232905388E0,4.025007248E0,-1.256600285E1,1.555267958E1
1.808259123E0,5.782154083E0,4.349231720E-1,-1.889599228E1,1.976565173E1
1.816474354E0,4.008959770E0,-2.686628342E0,-8.202168465E0,9.516580153E0
1.824688969E0,3.772149801E0,-3.071873188E0,1.402196527E0,5.062773361E0
1.832922162E0,2.995786667E0,-2.624945641E0,7.335515499E0,8.347147118E0
1.841138085E0,1.051536202E0,-2.632050514E0,1.022602558E1,1.061155113E1
1.849372315E0,-2.726495266E-1,-3.300279617E0,9.013162613E0,9.602254090E0
1.857616046E0,-1.113809228E0,-4.040153503E0,6.406782627E0,7.655734776E0
1.865858508E0,-1.758930087E0,-4.187569141E0,3.346573114E0,5.641730406E0
1.874083469E0,-2.171136856E0,-3.503509521E0,1.915109158E0,4.544893541E0
1.882297546E0,-2.060712337E0,-2.402346134E0,7.952131033E-1,3.263459233E0
1.890512700E0,-1.178783059E0,-1.008290291E0,3.793646693E-1,1.596902115E0
