"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.064320400E-2,-2.143564224E-1,6.153845787E-2,-2.389585972E-2,2.242914839E-1
2.885285800E-2,-2.462596893E-1,5.825448036E-2,3.977966309E-2,2.561636990E-1
3.706335800E-2,-2.192878723E-1,-6.662130356E-3,1.330062151E-1,2.565583914E-1
4.527408900E-2,-1.660194397E-1,-6.657123566E-3,1.621977091E-1,2.321957547E-1
5.348724300E-2,-6.842613220E-2,-2.471113205E-2,1.268324852E-1,1.462164660E-1
6.169962700E-2,-3.641128540E-2,9.210562706E-2,1.071434021E-1,1.459072886E-1
6.991020400E-2,8.136272430E-2,1.022856236E-1,5.347728729E-2,1.412163657E-1
7.811974300E-2,2.506284714E-1,8.227682114E-2,7.507717609E-2,2.742639027E-1
8.632878100E-2,2.023611069E-1,1.398816109E-1,4.465985298E-2,2.500227692E-1
9.453655000E-2,-5.111694336E-4,1.823289394E-1,4.392969608E-2,1.875471185E-1
1.027555890E-1,-1.594934464E-1,2.123458385E-1,3.463172913E-2,2.678213420E-1
1.109626270E-1,-3.821945190E-1,2.200448513E-1,5.706036091E-2,4.446889607E-1
1.191713960E-1,-4.680814743E-1,2.007782459E-1,1.106476784E-1,5.212054099E-1
1.273834350E-1,-5.119018555E-1,2.209949493E-1,1.906493902E-1,5.892617986E-1
1.355942810E-1,-4.810857773E-1,2.244384289E-1,2.212889194E-1,5.751390435E-1
1.438047040E-1,-2.411365509E-1,1.791253090E-1,3.209025860E-1,4.395579395E-1
1.520143190E-1,5.823707581E-2,1.634464264E-1,2.221393585E-1,2.818726413E-1
1.602247420E-1,1.923875809E-1,2.646298409E-1,1.386030912E-1,3.553206310E-1
1.684347810E-1,1.203184128E-1,2.827990055E-1,-7.719755173E-3,3.074270525E-1
1.766447040E-1,-7.050991058E-2,2.960076332E-1,-2.895867825E-1,4.200626989E-1
1.848543190E-1,-1.639299393E-1,2.797534466E-1,-5.349895954E-1,6.255788384E-1
1.930631650E-1,-1.723518372E-1,1.554849148E-1,-6.158417463E-1,6.581350705E-1
2.012738580E-1,-2.608499527E-1,1.102297306E-1,-5.953810811E-1,6.592965365E-1
2.094838960E-1,-2.060546875E-1,9.732317924E-2,-3.609410524E-1,4.268592025E-1
2.176929340E-1,-1.162691116E-1,8.266854286E-2,-1.199193597E-1,1.863685787E-1
2.259028580E-1,2.177333832E-1,4.121375084E-2,-4.984736443E-3,2.216556947E-1
2.341141650E-1,6.195735931E-1,3.846573830E-2,1.638630629E-1,6.420297140E-1
2.423247810E-1,8.552999496E-1,1.156909466E-1,3.721429110E-1,9.399003911E-1
2.505337420E-1,8.685131073E-1,1.232702732E-1,3.693120480E-1,9.517888246E-1
2.587428960E-1,8.559598923E-1,1.039514542E-1,3.320493698E-1,9.239751220E-1
2.669517030E-1,7.707185745E-1,9.415411949E-2,3.364531994E-1,8.462108926E-1
2.751603190E-1,6.226978302E-1,1.370972395E-1,1.525298357E-1,6.556017019E-1
2.833701650E-1,5.926713943E-1,1.607885361E-1,7.491993904E-2,6.186479874E-1
2.915819340E-1,5.403537750E-1,1.716721058E-1,-1.274409294E-1,5.811150528E-1
2.997921260E-1,4.361610413E-1,1.862221956E-1,-2.575432658E-1,5.396699860E-1
3.080023570E-1,3.119087219E-1,2.380640507E-1,-3.128741384E-1,5.018483531E-1
3.162122420E-1,2.081060410E-1,2.943843603E-1,-2.108820081E-1,4.176619413E-1
3.244220110E-1,1.346206665E-2,3.473074436E-1,-2.982259989E-1,4.579764558E-1
3.326316650E-1,-1.171302795E-1,3.474771976E-1,-2.574064732E-1,4.480156222E-1
3.408419340E-1,-1.951417923E-1,2.691323757E-1,-1.969733238E-1,3.864078740E-1
3.490648950E-1,-1.058712006E-1,1.642833948E-1,-2.774987817E-1,3.394161439E-1
3.572737800E-1,-1.588344574E-2,1.249018908E-1,-2.590443492E-1,2.880221190E-1
3.654822800E-1,-9.179210663E-2,1.305136681E-1,-2.652086616E-1,3.095080654E-1
3.736922420E-1,-3.117856979E-1,1.614668369E-1,-3.741706014E-1,5.131135350E-1
3.819022420E-1,-4.411115646E-1,1.769400835E-1,-4.888684154E-1,6.818207485E-1
3.901119720E-1,-5.271329880E-1,1.237764359E-1,-5.173702836E-1,7.489070726E-1
3.983218570E-1,-6.102342606E-1,1.480385065E-1,-6.217377782E-1,8.836623320E-1
4.065309340E-1,-6.236505508E-1,6.915068626E-2,-4.661404490E-1,7.816704838E-1
4.147411640E-1,-6.050729752E-1,-6.195473671E-2,-2.224468589E-1,6.476374755E-1
4.229508180E-1,-4.658851624E-1,-1.369063854E-1,-3.142154217E-2,4.866000988E-1
4.311608570E-1,-2.735233307E-1,-1.410720348E-1,2.268862724E-1,3.823528633E-1
4.393737410E-1,-2.648296356E-1,-5.366432667E-2,4.780681133E-1,5.491481738E-1
4.475854340E-1,-3.347272873E-1,1.276648045E-2,4.466372728E-1,5.582922115E-1
4.557963180E-1,-1.652145386E-1,-9.562754631E-2,4.393353462E-1,4.790156760E-1
4.640053180E-1,9.044933319E-2,-1.203604937E-1,4.395165443E-1,4.645885524E-1
4.722150100E-1,-4.955577850E-2,-4.527211189E-3,3.290582895E-1,3.327996826E-1
4.804247800E-1,-2.817878723E-1,5.324411392E-2,2.320441008E-1,3.688953854E-1
4.886334720E-1,-4.785251617E-1,-6.341457367E-3,2.836740017E-2,4.794071901E-1
4.968420870E-1,-4.218063354E-1,-4.360830784E-2,-2.091600895E-1,4.728321184E-1
5.050512410E-1,-4.160604477E-1,-1.770234108E-2,-3.486030698E-1,5.430872575E-1
5.132401260E-1,-4.457473755E-1,7.703351974E-2,-2.899246216E-1,5.372905844E-1
5.214143560E-1,-4.529170990E-1,2.163929939E-1,-3.241630197E-1,5.975294886E-1
5.296241260E-1,-3.469104767E-1,2.931492329E-1,-1.230623722E-1,4.705610471E-1
5.378350490E-1,-2.088136673E-1,4.150404930E-1,8.083939552E-2,4.715896165E-1
5.460459330E-1,-1.011180878E-1,5.406241417E-1,2.192441225E-1,5.920872533E-1
5.542559720E-1,1.144561768E-1,5.894237161E-1,3.877438307E-1,7.147487752E-1
5.624660490E-1,2.706146240E-1,6.612347364E-1,5.201088190E-1,8.837289375E-1
5.706755480E-1,2.019462585E-1,7.573980689E-1,4.991751909E-1,9.293061914E-1
5.788876250E-1,2.025451660E-1,7.711104751E-1,5.537083149E-1,9.706847104E-1
5.870988560E-1,1.168632507E-1,8.393115997E-1,5.734872818E-1,1.023224630E0
5.953173180E-1,-3.760814667E-2,8.512502313E-1,4.556535482E-1,9.662616028E-1
6.035262790E-1,-8.998966217E-2,7.682713270E-1,4.001344442E-1,8.708883652E-1
6.117355100E-1,-1.594018936E-1,6.674190760E-1,2.788602114E-1,7.406890064E-1
6.199465480E-1,-1.691179276E-1,5.577532649E-1,2.514976263E-1,6.347760502E-1
6.281545870E-1,-1.288566589E-1,4.833548069E-1,1.928092241E-1,5.361075497E-1
6.363648170E-1,1.173486710E-1,3.571497202E-1,8.740353584E-2,3.859611526E-1
6.445773560E-1,3.850393295E-1,2.576326132E-1,-1.291349530E-1,4.809424963E-1
6.527878560E-1,3.243331909E-1,2.161648273E-1,-2.627870440E-1,4.700811439E-1
6.609965870E-1,1.941690445E-1,9.383046627E-2,-4.669201970E-1,5.143153163E-1
6.692056250E-1,1.940555573E-1,-8.041489124E-2,-6.225169301E-1,6.570018587E-1
6.774132400E-1,1.347017288E-1,-1.904085875E-1,-6.629115343E-1,7.027458205E-1
6.856212790E-1,1.164674759E-1,-2.822358608E-1,-6.014887691E-1,6.745446563E-1
6.938307790E-1,1.609315872E-1,-3.504943848E-1,-4.809036851E-1,6.164524668E-1
7.020422020E-1,2.660675049E-1,-4.200859070E-1,-3.203075528E-1,5.914905027E-1
7.102538170E-1,3.929204941E-1,-4.511247873E-1,-1.888344884E-1,6.273424523E-1
7.184658560E-1,5.125589371E-1,-5.546885729E-1,-4.029226303E-2,7.563197362E-1
7.266763560E-1,6.320648193E-1,-6.186196804E-1,1.522650123E-1,8.974301526E-1
7.348861630E-1,8.303270340E-1,-6.792546511E-1,3.057861328E-1,1.115497657E0
7.430962790E-1,1.009204865E0,-6.866444349E-1,4.676608443E-1,1.307165523E0
7.513074710E-1,1.108872414E0,-6.821906567E-1,5.625713468E-1,1.418262543E0
7.595166250E-1,1.141532898E0,-6.515773535E-1,5.522165895E-1,1.425690558E0
7.677250860E-1,1.141147614E0,-5.953891277E-1,5.160760880E-1,1.386737400E0
7.759343940E-1,1.243665695E0,-5.498517752E-1,4.290671945E-1,1.425882181E0
7.841435090E-1,1.228853226E0,-4.478434324E-1,3.267506957E-1,1.348113499E0
7.923527400E-1,1.350601196E0,-4.048488140E-1,3.121609688E-1,1.444115862E0
8.005630090E-1,1.419946671E0,-2.889096737E-1,4.097592235E-1,1.505861869E0
8.087715860E-1,1.242579460E0,-1.495811939E-1,4.053291082E-1,1.315549290E0
8.169810860E-1,9.668312073E-1,-3.799569607E-2,2.577666044E-1,1.001324063E0
8.251902780E-1,6.431779861E-1,-2.029418945E-2,8.120524883E-2,6.486016254E-1
8.334013170E-1,4.656877518E-1,-6.127047539E-2,-5.516111851E-3,4.697335210E-1
8.416226240E-1,2.596826553E-1,-3.091073036E-2,-7.408875227E-2,2.718082007E-1
8.498332780E-1,4.202938080E-2,4.250872135E-2,-1.918430328E-1,2.009408109E-1
8.580445470E-1,-2.015533447E-1,1.950812340E-1,-3.808382452E-1,4.729885914E-1
8.662553550E-1,-4.208507538E-1,2.831141949E-1,-6.114654541E-1,7.944551629E-1
8.744646630E-1,-5.131320953E-1,3.564534187E-1,-8.123369813E-1,1.024819476E0
8.826757780E-1,-4.812946320E-1,4.331204891E-1,-1.022914410E0,1.210616277E0
8.908856240E-1,-4.573411942E-1,5.087844729E-1,-1.352995157E0,1.516119554E0
8.990942400E-1,-3.503055573E-1,4.302209616E-1,-1.644443750E0,1.735511252E0
9.073020860E-1,-2.400217056E-1,1.620970964E-1,-1.961094379E0,1.982366528E0
9.155390470E-1,-2.460222244E-1,-2.783882618E-1,-2.217912197E0,2.248813348E0
9.237472390E-1,-4.516363144E-1,-7.124406099E-1,-2.235992670E0,2.389813843E0
9.319555470E-1,-6.917600632E-1,-1.070028782E0,-1.897516489E0,2.285620792E0
9.401659320E-1,-7.262210846E-1,-1.267661572E0,-1.292114258E0,1.950364627E0
9.483762010E-1,-8.055963516E-1,-1.251965284E0,-6.825392246E-1,1.637761383E0
9.565874320E-1,-7.855539322E-1,-1.040516138E0,8.362346888E-2,1.306430901E0
