"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.028646500E-2,-3.551726818E0,3.313754082E0,1.110614538E0,4.982890141E0
3.849631100E-2,-3.432285786E0,2.994343281E0,1.702979326E0,4.862799192E0
4.670715700E-2,-3.115465641E0,2.674906254E0,2.019391775E0,4.575936272E0
5.492577200E-2,-2.948657513E0,2.699708462E0,1.828258038E0,4.396081705E0
6.314361800E-2,-2.496733665E0,2.722013950E0,1.162990808E0,3.872413532E0
7.135384900E-2,-1.678742886E0,2.542293072E0,1.773946285E-1,3.051704539E0
7.956308000E-2,-7.910733223E-1,2.457263470E0,-9.688735008E-1,2.757291537E0
8.777308000E-2,-4.601526260E-1,3.056991100E0,-1.626407027E0,3.493155428E0
9.600938800E-2,-1.999044418E-2,3.088234901E0,-1.605179071E0,3.480545112E0
1.042196180E-1,7.526926994E-1,2.323705673E0,-2.144728184E0,3.250540469E0
1.124307720E-1,1.543373585E0,1.370801449E0,-2.469842434E0,3.218884944E0
1.206409640E-1,1.910627365E0,7.209334373E-1,-2.529418230E0,3.250876579E0
1.288508490E-1,2.010207653E0,3.007698059E-1,-2.240986347E0,3.025461468E0
1.370603870E-1,2.201796770E0,-1.880354881E-1,-1.349693775E0,2.589389822E0
1.452777720E-1,2.211935997E0,-4.443755150E-1,-6.785618067E-1,2.355966167E0
1.534873100E-1,1.617383003E0,-9.539504051E-1,-1.298883557E-1,1.882238067E0
1.616957720E-1,1.834045649E0,-1.099629402E0,1.006213427E-1,2.140801933E0
1.699070800E-1,1.770482063E0,-1.057750702E0,6.558058262E-1,2.164145227E0
1.781477720E-1,1.895615578E0,-1.552027702E0,3.539966345E-1,2.475371088E0
1.863562720E-1,2.260396481E0,-1.973189831E0,2.695204020E-1,3.012558979E0
1.945648100E-1,1.916991234E0,-1.558773041E0,5.742855072E-1,2.536618345E0
2.027742720E-1,7.872776985E-1,-1.145329475E0,1.064747572E-1,1.393887605E0
2.109846950E-1,3.843531609E-1,-1.190545082E0,-2.892693877E-1,1.284056745E0
2.192052720E-1,8.780207634E-1,-7.986450195E-1,-1.636410356E-1,1.198137186E0
2.274243870E-1,9.729270935E-1,-2.841663361E-1,3.347430825E-1,1.067422394E0
2.356335410E-1,5.423583984E-1,5.299081802E-1,9.033935070E-1,1.179438485E0
2.438436950E-1,3.634986877E-1,1.211973190E0,1.039148927E0,1.637327335E0
2.520529640E-1,2.838625908E-1,1.433397293E0,1.179752111E0,1.878036425E0
2.602890790E-1,2.433743477E-1,1.383911133E0,1.341103435E0,1.942421046E0
2.684992720E-1,7.158422470E-2,1.185368538E0,9.805171490E-1,1.540011932E0
2.767082330E-1,-6.938457489E-2,8.761959076E-1,7.064248323E-1,1.127638919E0
2.849161950E-1,-7.381343842E-2,7.848854065E-1,4.439250231E-1,9.047446884E-1
2.931259640E-1,-5.827140808E-2,7.700433731E-1,3.383677006E-1,8.431222060E-1
3.013358100E-1,-2.063179016E-1,7.018957138E-1,2.759765387E-1,7.819128593E-1
3.095529250E-1,-3.031153679E-1,6.558313370E-1,4.081636667E-1,8.298139838E-1
3.177614640E-1,-3.736591339E-1,7.353487015E-1,5.796506405E-1,1.008143703E0
3.259709250E-1,-2.146716118E-1,5.688734055E-1,7.145949602E-1,9.382679838E-1
3.341803480E-1,-1.368689537E-2,3.654327393E-1,1.029124141E0,1.092165242E0
3.424163100E-1,1.398124695E-1,2.680702209E-1,1.059588194E0,1.101878537E0
3.506264640E-1,2.225492001E-1,3.181076050E-2,1.060943723E0,1.084500647E0
3.588354250E-1,2.949869633E-1,-5.180835724E-2,8.402988911E-1,8.920782705E-1
3.670456170E-1,2.554061413E-1,-7.256507874E-3,3.376531601E-1,4.234319431E-1
3.752550400E-1,3.523976803E-1,5.865669250E-2,2.925395966E-4,3.572461591E-1
3.834735400E-1,4.491641521E-1,1.057291031E-1,-2.157536745E-1,5.093885814E-1
3.916937330E-1,4.035117626E-1,2.100095749E-1,-4.703861475E-1,6.543614383E-1
3.999023860E-1,4.801516533E-1,2.647991180E-1,-3.730672598E-1,6.632068783E-1
4.081118090E-1,4.647917747E-1,1.684503555E-1,-4.720064402E-1,6.835181020E-1
4.163218860E-1,5.836884975E-1,1.278648376E-1,-6.792660952E-1,9.046790077E-1
4.245644630E-1,7.850346565E-1,8.841800690E-2,-6.790837049E-1,1.041754210E0
4.327752710E-1,8.224804401E-1,1.741056442E-1,-7.512097359E-1,1.127432001E0
4.409850020E-1,7.111778259E-1,3.054876328E-1,-9.446195364E-1,1.221229979E0
4.491964630E-1,6.011002064E-1,4.831924438E-1,-1.029160619E0,1.286066863E0
4.574067710E-1,5.408024788E-1,7.734365463E-1,-8.822717667E-1,1.291926810E0
4.656163090E-1,6.212575436E-1,9.499444962E-1,-8.502736092E-1,1.418210383E0
4.738338090E-1,7.483003139E-1,1.046787262E0,-8.580354452E-1,1.546590365E0
4.820428090E-1,8.070666790E-1,1.207170486E0,-9.557347894E-1,1.738403347E0
4.902534630E-1,6.947405338E-1,1.388545990E0,-1.056605816E0,1.878068217E0
4.984651550E-1,6.243495941E-1,1.510700226E0,-1.021854401E0,1.927748429E0
