"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.771844900E-2,-1.145539284E-1,1.953134537E-1,1.023906469E-2,2.266600674E-1
2.594618000E-2,-1.263642311E-1,1.474552155E-1,-5.230447650E-2,2.011136935E-1
3.415414100E-2,-8.622074127E-2,9.204864502E-2,-5.108401179E-2,1.360755141E-1
4.236325700E-2,-1.409530640E-2,-1.218128204E-2,-6.326279044E-2,6.594878277E-2
5.061106400E-2,3.545093536E-2,-1.229810715E-1,-9.288492799E-2,1.581414639E-1
5.882110300E-2,3.307580948E-2,-1.601896286E-1,-1.104749441E-1,1.973814570E-1
6.707348700E-2,4.932880402E-2,-1.440982819E-1,-1.190665364E-1,1.933248195E-1
7.528329500E-2,4.515838623E-2,-1.463584900E-1,-1.108858585E-1,1.890919381E-1
8.349467900E-2,6.158542633E-2,-1.663255692E-1,-1.711860001E-1,2.464986944E-1
9.175675600E-2,7.675600052E-2,-2.025079727E-1,-2.136959434E-1,3.042481205E-1
9.996756400E-2,3.061389923E-2,-2.134380341E-1,-1.778790653E-1,2.795245375E-1
1.081788330E-1,-5.569028854E-2,-2.156629562E-1,-1.310056746E-1,2.584074413E-1
1.163922180E-1,-6.700229645E-2,-2.492408752E-1,-1.080819070E-1,2.798071126E-1
1.246047950E-1,-8.344411850E-2,-2.129602432E-1,1.831188798E-2,2.294565566E-1
1.328567180E-1,-1.309733391E-1,-1.259794235E-1,7.956600189E-2,1.983824069E-1
1.410679870E-1,-2.030782700E-1,-1.205177307E-1,1.869651675E-1,3.011997361E-1
1.493027950E-1,-2.626957893E-1,-9.975719452E-2,1.496525109E-1,3.183652770E-1
1.575478330E-1,-2.829928398E-1,-8.091831207E-2,7.598346472E-2,3.039838935E-1
1.657246020E-1,-2.756528854E-1,-1.139554977E-1,2.866581082E-2,2.996532954E-1
1.739909870E-1,-2.776260376E-1,-7.473373413E-2,-1.136594117E-1,3.091598448E-1
1.822010640E-1,-1.434998512E-1,-7.762813568E-2,1.223415136E-3,1.631558503E-1
