"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.623425100E-2,-4.895424843E-1,5.644941330E-1,-3.826251030E-1,8.394685459E-1
2.444482800E-2,1.064920425E-2,1.016217232E0,-1.380171776E-1,1.025602071E0
3.265452000E-2,3.338251114E-1,1.334023476E0,2.789688110E-2,1.375440320E0
4.086540500E-2,7.165751457E-1,1.390249729E0,3.062176704E-1,1.593751395E0
4.907609700E-2,1.057575226E0,1.125803947E0,7.352533340E-1,1.710700836E0
5.731498200E-2,1.241014957E0,6.920695305E-1,1.058230400E0,1.771702554E0
6.552428900E-2,1.100149632E0,2.981686592E-1,1.301917315E0,1.730382170E0
7.373425100E-2,7.311706543E-1,1.435279846E-3,1.249018669E0,1.447294103E0
8.194440400E-2,1.700081825E-1,-2.330732346E-1,9.386780262E-1,9.820093440E-1
9.015482800E-2,-2.155566216E-1,-3.872714043E-1,7.005980015E-1,8.290243406E-1
9.836890400E-2,-4.701762199E-1,-4.376149178E-1,4.871323109E-1,8.061453854E-1
1.065790200E-1,-6.276850700E-1,-4.546442032E-1,3.937819004E-1,8.693411780E-1
1.147882890E-1,-7.368388176E-1,-5.011434555E-1,4.086861610E-1,9.803573758E-1
1.229968270E-1,-7.412710190E-1,-4.287996292E-1,4.813783169E-1,9.823832906E-1
1.312060200E-1,-6.569166183E-1,-2.956838608E-1,4.875063896E-1,8.698453132E-1
1.394419430E-1,-4.842653275E-1,-1.210060120E-1,4.444856644E-1,6.683733000E-1
1.476499430E-1,-1.957669258E-1,3.599452972E-2,4.999070168E-1,5.380774301E-1
1.558572890E-1,1.110553741E-1,8.668899536E-3,5.792818069E-1,5.898947854E-1
1.640655960E-1,2.193741798E-1,-2.824306488E-3,3.752086163E-1,4.346429721E-1
1.722737120E-1,3.282809258E-1,-1.416363716E-1,3.013052940E-1,4.675618763E-1
1.804832120E-1,1.826987267E-1,-3.031682968E-1,1.183171272E-1,3.732141255E-1
1.886936350E-1,-6.155157089E-2,-3.529782295E-1,-7.499313354E-2,3.660685680E-1
1.969005190E-1,-2.424626350E-1,-4.190254211E-1,-8.126020432E-3,4.841863951E-1
2.051089420E-1,-4.088392258E-1,-3.805303574E-1,9.188175201E-3,5.586029788E-1
2.133180580E-1,-6.062655449E-1,-2.675790787E-1,-3.489899635E-2,6.636071234E-1
2.215555580E-1,-6.114149094E-1,-1.822142601E-1,1.206827164E-1,6.493031234E-1
2.297641730E-1,-6.267557144E-1,-1.083774567E-1,1.915152073E-1,6.642638582E-1
2.379706730E-1,-6.702141762E-1,-3.006458282E-3,1.150898933E-1,6.800307083E-1
2.461792500E-1,-6.294093132E-1,4.584169388E-2,1.781301498E-1,6.557346222E-1
2.543880190E-1,-6.941885948E-1,1.197729111E-1,1.061351299E-1,7.123959722E-1
2.625960190E-1,-7.415246964E-1,1.983189583E-1,-4.855346680E-2,7.691207471E-1
2.708039810E-1,-7.484898567E-1,2.647190094E-1,-4.730725288E-2,7.953308719E-1
2.790135960E-1,-7.607178688E-1,2.690596581E-1,-5.060625076E-2,8.084836227E-1
2.872242880E-1,-6.422185898E-1,2.302184105E-1,-1.421065331E-1,6.968783971E-1
2.954328650E-1,-4.351549149E-1,8.074951172E-2,-1.312537193E-1,4.616360281E-1
3.036724810E-1,-3.161735535E-1,-1.609101295E-1,-1.552052498E-1,3.872292025E-1
3.118817880E-1,-2.611165047E-1,-4.680013657E-1,-3.580255508E-1,6.445071003E-1
3.200899420E-1,-1.610612869E-1,-8.005566597E-1,-3.230459690E-1,8.781744711E-1
3.282987110E-1,-6.543111801E-2,-1.054757118E0,-3.205010891E-1,1.104316421E0
3.365082500E-1,-4.665184021E-2,-1.115484238E0,-3.292946815E-1,1.164008791E0
3.447230190E-1,-4.927635193E-2,-1.082929611E0,-1.543641090E-1,1.094985379E0
3.529344420E-1,6.346702576E-3,-8.732452393E-1,-2.219653130E-2,8.735503503E-1
3.611460570E-1,-2.759027481E-2,-5.206966400E-1,-8.362746239E-2,5.280906803E-1
3.693584030E-1,-3.242588043E-2,-3.304724693E-1,-5.146813393E-2,3.360244924E-1
3.775699030E-1,-1.868286133E-1,-1.598086357E-1,-1.707599163E-1,2.993370672E-1
3.858119030E-1,-3.692822456E-1,-1.231975555E-1,-3.863830566E-1,5.484878131E-1
3.940234420E-1,-4.272103310E-1,-1.808390617E-1,-5.241916180E-1,6.999916324E-1
4.022324030E-1,-4.939241409E-1,-2.681913376E-1,-6.605665684E-1,8.673153070E-1
4.104402490E-1,-6.235837936E-1,-3.171067238E-1,-8.668537140E-1,1.113933922E0
4.186484800E-1,-6.433124542E-1,-3.433532715E-1,-8.675990105E-1,1.133344796E0
4.268575190E-1,-6.678647995E-1,-2.441554070E-1,-8.479380608E-1,1.106640957E0
4.350664420E-1,-5.633435249E-1,-1.224145889E-1,-8.168663979E-1,9.998059665E-1
4.432763260E-1,-3.928890228E-1,-3.738117218E-2,-5.802326202E-1,7.017328764E-1
4.514874800E-1,-2.629470825E-1,7.013988495E-2,-5.129115582E-1,5.806367523E-1
4.596986720E-1,-1.844182014E-1,1.520948410E-1,-4.947657585E-1,5.494870967E-1
4.679394800E-1,-9.291505814E-2,1.654477119E-1,-3.909215927E-1,4.345409590E-1
4.761496720E-1,-1.978397369E-3,1.217198372E-1,-2.871856689E-1,3.119218512E-1
4.843617490E-1,-5.435371399E-2,1.373372078E-1,-3.495645523E-1,3.794880909E-1
4.925742880E-1,1.479387283E-2,1.432085037E-2,-3.165478706E-1,3.172168026E-1
5.007865180E-1,4.018115997E-2,-8.124065399E-2,-4.705584049E-1,4.792074519E-1
5.089987490E-1,1.430206299E-1,-2.528657913E-1,-6.958022118E-1,7.540137445E-1
5.172102490E-1,1.599030495E-1,-4.081153870E-1,-8.016641140E-1,9.136698014E-1
5.254224030E-1,7.755804062E-2,-5.129203796E-1,-9.667606354E-1,1.097145702E0
5.336341340E-1,1.409969330E-1,-6.117892265E-1,-1.008667469E0,1.188097747E0
5.418456720E-1,-1.110315323E-2,-7.157664299E-1,-1.029839993E0,1.254199056E0
5.500852490E-1,1.573514938E-2,-7.506723404E-1,-9.427964687E-1,1.205247584E0
5.582957100E-1,2.418322563E-1,-6.684079170E-1,-8.408076763E-1,1.101003875E0
5.665065560E-1,2.400870323E-1,-6.086745262E-1,-6.961743832E-1,9.553979452E-1
5.747172870E-1,-2.013711929E-1,-4.483809471E-1,-8.028576374E-1,9.413693308E-1
5.829289410E-1,-3.472061157E-1,-3.779988289E-1,-6.601631641E-1,8.362120573E-1
5.911431720E-1,-5.082049370E-1,-2.893610001E-1,-5.250790119E-1,7.859453003E-1
5.993545950E-1,-6.672358513E-1,-2.317452431E-1,-4.271960258E-1,8.254731876E-1
6.075625950E-1,-7.595791817E-1,-2.163753510E-1,-4.124619961E-1,8.910127518E-1
6.157709410E-1,-7.626991272E-1,-1.354255676E-1,-1.623315811E-1,7.914553590E-1
6.239801330E-1,-8.244380951E-1,-5.226039886E-2,-9.202361107E-2,8.312025427E-1
6.322181720E-1,-7.119297981E-1,1.285266876E-2,7.477450371E-2,7.159612105E-1
6.404288640E-1,-5.574107170E-1,4.803133011E-2,9.530043602E-2,5.675349233E-1
6.486399410E-1,-3.755979538E-1,9.888982773E-2,1.144685745E-1,4.049148991E-1
6.568495180E-1,-3.341097832E-1,2.043290138E-1,2.540922165E-2,3.924605988E-1
6.650600180E-1,-2.412648201E-1,2.471995354E-1,-1.615436077E-1,3.813301206E-1
6.732685180E-1,-2.327241898E-1,3.046994209E-1,-2.627029419E-1,4.647742692E-1
6.814783250E-1,-1.266593933E-1,3.456916809E-1,-3.950531483E-1,5.400114167E-1
6.896900560E-1,-1.669759750E-1,4.041571617E-1,-5.151031017E-1,6.756886805E-1
6.979023250E-1,-1.116290092E-1,4.807014465E-1,-6.315162182E-1,8.014659383E-1
7.061162480E-1,-1.012077332E-1,4.771451950E-1,-6.431851387E-1,8.072159965E-1
7.143546710E-1,-2.022790909E-1,5.324344635E-1,-6.516828537E-1,8.655020684E-1
7.225660560E-1,-2.516188622E-1,5.650410652E-1,-5.219881535E-1,8.093547365E-1
7.307780170E-1,-3.119320869E-1,5.961937904E-1,-4.787480831E-1,8.258016649E-1
7.389886330E-1,-4.170274734E-1,6.085557938E-1,-3.694295883E-1,8.250638087E-1
7.471995170E-1,-4.661316872E-1,6.428360939E-1,-2.735743523E-1,8.398570829E-1
7.554097100E-1,-5.474390984E-1,6.524162292E-1,-3.085124493E-1,9.058236219E-1
7.636204020E-1,-4.185891151E-1,5.205049515E-1,-2.923901081E-1,7.291325169E-1
7.718313250E-1,-2.011585236E-1,3.082027435E-1,-2.928934097E-1,4.703618099E-1
7.800412860E-1,-1.298661232E-1,9.783554077E-2,-4.200952053E-1,4.504630779E-1
7.882512860E-1,-3.485999107E-1,-8.355808258E-2,-6.621699333E-1,7.529760099E-1
7.964914020E-1,-4.917774200E-1,-1.888961792E-1,-8.685786724E-1,1.015852208E0
8.047034020E-1,-4.749879837E-1,-2.590980530E-1,-8.740098476E-1,1.027929277E0
8.129137860E-1,-7.676863670E-1,-1.871361732E-1,-1.082348824E0,1.340090027E0
8.211235560E-1,-1.284245014E0,-2.003526688E-2,-1.278065205E0,1.811942973E0
8.293355550E-1,-1.671034813E0,1.857838631E-1,-1.299787045E0,2.125163370E0
8.375501710E-1,-1.691659451E0,2.782917023E-1,-1.098414898E0,2.036092644E0
8.457618250E-1,-1.939064980E0,4.351415634E-1,-1.007491350E0,2.228084378E0
8.539731710E-1,-1.940640450E0,4.354844093E-1,-8.476870060E-1,2.162014173E0
8.621838250E-1,-1.671407223E0,3.765401840E-1,-5.580413342E-1,1.801886441E0
8.703941710E-1,-1.338579178E0,2.581110001E-1,-3.251287937E-1,1.401472167E0
8.786351320E-1,-8.587670326E-1,2.291488647E-2,4.857087135E-2,8.604446745E-1
8.868473630E-1,-3.848614693E-1,-2.115669250E-1,3.446042538E-1,5.582392014E-1
8.950608240E-1,1.153640747E-1,-4.103374481E-1,7.621281147E-1,8.732267485E-1
9.032739400E-1,5.958437920E-1,-5.991568565E-1,9.989478588E-1,1.308401921E0
9.114857860E-1,9.876646996E-1,-7.373981476E-1,1.101644754E0,1.653136035E0
9.196978630E-1,1.275933266E0,-7.686324120E-1,1.284772635E0,1.967089781E0
9.279081700E-1,1.462614059E0,-7.012062073E-1,1.468006253E0,2.187686539E0
9.361185550E-1,1.729421616E0,-6.469726562E-1,1.569393992E0,2.423318024E0
9.443299010E-1,1.950156212E0,-3.808879852E-1,1.549240708E0,2.519589586E0
9.525409780E-1,2.062252045E0,6.308603287E-2,1.649234414E0,2.641370382E0
9.607794780E-1,2.104021072E0,6.040678024E-1,1.647256970E0,2.739572614E0
9.689907090E-1,2.088754654E0,1.145391464E0,1.541204214E0,2.837274756E0
9.772020160E-1,1.983995438E0,1.527907372E0,1.443845510E0,2.890575841E0
9.853427470E-1,1.821302891E0,1.744646072E0,1.344199896E0,2.857937630E0
9.935517090E-1,1.524122238E0,1.888019562E0,1.228161812E0,2.719549209E0
1.001764786E0,1.086974621E0,2.014103413E0,1.017585516E0,2.504716883E0
1.009906132E0,4.838633537E-1,2.123238087E0,7.681705952E-1,2.309188122E0
1.018114324E0,-1.837210655E-1,2.259233475E0,3.160297871E-1,2.288616208E0
1.026322670E0,-7.157278061E-1,2.418828011E0,-2.143383026E-3,2.522498728E0
1.034531516E0,-9.183712006E-1,2.517195225E0,-2.001724243E-1,2.686958589E0
1.042771709E0,-8.850879669E-1,2.452676773E0,-2.776198387E-1,2.622227457E0
1.050982824E0,-4.836316109E-1,2.215650558E0,-3.110165596E-1,2.289047451E0
1.059194747E0,-2.657890320E-2,1.966914177E0,-3.875060081E-1,2.004898682E0
1.067408324E0,4.888658524E-1,1.452857971E0,-2.842402458E-1,1.559031309E0
1.075621362E0,1.221537590E0,8.885293007E-1,-9.580945969E-2,1.513544798E0
