"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.589708263E-3,-1.771715698E0,-2.267784119E0,2.226470032E0,3.638542308E0
8.479291690E-3,-1.274150391E0,-1.503473511E0,3.185375977E0,3.745732495E0
1.854729163E-2,-1.206640778E0,-1.088985443E0,3.269051971E0,3.650831693E0
2.861629170E-2,-8.610095215E-1,-1.183139648E0,2.706970825E0,3.077149309E0
3.868529166E-2,-2.460882568E-1,-1.524280243E0,1.577270050E0,2.207208758E0
4.875329172E-2,2.363584900E-1,-1.905088348E0,-2.499801636E-2,1.919857248E0
5.882229167E-2,8.002359009E-1,-2.262694702E0,-1.215173035E0,2.690132026E0
6.889129174E-2,1.063238983E0,-2.432142334E0,-1.722468109E0,3.164283466E0
7.896029169E-2,1.016386414E0,-2.260748749E0,-1.758243713E0,3.038987858E0
8.902829164E-2,5.400769043E-1,-1.919757843E0,-1.374890900E0,2.422287808E0
9.909729171E-2,3.502716064E-2,-1.569935303E0,-7.948471069E-1,1.760030023E0
1.091662917E-1,-4.879852295E-2,-1.371597748E0,-4.893324280E-1,1.457088845E0
1.192342917E-1,-1.945953369E-3,-1.409019928E0,-4.920268250E-1,1.492458154E0
1.293032917E-1,9.145980835E-2,-1.353784790E0,-4.781057739E-1,1.438639387E0
1.393722917E-1,1.999841309E-1,-1.220412140E0,-4.447251892E-1,1.314222180E0
1.494412917E-1,1.387614441E-1,-1.500479736E0,-8.288264465E-1,1.719781223E0
1.595092916E-1,-1.019380188E-1,-1.981130219E0,-1.228046265E0,2.333102212E0
1.695782917E-1,-2.152523804E-1,-2.273921356E0,-1.194815369E0,2.577719086E0
1.796472917E-1,-1.483415222E-1,-2.609373779E0,-1.103954315E0,2.837173216E0
1.897162917E-1,-2.206411743E-1,-3.045716400E0,-1.009650421E0,3.216281221E0
1.997842917E-1,-2.137554932E-1,-3.214565277E0,-3.541635132E-1,3.241072836E0
2.098532917E-1,-1.284329224E-1,-3.207380219E0,3.897894287E-1,3.233530374E0
2.199222917E-1,2.604583740E-2,-3.212769012E0,7.770341492E-1,3.305502259E0
2.299902916E-1,6.526428223E-2,-3.180885315E0,1.054257660E0,3.351678688E0
