"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.345333320E-3,1.030457153E1,2.581082611E0,1.237626343E0,1.069476044E1
1.441433327E-2,9.818681946E0,2.129920807E0,1.172960815E0,1.011528126E1
2.448333334E-2,9.693093109E0,1.825154572E0,1.313817902E0,9.950545749E0
3.455233329E-2,9.683213654E0,1.292113037E0,4.724176025E-1,9.780458126E0
4.462133325E-2,9.669292603E0,1.029259644E0,-6.686595154E-1,9.746881573E0
5.469033332E-2,9.804311829E0,3.107537842E-1,-9.671388245E-1,9.856797444E0
6.476033328E-2,9.822873230E0,1.417851562E0,-1.114881592E0,9.987096801E0
7.482933335E-2,9.914632416E0,1.961820374E0,-1.286724243E0,1.018844122E1
8.489833330E-2,9.801767120E0,1.723216553E0,-1.212179260E0,1.002564175E1
9.496733325E-2,9.419611816E0,1.833088074E0,-1.255439301E0,9.678090023E0
1.050363333E-1,9.569150848E0,1.947150879E0,-1.123114471E0,9.829620065E0
1.151053333E-1,1.000953506E1,2.195783844E0,-6.385720825E-1,1.026742583E1
1.251753332E-1,9.985135803E0,2.166594543E0,-4.489164734E-1,1.022734545E1
1.352443333E-1,1.018871246E1,2.188748474E0,-2.899470520E-1,1.042518829E1
1.453133333E-1,1.296768356E1,1.767524414E0,-3.016227722E-1,1.309106321E1
1.553823333E-1,1.252774841E1,2.344574432E0,-1.886077881E0,1.288405213E1
1.654513333E-1,8.608448639E0,9.972262573E-1,-2.244432678E0,8.951945388E0
1.755203333E-1,7.356003113E0,1.350192261E-1,-9.874964905E-1,7.423217719E0
1.855893333E-1,8.387957153E0,6.379733276E-1,-3.499722290E-1,8.419460537E0
1.956593333E-1,8.607400818E0,8.225395203E-1,-3.471281433E-1,8.653578338E0
2.057283333E-1,9.429491272E0,5.659730530E-1,-3.384461975E-1,9.452522255E0
2.157973333E-1,9.214987335E0,6.975494385E-1,-9.066645813E-1,9.285720622E0
2.258663332E-1,9.116192780E0,7.915539551E-1,-1.414708099E0,9.259207713E0
2.359353333E-1,8.844208374E0,7.717950439E-1,-1.676813049E0,9.034787842E0
2.460043333E-1,8.076754303E0,5.063969421E-1,-1.476978607E0,8.226291007E0
2.560743333E-1,7.332052917E0,2.176473999E-1,-8.677455139E-1,7.386430305E0
2.661433333E-1,6.970554657E0,5.763015747E-2,-3.366499329E-1,6.978917297E0
2.762123332E-1,6.883435822E0,-1.182540894E-2,2.035766602E-2,6.883476083E0
2.862813333E-1,6.741231537E0,-1.272354126E-1,1.465452576E-1,6.744024540E0
2.963503333E-1,6.741680603E0,5.044509888E-2,2.441423035E-1,6.746288426E0
3.064193333E-1,7.244035950E0,3.507206726E-1,4.213737488E-1,7.264751728E0
3.164893333E-1,8.162825317E0,3.477268982E-1,7.738906860E-1,8.206798277E0
3.265583332E-1,8.967551880E0,-2.338137817E-1,8.131091309E-1,9.007374871E0
3.366273333E-1,9.741292877E0,-5.203179932E-1,4.842430115E-1,9.767190437E0
3.466963333E-1,1.019095779E1,-1.593586121E0,-2.568658447E-1,1.031799969E1
3.567653333E-1,1.025667114E1,-2.050585785E0,-1.071322174E0,1.051436808E1
3.668343333E-1,9.905052338E0,-1.408421173E0,-1.789528656E0,1.016347012E1
3.769043332E-1,9.551188202E0,-1.113983459E0,-2.592309265E0,9.959228009E0
3.869733333E-1,9.421557770E0,-1.274150391E0,-3.315006409E0,1.006868797E1
3.970423333E-1,9.664801941E0,-1.276246033E0,-3.846850433E0,1.048024135E1
4.071113333E-1,9.371412048E0,-9.857002258E-1,-4.247267761E0,1.033606560E1
4.171803333E-1,9.641600189E0,-4.819976807E-1,-4.142635345E0,1.050496090E1
4.272493332E-1,9.642348633E0,-3.576063538E-1,-4.201313324E0,1.052396328E1
4.373193333E-1,1.004486160E1,-3.011737061E-1,-3.986809387E0,1.081131811E1
4.473883333E-1,9.545799408E0,-4.017645264E-1,-3.477867737E0,1.016755944E1
4.574573333E-1,9.690847778E0,-5.514532471E-1,-2.730771332E0,1.008333989E1
4.675263333E-1,1.137005585E1,-6.602769470E-1,-2.201921082E0,1.160011173E1
4.775953332E-1,1.293190796E1,-6.613247681E-1,-1.972298584E0,1.309815085E1
4.876643333E-1,1.291798691E1,-6.213578796E-1,-1.646725616E0,1.303733779E1
4.977333333E-1,1.213990494E1,-1.049168243E0,-1.405876465E0,1.226599097E1
5.078033333E-1,1.210787155E1,-1.344653778E0,-1.034049683E0,1.222611574E1
5.178723333E-1,1.398182465E1,-1.293909302E0,-8.424481201E-1,1.406681700E1
5.279413332E-1,1.516421585E1,-1.635199585E0,-3.820056152E-1,1.525690822E1
5.380103333E-1,1.522648636E1,-1.381028137E0,-9.684860229E-1,1.531963089E1
5.480793333E-1,1.155282578E1,-1.316961365E0,-1.137634277E-2,1.162765239E1
5.581483333E-1,1.092473190E1,-1.178499298E0,7.327262878E-1,1.101251631E1
5.682183333E-1,1.395024033E1,-6.718029785E-1,1.986519012E0,1.410697637E1
5.782873333E-1,1.323921890E1,-2.221380615E-1,8.961863708E-1,1.327137568E1
5.883563333E-1,1.257759476E1,3.005749512E-1,1.898052979E-1,1.258261742E1
5.984253333E-1,1.113863708E1,3.137475586E-1,1.039737854E0,1.119145783E1
6.084943333E-1,1.055350388E1,5.152285767E-1,1.037492523E0,1.061688727E1
6.185633333E-1,8.809480591E0,5.321434021E-1,1.045276337E0,8.887222710E0
6.286333333E-1,7.637717285E0,5.966592407E-1,1.036594391E0,7.730799151E0
6.387023333E-1,6.353088684E0,6.816824341E-1,1.227746887E0,6.506442130E0
6.487713333E-1,5.135071564E0,8.075706482E-1,9.743238831E-1,5.288708476E0
6.588403333E-1,4.441414032E0,7.893086243E-1,4.312532043E-1,4.531572137E0
6.689093333E-1,4.118685150E0,6.991960144E-1,2.674937439E-1,4.186167141E0
6.789783332E-1,3.751798096E0,6.460565186E-1,2.103126526E-1,3.812821709E0
6.890483333E-1,4.704866180E0,5.866300964E-1,2.776725769E-1,4.749421302E0
6.991173333E-1,6.209237823E0,5.204676819E-1,2.586621094E-1,6.236379322E0
7.091863332E-1,8.287815399E0,5.292993164E-1,1.218466187E-1,8.305593805E0
7.192553333E-1,1.028855484E1,5.144801331E-1,-4.221221924E-2,1.030149661E1
7.293243333E-1,1.124057510E1,3.791615295E-1,4.101470947E-2,1.124704292E1
7.393933333E-1,1.118713623E1,-1.796264648E-3,2.679428101E-1,1.119034466E1
