"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.474584082E-4,-5.246889038E0,-1.525477753E0,4.685256958E-1,5.484199420E0
1.041645836E-2,-5.835016022E0,-2.631078644E0,2.574645996E-1,6.405956199E0
2.048445831E-2,-7.090455322E0,-3.384012909E0,-1.011746063E0,7.921472726E0
3.055345837E-2,-8.714278564E0,-3.506907349E0,-2.008672943E0,9.605822039E0
4.062245833E-2,-1.000384689E1,-2.942880249E0,-1.979483643E0,1.061394612E1
5.069145840E-2,-1.095182556E1,-1.893262939E0,-2.328108673E0,1.135548404E1
6.075945834E-2,-1.168215683E1,-7.008425903E-1,-2.574047241E0,1.198289146E1
7.082845841E-2,-1.249586472E1,3.724255371E-1,-3.372786255E0,1.294839847E1
8.089745836E-2,-1.326436661E1,1.393751678E0,-4.547693024E0,1.409139727E1
9.096545831E-2,-1.388048538E1,1.939367065E0,-4.890180817E0,1.484395121E1
1.010344584E-1,-1.344264587E1,1.259929962E0,-4.173022156E0,1.413174673E1
1.111034583E-1,-9.063801727E0,-2.731819153E-1,-3.126697998E0,9.591838744E0
1.211714584E-1,-6.557413788E0,-9.933343506E-1,-2.443219299E0,7.067935290E0
1.312404583E-1,-6.945406952E0,-1.507215729E0,-2.452649689E0,7.518368671E0
1.413094584E-1,-7.443870392E0,-2.209405518E0,-2.792592773E0,8.251742455E0
1.513784584E-1,-7.938591614E0,-3.173550568E0,-1.967209167E0,8.772831466E0
1.614464583E-1,-8.921597443E0,-4.261039124E0,-3.239263916E-1,9.892233501E0
1.715154584E-1,-9.179810486E0,-4.240681458E0,5.794450378E-1,1.012857622E1
1.815844583E-1,-8.824748840E0,-3.033741302E0,4.408332825E-1,9.342061462E0
1.916524584E-1,-8.212671661E0,-1.115330658E0,-3.498225403E-1,8.295439356E0
2.017214583E-1,-7.445816345E0,4.468208313E-1,-1.145867157E0,7.546710637E0
2.117904584E-1,-8.978179779E0,1.416654053E0,-9.937834167E-1,9.143425306E0
2.218594584E-1,-1.227387634E1,2.288590851E0,-3.112028503E-1,1.248929685E1
2.319274583E-1,-1.465557358E1,3.437302094E0,3.122506714E-1,1.505650634E1
2.419964584E-1,-1.287667282E1,3.547622681E0,9.909393311E-2,1.335680161E1
2.520654583E-1,-1.173230255E1,2.462529144E0,-4.267625427E-1,1.199554497E1
2.621334584E-1,-1.078522202E1,1.051712952E0,-1.287173309E0,1.091255832E1
2.722024583E-1,-9.399104462E0,-8.532257080E-2,-1.921554108E0,9.593894663E0
2.822714583E-1,-8.798553314E0,-4.110452271E-1,-2.322420502E0,9.109178645E0
2.923394584E-1,-8.842262421E0,2.095642090E-3,-2.181114349E0,9.107297564E0
3.024084583E-1,-9.234147491E0,4.701722717E-1,-2.185155945E0,9.500813037E0
3.124774584E-1,-1.080348404E1,2.837798767E0,-1.759441223E0,1.130769661E1
3.225464583E-1,-1.315105225E1,4.846471710E0,-2.336191864E0,1.420902022E1
3.326144584E-1,-1.221085739E1,4.183350677E0,-3.233126678E0,1.330633568E1
3.426834584E-1,-1.233315308E1,3.854185181E0,-3.653452606E0,1.342792330E1
3.527524583E-1,-1.249481689E1,3.250191193E0,-3.935765533E0,1.349720128E1
3.628204584E-1,-1.297786240E1,2.593955841E0,-3.477718048E0,1.368386064E1
3.728894583E-1,-1.278910492E1,2.673440552E0,-2.828967133E0,1.336830371E1
3.829584584E-1,-1.075857742E1,3.169059906E0,-2.702031097E0,1.153650298E1
3.930264583E-1,-9.798324280E0,2.709814911E0,-2.258503418E0,1.041398546E1
4.030954584E-1,-9.356592865E0,2.013163605E0,-1.925146637E0,9.762420157E0
4.131644584E-1,-8.695567474E0,1.565594330E0,-1.745520172E0,9.006154561E0
4.232334583E-1,-7.978259125E0,1.287472687E0,-1.066981201E0,8.151604349E0
4.333014584E-1,-7.316934357E0,9.101074219E-1,-1.187181244E0,7.468281141E0
4.433704583E-1,-6.910080414E0,3.396437073E-1,-1.141975250E0,7.012037981E0
4.534394584E-1,-6.728657684E0,-3.926335144E-1,-1.603465576E0,6.928210242E0
4.635074583E-1,-6.943161621E0,-9.693841553E-1,4.370910645E-2,7.010642583E0
4.735764584E-1,-7.902366943E0,-1.689237213E0,2.579136658E0,8.482503850E0
4.836454584E-1,-8.157137146E0,-2.189646606E0,2.192341003E0,8.725812154E0
4.937144583E-1,-7.881560211E0,-2.521057434E0,1.589394836E0,8.426203053E0
5.037824584E-1,-7.947123871E0,-2.913840637E0,1.384620667E-1,8.465601976E0
5.138514583E-1,-8.875792694E0,-3.065774689E0,-9.624984741E-1,9.439548384E0
5.239204584E-1,-8.898545380E0,-3.224893799E0,-3.739224243E-1,9.472268359E0
5.339884583E-1,-8.528963928E0,-2.935246124E0,5.878276062E-1,9.039050658E0
5.440574584E-1,-8.348738708E0,-2.187550964E0,1.716929626E-1,8.632282185E0
5.541264584E-1,-9.767787781E0,-1.877096558E0,-4.260290680E0,1.082050120E1
5.641944583E-1,-1.136107452E1,-1.253493347E0,-2.354154510E0,1.166993159E1
5.742634584E-1,-1.157782379E1,-6.270460510E-1,-1.621577911E0,1.170763449E1
5.843324583E-1,-1.170880142E1,-2.170486450E-1,-3.404669952E0,1.219569261E1
5.944014584E-1,-1.117905304E1,2.245330811E-2,-4.833149414E0,1.217912412E1
6.044694583E-1,-1.019425095E1,3.297642517E-1,-4.697232056E0,1.122922463E1
6.145384584E-1,-9.415719910E0,6.554869080E-1,-4.197271729E0,1.032969189E1
6.246074584E-1,-8.607999573E0,8.701405334E-1,-3.728147278E0,9.420927944E0
6.346754583E-1,-8.526269531E0,1.199006653E0,-1.467697906E0,8.734358947E0
6.447444584E-1,-8.136031036E0,1.480571136E0,2.536026306E0,8.649770017E0
6.548134583E-1,-7.079078979E0,1.858984222E0,4.884642334E0,8.799369993E0
6.648824584E-1,-5.987698517E0,2.648741913E0,5.799390106E0,8.746501749E0
6.749504583E-1,-5.280569000E0,3.323688354E0,4.822820892E0,7.886121645E0
6.850194584E-1,-5.305417328E0,3.272794189E0,2.089504852E0,6.574546780E0
6.950884584E-1,-6.235433350E0,2.173330536E0,-4.571493530E-1,6.619137422E0
7.051564583E-1,-7.334747314E0,6.882687378E-1,-2.674188995E0,7.837315791E0
7.152254584E-1,-7.711214447E0,-1.096918945E0,-5.053191833E0,9.284438977E0
7.252944583E-1,-7.654632111E0,-2.800825653E0,-7.330705719E0,1.096253910E1
7.353624584E-1,-7.426955566E0,-3.935466156E0,-7.782166901E0,1.145467959E1
7.454314583E-1,-6.270460510E0,-4.098926239E0,-5.063819733E0,9.042242068E0
7.555004584E-1,-3.621419220E0,-2.568957825E0,-1.764979706E0,4.778009505E0
7.655694584E-1,-6.078858948E-1,2.245330811E-2,-9.222322083E-1,1.104781272E0
7.756374583E-1,6.815327454E-1,1.384171600E0,-3.701352997E0,4.010041385E0
7.857064584E-1,-4.959187317E-1,1.433568878E0,-5.543272705E0,5.747079902E0
7.957754583E-1,-3.230731659E0,-6.789880371E-1,-5.380411377E0,6.312485912E0
8.058435833E-1,-7.125332794E0,-3.557951202E0,-5.361550598E0,9.600812934E0
8.159125834E-1,-1.120674545E1,-5.620212708E0,-6.662195892E0,1.419728103E1
8.259815833E-1,-1.491947479E1,-6.757697296E0,-8.309220886E0,1.836573855E1
8.360505834E-1,-1.750938904E1,-7.009324036E0,-8.548722839E0,2.070724487E1
8.461185833E-1,-1.883278702E1,-6.975344696E0,-7.236551514E0,2.134706018E1
8.561875834E-1,-1.830857712E1,-7.494315491E0,-5.546416168E0,2.054583883E1
8.662565834E-1,-1.685764435E1,-8.453221436E0,-5.520070953E0,1.964963890E1
8.763245833E-1,-1.473805206E1,-8.293952637E0,-5.348827057E0,1.773724273E1
8.863935834E-1,-1.278940430E1,-6.666536865E0,-4.718787231E0,1.517493094E1
8.964625833E-1,-1.218391342E1,-4.134552155E0,-4.908891907E0,1.377096538E1
9.065305834E-1,-1.312246170E1,-2.129022675E0,-5.151088257E0,1.425711923E1
9.165995833E-1,-1.425470718E1,-1.157991943E0,-4.504732361E0,1.499434013E1
9.266685834E-1,-1.493249771E1,-9.157955933E-1,-3.505260773E0,1.536570931E1
9.367375834E-1,-1.560834229E1,-8.657995605E-1,-3.131188660E0,1.594284480E1
9.468055833E-1,-1.620739655E1,-8.812174988E-1,-3.884571991E0,1.668970181E1
9.568745834E-1,-1.700224365E1,-9.771679688E-1,-4.540957031E0,1.762530673E1
9.669435833E-1,-1.799842209E1,-8.348139954E-1,-4.012855225E0,1.845922856E1
9.770115834E-1,-1.727063553E1,7.503895569E-1,-1.960922241E0,1.739779159E1
9.870805833E-1,-1.857487335E1,1.540895691E0,-4.725223846E0,1.922831298E1
9.971495833E-1,-2.095672028E1,2.006726990E0,-5.269342346E0,2.170200559E1
1.007217583E0,-2.313379303E1,2.243833923E0,-5.652096405E0,2.391972752E1
1.017286583E0,-2.442126572E1,1.792073364E0,-6.678961029E0,2.538145517E1
1.027355583E0,-2.414973038E1,1.038540344E0,-6.170767822E0,2.494727277E1
1.037424583E0,-2.331386856E1,9.550140381E-2,-3.931873627E0,2.364329118E1
1.047492583E0,-2.337628876E1,-1.019829254E0,-1.843865662E0,2.347106236E1
1.057561583E0,-2.382745056E1,-2.239642639E0,4.418811035E-1,2.393655485E1
1.067630583E0,-2.440779373E1,-3.206033020E0,2.254012756E0,2.472042912E1
1.077698583E0,-2.499292694E1,-3.802692261E0,3.182382202E0,2.548007892E1
1.087767583E0,-2.466750366E1,-4.258494415E0,3.258424072E0,2.524357025E1
1.097836583E0,-2.119936569E1,-4.938230896E0,2.570604401E0,2.191819420E1
1.107904583E0,-1.487381973E1,-5.088368683E0,1.729653168E0,1.581498370E1
1.117973583E0,-1.026340714E1,-5.085973663E0,1.977986755E0,1.162398751E1
1.128042583E0,-7.091952209E0,-5.472769318E0,1.854643250E0,9.148043055E0
1.138111583E0,-4.590803375E0,-5.841602325E0,1.740879822E-1,7.431695633E0
1.148179583E0,-1.670825500E0,-5.603597260E0,-3.222798157E0,6.676704880E0
1.158248583E0,4.101470947E-1,-3.337609406E0,-9.466165009E0,1.004570242E1
1.168317583E0,1.735491028E0,1.753753052E0,-1.908980255E1,1.924858801E1
1.178385583E0,8.113128662E-2,7.052284698E0,-2.551863373E1,2.647530867E1
1.188454583E0,-3.556304626E0,8.260572052E0,-1.940654388E1,2.138920987E1
1.198523583E0,-5.350922699E0,7.567363586E0,-8.422684937E0,1.252353732E1
1.208592583E0,-3.590433655E0,5.151537323E0,1.780098267E0,6.526737352E0
1.218660583E0,4.604425049E-1,2.027683411E0,9.811496887E0,1.002940569E1
1.228729583E0,2.387385406E0,-9.496252441E-1,1.220232513E1,1.246988917E1
1.238798583E0,2.280058594E0,-3.155438232E0,1.040306671E1,1.110762147E1
1.248866583E0,1.829495544E0,-3.959865417E0,7.609126740E0,8.770769511E0
1.258935583E0,1.701362000E0,-3.616030426E0,4.981191559E0,6.386123867E0
1.269004583E0,1.679507446E0,-3.137774963E0,3.123105469E0,4.734993638E0
1.279072583E0,1.559906158E0,-2.750380554E0,1.939666443E0,3.709475209E0
1.289141583E0,1.319955139E0,-2.211650848E0,9.488768005E-1,2.744822076E0
1.299210583E0,9.806108093E-1,-1.619931335E0,1.469943237E-1,1.899311039E0
1.309279583E0,8.996292114E-1,-1.295855255E0,-5.950126648E-1,1.686005229E0
1.319347583E0,8.876541138E-1,-1.147214355E0,-8.493338013E-1,1.680892177E0
1.329416583E0,9.116043091E-1,-9.005273438E-1,-5.995033264E-1,1.414700022E0
1.339485583E0,9.774673462E-1,-6.153703308E-1,7.469467163E-2,1.157455118E0
1.349553583E0,8.888516235E-1,-3.622467041E-1,8.737330627E-1,1.297955834E0
1.359622583E0,7.379653931E-1,-1.318757629E-1,1.480571136E0,1.659540608E0
