"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.585750026E-3,9.116641846E0,3.560196533E0,6.457571411E0,1.172554418E1
8.484249935E-3,9.430838470E0,3.349734192E0,6.430627441E0,1.189598263E1
1.855425001E-2,9.789193268E0,3.165766754E0,6.443949738E0,1.213980528E1
2.862424997E-2,1.016551071E1,3.086282043E0,6.327342224E0,1.236519327E1
3.869524994E-2,1.059930862E1,2.956651611E0,6.144871674E0,1.260343524E1
4.876525002E-2,1.094898148E1,2.840044098E0,5.933211823E0,1.277298119E1
5.883524998E-2,1.114312775E1,2.804118805E0,5.799988861E0,1.287137324E1
6.890524994E-2,1.117620895E1,2.618504791E0,5.807323608E0,1.286426140E1
7.897625002E-2,1.108190506E1,2.306703186E0,5.912255402E0,1.277044491E1
8.904624998E-2,1.103580093E1,2.034868469E0,6.211483154E0,1.282622762E1
9.911624994E-2,1.119896164E1,1.649869080E0,6.628964996E0,1.311800239E1
1.091862500E-1,1.124371857E1,1.305285645E0,7.098538513E0,1.336092163E1
1.192562500E-1,1.114806747E1,1.023721161E0,7.444618835E0,1.344432085E1
1.293272499E-1,1.108100693E1,7.544311523E-1,7.811206512E0,1.357839564E1
1.393972500E-1,1.095092743E1,5.700146484E-1,8.105943604E0,1.363649698E1
1.494672500E-1,1.090063202E1,3.294648743E-1,8.264463959E0,1.368333622E1
1.595372499E-1,1.077609100E1,1.314266968E-1,8.333470459E0,1.362307382E1
1.696072500E-1,1.032837204E1,1.700463867E-1,7.982600098E0,1.305473436E1
1.796782500E-1,9.659413147E0,2.954855347E-1,7.233707428E0,1.207137512E1
1.897482499E-1,9.020691376E0,3.520678711E-1,6.388265533E0,1.105923873E1
1.998182500E-1,8.387059021E0,4.379891968E-1,5.482648773E0,1.002965758E1
2.098882500E-1,7.802075500E0,4.553530884E-1,4.706363068E0,9.123024820E0
2.199592500E-1,7.367229767E0,3.558100891E-1,4.125421143E0,8.451140447E0
2.300292500E-1,7.204368439E0,2.522254944E-1,3.817511444E0,8.157201476E0
2.400992500E-1,7.250023499E0,2.691403198E-1,3.815565491E0,8.197183495E0
2.501692499E-1,7.530091095E0,4.073030090E-1,4.052373047E0,8.560951755E0
2.602392500E-1,7.662715302E0,5.683680725E-1,4.313729553E0,8.811839236E0
