"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.314791734E-3,-7.593259735E0,1.207239532E0,2.467468872E0,8.074863672E0
1.138279168E-2,-7.815697174E0,1.442849579E0,2.549947357E0,8.346805901E0
2.145179175E-2,-8.048912201E0,1.746717682E0,2.485132141E0,8.603016450E0
3.152079170E-2,-8.289461975E0,2.022294617E0,2.307601318E0,8.839110770E0
4.158879176E-2,-8.636290741E0,2.058668976E0,2.151176605E0,9.135162642E0
5.165779172E-2,-9.156608734E0,2.073039093E0,1.964065704E0,9.591586349E0
6.172579166E-2,-9.573791199E0,2.045945435E0,1.772314453E0,9.949093886E0
7.179479173E-2,-1.003333557E1,2.213596802E0,1.732646942E0,1.041968804E1
8.186279167E-2,-1.057805283E1,2.584375763E0,2.071991272E0,1.108455446E1
9.193179174E-2,-1.090901459E1,2.881507874E0,2.646047516E0,1.158927325E1
1.019997917E-1,-1.083701431E1,3.053350525E0,3.438050537E0,1.177217143E1
1.120687918E-1,-1.025517426E1,3.049308929E0,3.921994171E0,1.139512713E1
1.221367917E-1,-9.524543610E0,2.769391022E0,4.140839081E0,1.074862809E1
1.322057917E-1,-8.903934174E0,2.295027466E0,4.195026398E0,1.010670279E1
1.422747917E-1,-8.832382965E0,2.097288666E0,4.341571655E0,1.006274580E1
1.523427917E-1,-8.568781128E0,1.833686829E0,4.492607574E0,9.847331630E0
1.624117917E-1,-8.395142212E0,1.649869080E0,4.467609558E0,9.651943633E0
1.724797917E-1,-8.237969055E0,1.456321564E0,4.060456238E0,9.299048957E0
1.825487918E-1,-8.208181000E0,1.100960541E0,3.364852753E0,8.939160111E0
1.926167917E-1,-8.225095825E0,9.113049316E-1,2.742297363E0,8.717962654E0
2.026857918E-1,-7.800578613E0,8.168513489E-1,2.221829681E0,8.151858681E0
2.127537917E-1,-7.947572937E0,1.277892609E0,1.300944672E0,8.154102167E0
2.228227917E-1,-8.038433990E0,1.935175781E0,1.353485413E0,8.378141147E0
2.328907917E-1,-7.573500824E0,1.668280792E0,4.102818146E0,8.773493732E0
2.429597917E-1,-7.055278473E0,1.322350159E0,5.241649933E0,8.888220198E0
2.530277917E-1,-6.150709534E0,8.572673035E-1,4.938230896E0,7.934245987E0
2.630967917E-1,-5.163362732E0,3.661386108E-1,4.925207977E0,7.145071434E0
2.731647918E-1,-4.366569672E0,2.694396973E-2,5.442831573E0,6.977970494E0
2.832337917E-1,-3.475472717E0,-5.466632080E-1,5.828280029E0,6.807833677E0
2.933027917E-1,-3.334615631E0,-3.101550293E-1,3.932173004E0,5.165059737E0
3.033707917E-1,-3.030897217E0,-7.634124756E-2,1.444945221E0,3.358575980E0
3.134397917E-1,-2.544708252E0,-4.249662781E-1,-4.565505981E-1,2.620033373E0
3.235077917E-1,-2.368374939E0,-3.245251465E-1,-1.856738892E0,3.026878877E0
3.335767917E-1,-3.328628082E0,4.156855774E-1,-2.561323700E0,4.220537703E0
3.436447917E-1,-5.489534454E0,1.174906769E0,-2.674937439E0,6.218575781E0
3.537137917E-1,-7.553292847E0,1.345102844E0,-2.463576965E0,8.057961650E0
3.637817918E-1,-9.726174316E0,6.337820435E-1,-1.717678070E0,9.896997750E0
3.738507917E-1,-1.154683823E1,-2.180964661E-1,-7.716453552E-1,1.157464797E1
3.839187917E-1,-1.326361816E1,-1.506317596E0,6.137237549E-3,1.334888000E1
3.939877917E-1,-1.594364502E1,-3.216062164E0,3.752696228E-1,1.626910261E1
4.040557917E-1,-1.946147964E1,-5.080435181E0,3.427871704E-2,2.011370644E1
4.141247917E-1,-2.468561600E1,-5.131928101E0,-1.291214905E0,2.524645637E1
4.241937917E-1,-2.671120377E1,-5.591771851E0,4.790039062E-1,2.729442734E1
4.342617918E-1,-2.300461166E1,-9.478589172E0,4.883444824E0,2.535554858E1
4.443307917E-1,-2.081676132E1,-1.106469086E1,8.463849335E0,2.504798757E1
