"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.609166666E-3,9.737101593E0,1.027164001E0,-2.030527496E0,9.999462747E0
7.458833279E-3,1.009485764E1,-1.161584473E-1,-2.846181335E0,1.048906057E1
1.752783335E-2,9.809700623E0,-1.416803741E0,-3.675905914E0,1.057117985E1
2.759583329E-2,1.101768860E1,-2.078876953E0,-2.028880920E0,1.139418927E1
3.766483325E-2,1.345656693E1,-6.521937561E-1,3.698808289E-1,1.347743900E1
4.773283331E-2,1.446172668E1,-1.423539734E-1,1.738185425E0,1.456650582E1
5.780183326E-2,1.310943878E1,-2.713706818E0,1.147513733E0,1.343645703E1
6.786983332E-2,1.146271317E1,-4.091591492E0,8.583151245E-1,1.220129579E1
7.793783327E-2,8.330925751E0,-7.397017822E0,1.613794098E0,1.125719894E1
8.800683334E-2,9.610614624E0,-3.178939362E0,2.784210205E-1,1.012655357E1
9.807483328E-2,1.000414627E1,-1.036295013E0,-7.367678833E-1,1.008462577E1
1.081438333E-1,8.993897095E0,-1.618434448E0,-1.483564911E0,9.257995456E0
1.182118333E-1,9.327253876E0,-1.442250824E0,-2.650388489E0,9.803178640E0
1.282808332E-1,9.348509674E0,-1.901495819E0,-2.633773041E0,9.896821707E0
1.383488333E-1,9.430539093E0,-3.409609680E0,-1.188378754E0,1.009815576E1
1.484178333E-1,1.083461929E1,-3.917952576E0,3.847000122E-2,1.152131970E1
1.584858333E-1,1.326556412E1,-2.950813751E0,1.892215118E0,1.372089542E1
1.685548333E-1,1.497351242E1,-8.490344238E-1,3.801195374E0,1.547178141E1
1.786228333E-1,1.527947617E1,-4.370910645E-2,4.740492096E0,1.599801762E1
1.886918333E-1,1.301842804E1,-6.966513062E-1,3.532055054E0,1.350704278E1
1.987598334E-1,1.221609650E1,-2.586621094E-1,2.258802795E0,1.242586455E1
2.088288333E-1,1.145223495E1,9.791139221E-1,1.608854370E0,1.160606574E1
2.188968332E-1,8.759484558E0,1.392105103E-1,1.746418304E0,8.932968498E0
2.289658333E-1,7.217690735E0,-4.242178345E-1,2.689606934E0,7.714208046E0
2.390338333E-1,6.139033813E0,-5.225633240E-1,4.235142975E0,7.476445988E0
2.491028333E-1,5.411097565E0,-1.193168793E0,5.383255463E0,7.725481732E0
2.591708333E-1,6.203399963E0,-4.234693909E-1,5.741161194E0,8.463003562E0
2.692398333E-1,6.689139862E0,6.002517700E-2,4.543202362E0,8.086339272E0
2.793078333E-1,6.283034363E0,-5.559439087E-1,3.194357300E0,7.070326230E0
2.893768332E-1,5.831573181E0,-2.358794861E0,7.521858215E-1,6.335372323E0
2.994448333E-1,6.161487122E0,-2.208806763E0,9.654922485E-1,6.616262249E0
3.095138333E-1,7.456893311E0,-1.310524750E0,2.082469482E0,7.852350738E0
3.195818333E-1,7.884703674E0,-1.616638184E0,2.611170044E0,8.461694868E0
3.296498333E-1,7.824977875E0,-2.714455261E0,2.663261719E0,8.700086729E0
3.397188333E-1,7.606132965E0,-3.586092682E0,2.185904388E0,8.688584315E0
3.497868333E-1,9.785900116E0,-3.944896545E0,1.278641052E0,1.062830997E1
3.598558333E-1,1.113654144E1,-2.489024048E0,7.114704895E-1,1.143345907E1
3.699238333E-1,9.678124237E0,-2.507884827E0,1.264121246E0,1.007737950E1
3.799928332E-1,8.430618439E0,-3.304228821E0,1.065334625E0,9.117466382E0
3.900608333E-1,-1.024319916E0,-2.069446564E0,1.578916626E0,2.797287629E0
4.001298333E-1,1.071247330E1,-4.644242249E0,9.900411987E-1,1.171777504E1
4.101978333E-1,9.765542450E0,1.387614441E-1,-1.673519897E-1,9.767961956E0
4.202668333E-1,9.344468079E0,-9.580078125E-3,3.863465881E-1,9.352456316E0
4.303348333E-1,8.278684387E0,-1.417552185E-1,4.927752686E-1,8.294548643E0
4.404038333E-1,7.280110931E0,-2.005828857E-2,7.298822021E-1,7.316634851E0
4.504718333E-1,8.619375916E0,7.670050049E-1,2.189347229E0,8.926095403E0
4.605408333E-1,1.067609894E1,2.587070160E0,4.447850647E0,1.185138793E1
4.706088332E-1,1.147154480E1,3.165167999E0,4.516408081E0,1.272841587E1
4.806778333E-1,1.042522064E1,2.135159912E0,2.984942780E0,1.105233083E1
4.907458333E-1,1.159084671E1,1.911075897E0,2.341430969E0,1.197840714E1
5.008148333E-1,1.215232910E1,2.116448822E0,1.851050720E0,1.247336550E1
5.108828333E-1,1.152213959E1,2.577639771E-1,1.235530701E0,1.159106031E1
5.209518333E-1,1.126362717E1,-7.547305298E-1,9.550140381E-2,1.128928854E1
5.310198333E-1,1.195683563E1,-1.858834534E0,3.891906738E-1,1.210671936E1
5.410888332E-1,9.583071899E0,-6.181994476E0,1.253193970E0,1.147269880E1
5.511568333E-1,9.135652313E0,-3.565884705E0,1.485510864E0,9.918791229E0
5.612248332E-1,7.137307892E0,-7.080426178E0,2.183060303E0,1.028782538E1
5.712938333E-1,6.918163605E0,-4.233795776E0,1.811383209E0,8.310663239E0
5.813612083E-1,9.223818970E0,8.457412720E-1,1.793719940E0,9.434593044E0
5.914302083E-1,1.012524445E1,-3.762425995E0,-2.093097382E0,1.100261247E1
6.014982082E-1,9.932295685E0,-1.032403107E0,-5.465135193E-1,1.000075151E1
6.115672083E-1,8.069569244E0,-1.149309998E0,1.397793274E0,8.269987140E0
6.216352083E-1,8.689879303E0,-1.373843079E0,1.107546844E0,8.867249129E0
6.317042083E-1,1.048090485E1,3.537892914E0,1.442999268E0,1.115563981E1
6.417722083E-1,9.411528625E0,2.363584900E-1,2.513722687E0,9.744307987E0
6.518412083E-1,9.214238892E0,5.792953491E-2,8.879534912E-1,9.257106221E0
6.619092083E-1,1.055185730E1,-3.945794678E-1,9.395960999E-1,1.060095403E1
6.719782084E-1,1.143292511E1,-1.463207245E0,-1.939516754E0,1.168821959E1
6.820462083E-1,1.153695877E1,1.375040588E0,-1.306932220E0,1.169188719E1
6.921152083E-1,1.264480499E1,-2.385888519E0,-1.473685455E0,1.295203869E1
7.021832083E-1,1.221100708E1,-2.166594543E0,3.323089600E-2,1.240177125E1
7.122522083E-1,1.303669006E1,-1.311273193E-1,1.064436493E0,1.308073038E1
7.223202083E-1,1.344519058E1,7.315287781E-1,9.277706909E-1,1.349700124E1
7.323892083E-1,1.319116882E1,-1.496887207E-2,3.866459656E-1,1.319684258E1
7.424572083E-1,1.258807297E1,1.835183716E0,1.571881256E0,1.281788949E1
7.525262083E-1,1.256367371E1,2.267185364E0,3.334765320E0,1.319494927E1
7.625942084E-1,1.264899628E1,9.072633362E-1,2.815046082E0,1.299017775E1
7.726622083E-1,1.260723312E1,-2.251318359E-1,3.511996765E0,1.308919908E1
7.827312083E-1,1.266142044E1,-1.589394836E0,2.219734039E0,1.295241146E1
7.927992083E-1,1.189217010E1,-2.076781311E0,1.513802032E0,1.216668924E1
8.028682083E-1,1.200264038E1,-2.966830444E0,9.306147766E-1,1.239885087E1
8.129362083E-1,1.179127991E1,-3.468137970E0,7.090754700E-1,1.231117585E1
8.230052083E-1,1.180804504E1,-4.194727020E0,1.645378418E0,1.263854947E1
8.330732083E-1,1.251532425E1,-3.500919800E0,9.553134155E-1,1.303082516E1
8.431422083E-1,1.375354935E1,-2.402054901E0,-6.785389709E-1,1.397821171E1
8.532102084E-1,1.343890366E1,-3.130140839E0,-1.469943237E0,1.387669436E1
8.632792083E-1,1.347857117E1,-2.486778717E0,-1.684147797E0,1.380913838E1
8.733472083E-1,1.334714447E1,-2.000140686E0,-2.316582642E0,1.369355262E1
8.834162083E-1,1.239377701E1,-2.875071259E0,-2.020049286E0,1.288224912E1
8.934842083E-1,1.199620377E1,-3.074606323E0,-1.512604523E0,1.247598017E1
9.035532083E-1,1.111753098E1,-1.886826324E0,-2.066153412E0,1.146423126E1
9.136212083E-1,1.016910324E1,-1.149459686E0,-1.903741150E0,1.040942595E1
9.236902084E-1,9.787995758E0,-1.080153809E0,-1.205892334E0,9.920976239E0
9.337582083E-1,8.820108490E0,-7.617658997E-1,-2.539020081E0,9.209843866E0
9.438272082E-1,7.949818268E0,-6.935078430E-1,-1.982178040E0,8.222505299E0
9.538952083E-1,7.800578613E0,6.086343384E-1,-1.457668762E0,7.958910772E0
9.639642083E-1,6.461613007E0,1.223705292E0,-5.698649597E-1,6.601109252E0
9.740322083E-1,6.866371307E0,2.053280182E0,-1.429976349E0,7.308067241E0
9.841012083E-1,6.606511688E0,1.374741211E0,-2.111209717E0,7.070581062E0
9.941692083E-1,5.438490601E0,9.150471497E-1,-8.171507263E-1,5.575143640E0
1.004237208E0,5.314698029E0,-7.785310364E-1,-9.219328308E-1,5.449962005E0
1.014306208E0,5.591173096E0,-1.342408447E0,-4.242178345E-1,5.765694910E0
1.024374208E0,3.866309967E0,-2.523751831E-1,-1.908381500E0,4.319023726E0
1.034443208E0,4.100273438E0,-4.144880676E-1,-2.025138702E0,4.591865567E0
1.044511208E0,4.445755005E0,-8.810678101E-1,-1.880838776E0,4.906992210E0
1.054580208E0,4.678071899E0,-1.489552460E0,-2.045047302E0,5.318396534E0
1.064648208E0,4.355792084E0,-1.919159088E0,-2.406545563E0,5.333625205E0
1.074717208E0,4.446353760E0,-2.680026855E0,-2.609822845E0,5.810660977E0
1.084785208E0,4.527485046E0,-2.192490692E0,-1.885179749E0,5.372060961E0
1.094854208E0,4.826413422E0,-2.753374329E0,-3.432212677E0,6.531111741E0
