"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.261760000E-4,-4.145999849E-1,7.608899593E0,-2.810299873E0,8.121885960E0
1.052930100E-2,-1.179999951E-2,-1.939999908E-1,1.489999983E-2,1.949288240E-1
2.052617600E-2,9.209999442E-2,-1.349000037E-1,1.469999924E-2,1.640015547E-1
3.052461400E-2,1.718999892E-1,-1.041999981E-1,-1.260000002E-2,2.014100442E-1
4.052461400E-2,1.772999913E-1,-6.219999865E-2,-1.730000041E-2,1.886886768E-1
5.052461400E-2,1.729999930E-1,-3.879999742E-2,2.199999988E-3,1.773112443E-1
6.053242600E-2,1.084999964E-1,4.399999976E-3,5.499999970E-3,1.087283735E-1
7.052617600E-2,9.659999609E-2,-1.379999984E-2,1.579999924E-2,9.885160199E-2
8.052461400E-2,2.809999883E-2,-3.799999831E-3,7.899999619E-3,2.943569138E-2
9.052461400E-2,-2.329999954E-2,3.419999778E-2,3.539999947E-2,5.445814713E-2
1.005246140E-1,-8.399999887E-2,7.989999652E-2,1.585000008E-1,1.963727566E-1
1.105261760E-1,-1.973000020E-1,1.335999966E-1,2.770999968E-1,3.654595164E-1
1.205246140E-1,-3.379999995E-1,2.467999905E-1,3.380999863E-1,5.380202931E-1
1.305339890E-1,-4.229999781E-1,3.100999892E-1,3.771999776E-1,6.460424196E-1
1.405261760E-1,-4.871999919E-1,3.835999966E-1,3.353999853E-1,7.049864819E-1
1.505261760E-1,-6.082999706E-1,4.266999960E-1,2.736999989E-1,7.918417962E-1
1.605261760E-1,-7.367999554E-1,4.991999865E-1,2.157999873E-1,9.157753192E-1
1.705261760E-1,-8.139999509E-1,5.907999873E-1,1.083000004E-1,1.011617237E0
1.805261760E-1,-8.319000006E-1,6.917999983E-1,-1.909999922E-2,1.082131997E0
1.905261760E-1,-7.832999825E-1,8.220999837E-1,-1.853999943E-1,1.150556563E0
2.005261760E-1,-7.087999582E-1,9.623000026E-1,-3.595999777E-1,1.248090870E0
2.105261760E-1,-6.297999620E-1,1.092899919E0,-4.941999912E-1,1.354736821E0
2.205261760E-1,-5.568999648E-1,1.194399953E0,-6.772999763E-1,1.481709849E0
2.305261760E-1,-4.902999997E-1,1.325699925E0,-9.181999564E-1,1.685516402E0
2.405261760E-1,-4.589999914E-1,1.574999928E0,-1.188199997E0,2.025617190E0
2.505261760E-1,-4.518999755E-1,2.010699987E0,-1.489099979E0,2.542547301E0
2.605261760E-1,-4.573999941E-1,2.563699961E0,-1.861599922E0,3.201144563E0
2.705261760E-1,-4.642999768E-1,3.164899826E0,-2.179999828E0,3.870990135E0
2.805261760E-1,-6.480000019E-1,3.745499849E0,-2.661000013E0,4.639999374E0
2.905261760E-1,-3.410999775E-1,4.236700058E0,-2.725499868E0,5.049190639E0
3.005261760E-1,-6.799999624E-3,4.364099979E0,-2.304199934E0,4.935053415E0
3.105261760E-1,5.564999580E-1,4.108500004E0,-1.925999999E0,4.571535900E0
3.205261760E-1,1.528999925E0,3.097899914E0,-1.795399904E0,3.893364286E0
3.305261760E-1,2.769399881E0,1.824399948E0,-2.682099819E0,4.265169436E0
3.405261760E-1,1.845600009E0,-6.685999632E-1,-2.487200022E0,3.168505839E0
3.505261760E-1,1.559700012E0,-2.758499861E0,5.184999704E-1,3.211047777E0
3.605261760E-1,-5.544999838E-1,-4.986799717E0,4.545599937E0,6.770385546E0
3.705261760E-1,-1.237800002E0,-8.096799850E0,5.256700039E0,9.732585061E0
3.805261760E-1,-3.158599854E0,-1.254430008E1,7.246799946E0,1.482741808E1
3.905261760E-1,-4.807399750E0,-1.774489975E1,8.116700172E0,2.009660123E1
4.005261760E-1,-5.637499809E0,-2.202379990E1,8.875999451E0,2.440517429E1
4.105261760E-1,-5.796899796E0,-2.432509995E1,9.502599716E0,2.675096140E1
4.205261760E-1,-3.466399908E0,-2.203209877E1,8.339399338E0,2.381123445E1
4.305355510E-1,-2.040099859E0,-1.772349930E1,5.867099762E0,1.878050304E1
4.405261760E-1,-2.743399858E0,-1.384879971E1,3.819799900E0,1.462553819E1
4.505261760E-1,-2.992499828E0,-1.070319939E1,1.841899991E0,1.126526200E1
4.605261760E-1,-2.107699871E0,-7.984200001E0,8.950999975E-1,8.306085263E0
4.705261760E-1,-3.109999932E-2,-5.201499939E0,-8.513000011E-1,5.270795055E0
4.805261760E-1,1.173799992E0,-2.518299818E0,-1.172219944E1,1.204697473E1
4.905293010E-1,2.055700064E0,9.539999962E-1,-1.961039925E1,1.974091632E1
5.005261760E-1,2.892299891E0,5.264100075E0,-1.846080017E1,1.941332767E1
5.105386760E-1,4.713599682E0,8.088199615E0,-1.261419964E1,1.570843810E1
5.205261760E-1,5.016399860E0,9.550299644E0,-7.519199848E0,1.314955730E1
5.305261760E-1,4.445199966E0,1.043889999E1,-4.726900101E0,1.229121721E1
5.405261760E-1,3.927500010E0,1.092659950E1,-1.973799944E0,1.177759395E1
5.505261760E-1,3.725699902E0,1.077619934E1,2.114999890E-1,1.140403631E1
5.605261760E-1,3.730199814E0,1.054570007E1,1.461300015E0,1.128102737E1
5.705293010E-1,4.153399944E0,1.064190006E1,2.148599863E0,1.162399455E1
5.805261760E-1,5.170199871E0,1.102190018E1,3.348199844E0,1.262630953E1
5.905261760E-1,6.649399757E0,1.169419956E1,5.664399624E0,1.459637776E1
6.005371140E-1,6.246699810E0,1.173880005E1,6.835799694E0,1.495154984E1
6.105261760E-1,3.250699997E0,1.084159946E1,3.902199984E0,1.197223848E1
6.205261760E-1,5.798000097E-1,1.038239956E1,1.608199954E0,1.052220014E1
6.305261760E-1,-1.364499927E0,1.039760017E1,1.095199943E0,1.054378548E1
6.405261760E-1,-2.115000010E0,1.058360004E1,3.150499821E0,1.124328529E1
6.505402390E-1,-2.229799986E0,1.064839935E1,3.816699982E0,1.152942390E1
6.605261760E-1,-2.329599857E0,1.058449936E1,3.315599918E0,1.133366071E1
6.705261760E-1,-2.565599918E0,1.049119949E1,3.272799969E0,1.128533515E1
6.805261760E-1,-2.559299946E0,1.034969997E1,2.934700012E0,1.105797314E1
6.905261760E-1,-2.236000061E0,1.020940018E1,2.065700054E0,1.065357522E1
7.005293010E-1,-2.239500046E0,9.981900215E0,1.355499983E0,1.031945118E1
7.105261760E-1,-2.249300003E0,9.774999619E0,9.523999691E-1,1.007556618E1
7.205261760E-1,-2.117899895E0,9.559399605E0,6.498000026E-1,9.812739720E0
7.305261760E-1,-1.817999959E0,9.315299988E0,6.152999997E-1,9.510969025E0
7.405261760E-1,-1.510900021E0,9.189499855E0,7.325999737E-1,9.341650239E0
7.505261760E-1,-1.376999974E0,9.034500122E0,8.933999538E-1,9.182400822E0
7.605261760E-1,-1.398800015E0,8.722700119E0,1.586399913E0,8.975455617E0
7.705308640E-1,-1.812299967E0,7.567399979E0,3.462599993E0,8.517016632E0
7.805261760E-1,-8.830100060E0,-2.779309845E1,6.190299988E0,2.981185674E1
7.905261760E-1,-2.143300056E0,-6.670069885E1,2.563010025E1,7.148761432E1
8.005261760E-1,-8.978400230E0,-6.835099792E1,3.008969879E1,7.521875139E1
8.105261760E-1,-1.206599951E0,-6.704270172E1,1.503369999E1,6.871820627E1
8.205261760E-1,3.037400007E0,-3.031709862E1,2.317600012E0,3.055689018E1
8.305261760E-1,4.857699871E0,-1.088339996E1,-5.690499783E0,1.320709773E1
8.405261760E-1,7.348799706E0,-3.483199835E0,-5.666389847E1,5.724451876E1
8.505261760E-1,2.851300001E0,-7.245999575E-1,-3.969279861E1,3.980167357E1
8.605261760E-1,1.197000027E0,-3.937999904E-1,-2.645609856E1,2.648609141E1
8.705261760E-1,9.747999907E-1,1.849000007E-1,-1.464470005E1,1.467827179E1
8.805371140E-1,8.454999924E-1,1.498899937E0,-4.287300110E0,4.619795828E0
8.905261760E-1,2.396999896E-1,3.424599886E0,1.281199932E0,3.664261690E0
9.005261760E-1,3.222999871E-1,5.579699993E0,3.694999933E0,6.699996552E0
9.105261760E-1,2.919999957E-1,7.545899868E0,3.280399799E0,8.233279520E0
9.205261760E-1,8.059999943E-1,9.179900169E0,1.950599909E0,9.419397174E0
9.305261760E-1,1.023499966E0,9.973799706E0,2.174700022E0,1.025931542E1
9.405261760E-1,1.097800016E0,1.005499935E1,3.701900005E0,1.077089785E1
9.505261760E-1,1.123299956E0,1.004089928E1,3.733500004E0,1.077128049E1
9.605261760E-1,1.403299928E0,1.003109932E1,2.941299915E0,1.054720102E1
9.705261760E-1,1.845399976E0,1.012580013E1,3.351799965E0,1.082459664E1
9.805277390E-1,2.610800028E0,1.040509987E1,4.792099953E0,1.174932347E1
9.905261760E-1,3.583099842E0,1.077339935E1,6.412999630E0,1.303960515E1
1.000526176E0,4.251100063E0,1.123409939E1,6.910699844E0,1.385765540E1
1.010526176E0,4.215099812E0,1.151489925E1,6.968199730E0,1.410375052E1
1.020526176E0,3.556599855E0,1.164519978E1,6.148399830E0,1.364048756E1
1.030526176E0,2.609099865E0,1.168190002E1,5.260499954E0,1.307467208E1
1.040526176E0,1.650200009E0,1.158360004E1,4.224699974E0,1.243989710E1
1.050526176E0,7.633000016E-1,1.135789967E1,3.066399813E0,1.178928834E1
1.060526176E0,1.046999991E-1,1.118319988E1,2.398000002E0,1.143788992E1
1.070532426E0,-2.949000001E-1,1.091259956E1,2.159999847E0,1.112822513E1
1.080526176E0,-3.956999779E-1,1.061409950E1,1.689499974E0,1.075500334E1
1.090526176E0,-3.524000049E-1,1.041309929E1,1.221599936E0,1.049043035E1
1.100526176E0,-2.673999965E-1,1.025119972E1,8.317999840E-1,1.028836672E1
1.110526176E0,-6.610000134E-2,1.017770004E1,5.487999916E-1,1.019269978E1
1.120538676E0,4.199999943E-2,1.012370014E1,4.320999980E-1,1.013300444E1
1.130526176E0,1.122999936E-1,1.009889984E1,5.106999874E-1,1.011242818E1
