"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.381892000E-3,1.321070004E1,-6.932929993E1,-2.762509918E1,7.579063615E1
1.838189200E-2,4.633399963E0,5.791800022E0,-4.922999859E0,8.902205925E0
2.838033000E-2,4.535299778E0,5.252699852E0,-5.285500050E0,8.723319929E0
3.838189200E-2,4.515799999E0,4.763700008E0,-6.146800041E0,8.992688038E0
4.838189200E-2,3.998199940E0,3.701099873E0,-8.304699898E0,9.932360415E0
5.838189200E-2,2.592900038E0,2.330999970E-1,-1.220249939E1,1.247711736E1
6.838189200E-2,-3.674999774E-1,-1.145230007E1,-1.700319862E1,2.050363374E1
7.838189200E-2,-3.074999809E0,-1.962779999E1,-1.681529999E1,2.602807081E1
8.838189200E-2,-3.130800009E0,-2.200699997E1,-8.090899467E0,2.365528716E1
9.838189200E-2,-3.592999935E0,-2.542709923E1,-1.736599922E0,2.573835276E1
1.083818920E-1,-2.774299860E0,-2.788379860E1,-4.329999983E-1,2.802481852E1
1.183818920E-1,3.026499987E0,-2.438479996E1,-4.877399921E0,2.505129141E1
1.283818920E-1,7.787799835E0,-1.953529930E1,-1.038579941E1,2.345511830E1
1.383818920E-1,8.371500015E0,-1.944599915E1,-1.375619984E1,2.524800842E1
1.483928300E-1,6.240900040E0,-2.154469872E1,-1.311329937E1,2.598233047E1
1.583818920E-1,3.940599918E0,-2.208029938E1,-1.024800014E1,2.465946989E1
1.683818920E-1,3.848999977E0,-1.976729965E1,-8.398099899E0,2.181946421E1
1.783818920E-1,3.934000015E0,-1.646369934E1,-7.732299805E0,1.860962687E1
1.883818920E-1,3.128700018E0,-1.379439926E1,-8.544199944E0,1.652505877E1
1.983865800E-1,2.091599941E0,-1.187639999E1,-1.027909946E1,1.584561621E1
2.083818920E-1,1.589999914E0,-1.016309929E1,-1.130429935E1,1.528410517E1
2.183818920E-1,1.392499924E0,-8.157799721E0,-1.109759998E1,1.384360783E1
2.283818920E-1,1.472800016E0,-5.845599651E0,-1.112259960E1,1.265118165E1
2.383818920E-1,1.353299975E0,-3.182099819E0,-1.091109943E1,1.144592814E1
2.483818920E-1,1.483299971E0,-5.579999685E-1,-1.033609962E1,1.045688760E1
2.583818920E-1,1.713699937E0,1.937999964E0,-8.987899780E0,9.352804595E0
2.683818920E-1,1.765299916E0,3.646199942E0,-6.823999882E0,7.935869971E0
2.783818920E-1,2.462899923E0,5.296599865E0,-4.673199654E0,7.480550860E0
2.883818920E-1,3.210199833E0,6.776000023E0,-3.432600021E0,8.246350840E0
2.983818920E-1,3.632099867E0,7.886199951E0,-3.282299995E0,9.282122191E0
3.083818920E-1,4.312599659E0,8.529099464E0,-3.194700003E0,1.007721001E1
