"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.407977000E-3,4.477699757E0,-8.668600082E0,6.446999907E-1,9.778039710E0
1.340641500E-2,8.335999846E-1,-1.134500027E0,-2.964599848E0,3.281894499E0
2.340641500E-2,1.010200024E0,-1.516899943E0,-3.876599789E0,4.283633440E0
3.341110200E-2,8.836999536E-1,-1.908899903E0,-4.749300003E0,5.194292538E0
4.340797700E-2,6.017999649E-1,-2.261199951E0,-5.356899738E0,5.845644808E0
5.340797700E-2,5.855999589E-1,-2.318899870E0,-5.424999714E0,5.928814874E0
6.340797700E-2,9.801999927E-1,-2.288300037E0,-5.346299648E0,5.897459539E0
7.340641500E-2,1.559000015E0,-2.424199820E0,-5.562500000E0,6.264872869E0
8.340797700E-2,2.047199965E0,-2.676899910E0,-5.701299667E0,6.622811995E0
9.340641500E-2,2.531699896E0,-2.800699949E0,-5.449399948E0,6.629433186E0
1.034064150E-1,3.709899902E0,-2.542399883E0,-4.935999870E0,6.677667944E0
1.134064150E-1,5.678499699E0,-2.011899948E0,-3.913800001E0,7.184074796E0
1.234079770E-1,6.279599667E0,-1.890599966E0,-1.056599975E0,6.642600674E0
1.334111020E-1,6.868099689E0,-2.523200035E0,3.311299801E0,8.031316090E0
1.434079770E-1,9.197500229E0,-3.429099798E0,7.208899975E0,1.217870990E1
1.534079770E-1,1.323989964E1,-5.358599663E0,1.068900013E1,1.783996235E1
1.634079770E-1,1.670759964E1,-6.890599728E0,1.235489941E1,2.189218558E1
1.734079770E-1,1.752260017E1,-7.448400021E0,1.263869953E1,2.285294085E1
1.834189150E-1,1.628240013E1,-7.076900005E0,1.350729942E1,2.230798524E1
1.934079770E-1,1.537899971E1,-6.446799755E0,1.529220009E1,2.262578712E1
2.034079770E-1,1.630379868E1,-6.354300022E0,1.722379875E1,2.455300844E1
2.134079770E-1,1.856049919E1,-6.749599934E0,1.946229935E1,2.772778977E1
2.234079770E-1,1.972629929E1,-6.994699955E0,2.127820015E1,2.984651592E1
2.334079770E-1,1.987879944E1,-6.911699772E0,2.143980026E1,3.004335694E1
2.434079770E-1,1.985689926E1,-6.725199699E0,2.008129883E1,2.903073065E1
2.534079770E-1,1.993330002E1,-6.622299671E0,1.736540031E1,2.725341136E1
2.634079770E-1,2.001659966E1,-6.542399883E0,1.396070004E1,2.526595344E1
2.734142270E-1,1.979879951E1,-6.273599625E0,1.060809994E1,2.332128424E1
2.834079770E-1,1.896819878E1,-5.497799873E0,7.642699718E0,2.117614760E1
2.934079770E-1,1.743540001E1,-4.645899773E0,5.206699848E0,1.877997022E1
3.034079770E-1,1.547469997E1,-4.130799770E0,2.848700047E0,1.626791130E1
3.134079770E-1,1.257979965E1,-4.060100079E0,-1.047199965E0,1.326018098E1
3.234173520E-1,1.131559944E1,-3.679600000E0,-2.949100018E0,1.225885141E1
3.334079770E-1,1.066289997E1,-3.445999861E0,-4.561800003E0,1.209885821E1
3.434079770E-1,9.545000076E0,-3.187799931E0,-5.299799919E0,1.137352074E1
3.534079770E-1,8.289799690E0,-2.767799854E0,-5.792099953E0,1.048474686E1
3.634079770E-1,7.107999802E0,-2.138499975E0,-6.106699944E0,9.611900308E0
3.734236020E-1,6.673500061E0,-1.709800005E0,-5.963999748E0,9.111987276E0
3.834079770E-1,6.708999634E0,-1.766299963E0,-5.408199787E0,8.796540035E0
3.934079770E-1,6.558499813E0,-2.242300034E0,-4.515199661E0,8.272173670E0
4.034079770E-1,6.603299618E0,-2.806399822E0,-3.402799845E0,7.940937765E0
4.134079770E-1,6.937500000E0,-3.429699898E0,-2.622799873E0,8.171341800E0
4.234173520E-1,7.452299595E0,-4.153599739E0,-2.156599998E0,8.800004750E0
4.334079770E-1,8.141499519E0,-4.986299992E0,-2.540899992E0,9.879442029E0
4.434079770E-1,8.272500038E0,-5.898900032E0,-3.652999878E0,1.079702212E1
4.534079770E-1,7.654899597E0,-6.729899883E0,-5.230700016E0,1.145640707E1
4.634079770E-1,6.680799961E0,-7.415799618E0,-6.822099686E0,1.209000481E1
4.734126650E-1,5.572400093E0,-7.892999649E0,-8.261300087E0,1.271220537E1
4.834079770E-1,4.726299763E0,-8.148499489E0,-9.580499649E0,1.343584485E1
4.934079770E-1,4.243000031E0,-8.355199814E0,-1.092789936E1,1.439553395E1
5.034079770E-1,3.876199961E0,-8.286899567E0,-1.171729946E1,1.486582447E1
5.134079770E-1,4.026799679E0,-7.919299603E0,-1.167980003E1,1.467474534E1
5.234142270E-1,4.362299919E0,-7.636299610E0,-1.100209999E1,1.408506076E1
5.334079770E-1,4.630300045E0,-7.565799713E0,-1.008510017E1,1.343094372E1
5.434079770E-1,4.801099777E0,-7.639899731E0,-8.858900070E0,1.264510725E1
5.534079770E-1,5.157899857E0,-7.655699730E0,-7.368700027E0,1.181149480E1
5.634079770E-1,5.497600079E0,-7.559799671E0,-5.502699852E0,1.084683748E1
5.734220400E-1,4.829099655E0,-7.610599995E0,-4.163099766E0,9.928385338E0
5.834079770E-1,3.749799967E0,-7.528399944E0,-3.436100006E0,9.085405261E0
5.934079770E-1,3.081699848E0,-7.133299828E0,-2.860199928E0,8.280192269E0
6.034079770E-1,3.035699844E0,-5.799900055E0,-2.616400003E0,7.049812988E0
6.134079770E-1,4.037099838E0,-3.704199791E0,-2.206799984E0,5.906711214E0
6.234126650E-1,4.826499939E0,-1.862999916E0,1.794999987E-1,5.176687222E0
6.334079770E-1,5.270799637E0,-4.888999760E-1,4.189700127E0,6.750847291E0
6.434079770E-1,5.017299652E0,7.207999825E-1,8.421899796E0,9.829610602E0
6.534079770E-1,2.518800020E0,1.466300011E0,1.298909950E1,1.331206577E1
6.634079770E-1,-2.142199993E0,2.387099981E0,1.577539921E1,1.609815167E1
6.734126650E-1,-4.883500099E0,3.966399908E0,1.422690010E1,1.555588596E1
6.834079770E-1,-3.475999832E0,6.211400032E0,8.939000130E0,1.142671381E1
6.934079770E-1,-2.558999956E-1,9.040100098E0,3.461299896E0,9.683464853E0
7.034079770E-1,3.599499941E0,1.212699986E1,4.685999751E-1,1.265859831E1
7.134079770E-1,5.311399937E0,1.376309967E1,2.651999891E-1,1.475480304E1
7.234111020E-1,4.865799904E0,1.292499924E1,1.698300004E0,1.391459079E1
7.334079770E-1,4.064300060E0,1.032319927E1,3.569599867E0,1.165457084E1
7.434079770E-1,2.986699820E0,7.052700043E0,4.132100105E0,8.702597600E0
7.534079770E-1,1.696599960E0,3.462499857E0,4.375899792E0,5.832311349E0
7.634079770E-1,1.003000021E0,9.719999880E-2,5.776299953E0,5.863539719E0
7.734126650E-1,1.212399960E0,-2.430199862E0,6.678699970E0,7.209772418E0
7.834079770E-1,1.576999903E0,-4.308199883E0,5.365599632E0,7.059544910E0
7.934079770E-1,1.566100001E0,-6.024799824E0,3.220499992E0,7.008744704E0
8.034079770E-1,2.063199997E0,-6.410699844E0,1.569599986E0,6.915020668E0
8.134079770E-1,2.598799944E0,-5.973499775E0,-5.302999616E-1,6.535876281E0
8.234157900E-1,2.400799990E0,-5.867300034E0,-3.297399998E0,7.145760773E0
8.334079770E-1,1.462700009E0,-6.150300026E0,-5.873600006E0,8.629302333E0
8.434079770E-1,2.290000021E-2,-6.411799908E0,-8.077599525E0,1.031306533E1
8.534079770E-1,-7.245000005E-1,-6.474699974E0,-8.805299759E0,1.095353568E1
8.634079770E-1,-8.076999784E-1,-6.407299995E0,-8.347199440E0,1.055374867E1
8.734095400E-1,-6.840999722E-1,-6.284800053E0,-7.839099884E0,1.007065993E1
8.834079770E-1,1.146999970E-1,-5.819999695E0,-7.926599979E0,9.834456760E0
8.934079770E-1,9.962999821E-1,-5.343699932E0,-8.183099747E0,9.823994304E0
9.034079770E-1,1.145200014E0,-4.959499836E0,-8.698800087E0,1.007855370E1
