"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.693376000E-3,-5.141000152E-1,4.629999772E-2,-1.851199985E0,1.921817863E0
1.969337600E-2,-6.730199814E0,-2.682999849E0,3.546999931E0,8.066925451E0
2.969337600E-2,-7.132199764E0,-2.859499931E0,3.537299871E0,8.459166845E0
3.969181400E-2,-7.504600048E0,-2.967299938E0,3.429899931E0,8.768586222E0
4.970431400E-2,-7.876899719E0,-3.123999834E0,3.538699865E0,9.182990847E0
5.969337600E-2,-8.003999710E0,-3.466499805E0,3.628199816E0,9.446928928E0
6.969337600E-2,-7.915799618E0,-4.032499790E0,3.532199860E0,9.560197383E0
7.969337600E-2,-7.749699593E0,-4.478399754E0,3.495599985E0,9.609012820E0
8.969337600E-2,-6.742399693E0,-5.142999649E0,3.126799822E0,9.038101356E0
9.970587600E-2,-4.315599918E0,-6.697399616E0,2.631000042E0,8.390573609E0
1.096918140E-1,-4.615999758E-1,-8.002799988E0,2.329099894E0,8.347609747E0
1.196933760E-1,6.187299728E0,-1.112720013E1,2.806799889E0,1.303746088E1
1.296918140E-1,1.493949986E1,-1.499819946E1,4.655099869E0,2.167497631E1
1.396918140E-1,2.665289879E1,-1.971979904E1,9.037799835E0,3.436465210E1
1.496980640E-1,3.682500076E1,-2.194400024E1,1.399329948E1,4.509359443E1
1.596933760E-1,3.972929764E1,-1.888479996E1,1.458029938E1,4.634261419E1
1.696933760E-1,3.660530090E1,-1.378859997E1,1.037389946E1,4.046839919E1
1.796933760E-1,3.180009842E1,-9.956500053E0,5.373300076E0,3.375278517E1
1.896933760E-1,2.642499924E1,-8.126099586E0,1.911099911E0,2.771220637E1
1.997043140E-1,2.247850037E1,-8.904399872E0,1.245700002E0,2.420997902E1
2.096933760E-1,1.979730034E1,-1.074179935E1,4.306699753E0,2.293179053E1
2.196933760E-1,1.739189911E1,-1.137510014E1,7.869899750E0,2.222175465E1
2.296933760E-1,1.432269955E1,-1.003590012E1,1.003069973E1,2.016119913E1
2.396933760E-1,1.013379955E1,-7.148900032E0,9.364799500E0,1.554027460E1
2.496933760E-1,4.808000088E0,-3.936199903E0,6.553099632E0,9.030705915E0
2.596933760E-1,-9.454999566E-1,-1.331300020E0,2.961799860E0,3.382098213E0
2.696933760E-1,-5.837800026E0,2.264999896E-1,1.222999990E-1,5.843472313E0
2.796933760E-1,-9.530699730E0,7.779999971E-1,-1.729999900E0,9.717634537E0
2.896933760E-1,-1.201049995E1,4.411999881E-1,-1.872599959E0,1.216360955E1
2.996933760E-1,-1.360999966E1,-1.964999884E-1,-8.043999672E-1,1.363516638E1
3.096933760E-1,-1.436940002E1,-7.383999825E-1,4.635999799E-1,1.439582636E1
3.196933760E-1,-1.454589939E1,-1.082000017E0,1.491799951E0,1.466217515E1
3.296933760E-1,-1.416039944E1,-1.100899935E0,1.965999961E0,1.433855114E1
3.396933760E-1,-1.335039997E1,-1.009999990E0,1.824299932E0,1.351226663E1
3.496933760E-1,-1.237969971E1,-9.011999965E-1,1.496999979E0,1.250240518E1
3.596933760E-1,-1.137539959E1,-7.910000086E-1,1.124199986E0,1.145815092E1
3.696933760E-1,-1.039599991E1,-5.001999736E-1,1.082999945E0,1.046422013E1
3.796933760E-1,-9.451399803E0,-4.409999773E-2,1.061999917E0,9.510980332E0
3.896933760E-1,-8.513099670E0,5.038999915E-1,1.072399974E0,8.595162762E0
3.996933760E-1,-7.777899742E0,1.049600005E0,1.069299936E0,7.920908213E0
4.096933760E-1,-7.295799732E0,1.526799917E0,8.531999588E-1,7.502517037E0
4.196933760E-1,-7.106499672E0,1.849799991E0,7.792999744E-1,7.384538309E0
4.296933760E-1,-7.142299652E0,2.044399977E0,7.409999967E-1,7.465996021E0
4.396996260E-1,-7.364899635E0,2.217799902E0,5.406000018E-1,7.710553249E0
4.496933760E-1,-7.735299587E0,2.312399864E0,1.386999935E-1,8.074731607E0
4.596933760E-1,-8.096499443E0,2.398000002E0,-4.025999904E-1,8.453744377E0
4.696933760E-1,-8.339900017E0,2.468199968E0,-9.611999989E-1,8.750419922E0
4.796933760E-1,-8.454999924E0,2.486500025E0,-1.521499991E0,8.943414801E0
4.896996260E-1,-8.529899597E0,2.414899826E0,-1.989099979E0,9.085562560E0
4.996933760E-1,-8.702199936E0,2.263700008E0,-2.418900013E0,9.311482091E0
5.096933760E-1,-8.932700157E0,2.112900019E0,-2.465199947E0,9.504456290E0
5.196933760E-1,-9.217999458E0,1.940599918E0,-2.067299843E0,9.644229917E0
5.296933760E-1,-9.473799706E0,1.726699948E0,-1.451200008E0,9.738601287E0
5.397043140E-1,-9.513599396E0,1.432899952E0,-7.185999751E-1,9.647702403E0
5.496933760E-1,-9.317599297E0,1.257799983E0,-2.186999917E-1,9.404655610E0
5.596933760E-1,-8.748000145E0,8.212999701E-1,-1.902999878E-1,8.788529699E0
5.696933760E-1,-6.853499889E0,-1.685999930E-1,-4.821999967E-1,6.872510715E0
5.796933760E-1,-3.133299828E0,-1.512499928E0,-8.998999596E-1,3.593750656E0
