"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.006780000E-4,-7.340600014E0,2.771800041E0,-3.696899891E0,8.673773852E0
1.030067800E-2,-2.697799921E0,2.807299852E0,1.047600031E0,4.031937834E0
2.030224000E-2,-1.689099908E0,3.884499788E0,6.068999767E-1,4.279103257E0
3.030224000E-2,-1.731299996E0,4.272699833E0,1.169999968E-2,4.610151888E0
4.030224000E-2,-1.520399928E0,4.137700081E0,-5.591999888E-1,4.443521411E0
5.030224000E-2,-1.154999956E-1,3.921599865E0,-2.360000014E-1,3.930392061E0
6.030224000E-2,1.158299923E0,2.402999878E0,5.751999617E-1,2.728904931E0
7.030224000E-2,3.910300016E0,3.167899847E0,2.475800037E0,5.608531134E0
8.031005300E-2,6.526999950E0,4.220200062E0,4.013000011E0,8.747341654E0
9.030224000E-2,9.288099289E0,6.808099747E0,5.793799877E0,1.289135864E1
1.003022400E-1,1.183099937E1,9.596199989E0,6.173899651E0,1.643705075E1
1.103022400E-1,1.408799934E1,1.125119972E1,4.264899731E0,1.852702325E1
1.203022400E-1,1.624729919E1,1.172569942E1,1.128399968E0,2.006838420E1
1.303038030E-1,1.775000000E1,1.145239925E1,-1.423200011E0,2.117180783E1
1.403022400E-1,1.841939926E1,1.036349964E1,-2.873199940E0,2.132912731E1
1.503022400E-1,1.876700020E1,8.681200027E0,-3.299599886E0,2.093921894E1
1.603022400E-1,1.893429947E1,7.344999790E0,-2.230099916E0,2.043110530E1
1.703022400E-1,1.885890007E1,6.947700024E0,-5.281000137E-1,2.010491326E1
1.803053650E-1,1.998760033E1,8.474399567E0,8.429999948E-1,2.172625747E1
1.903022400E-1,2.180839920E1,9.959099770E0,1.508899927E0,2.402221311E1
2.003022400E-1,2.288979912E1,1.029189968E1,3.136199951E0,2.529232794E1
2.103022400E-1,2.316899872E1,1.003279972E1,5.962499619E0,2.594245504E1
2.203022400E-1,2.332959938E1,9.655799866E0,8.698499680E0,2.670521625E1
2.303069280E-1,2.613949966E1,1.059109974E1,9.700799942E0,2.982533078E1
2.403022400E-1,2.746899986E1,1.166749954E1,9.331799507E0,3.126913784E1
2.503022400E-1,2.619029999E1,1.196490002E1,6.842899799E0,2.959587680E1
2.603022400E-1,2.243939972E1,1.181839943E1,3.663100004E0,2.562458832E1
2.703022400E-1,1.742129898E1,1.241799927E1,1.030300021E0,2.141891412E1
2.803038030E-1,1.293109989E1,1.384739971E1,-6.240000129E-1,1.895661360E1
2.903038030E-1,1.007409954E1,1.428829956E1,-6.315999627E-1,1.749405340E1
3.003022400E-1,9.881099701E0,1.460639954E1,2.408299923E0,1.779839732E1
3.103022400E-1,9.764800072E0,1.530029964E1,7.084499836E0,1.948436880E1
3.203022400E-1,8.368999481E0,1.576289940E1,1.015810013E1,2.053524161E1
3.303116150E-1,6.508599758E0,1.641449928E1,1.152530003E1,2.108625614E1
3.403038030E-1,4.459199905E0,1.681780052E1,1.092280006E1,2.054337945E1
3.503022400E-1,2.417000055E0,1.699479866E1,8.935199738E0,1.935207651E1
3.603022400E-1,7.494999766E-1,1.729380035E1,5.964499950E0,1.830881046E1
3.703022400E-1,2.157999873E-1,1.793420029E1,2.611799955E0,1.812466851E1
3.803053650E-1,8.549000025E-1,1.985649872E1,1.200199962E0,1.991109930E1
3.903022400E-1,2.061100006E0,2.275109863E1,2.751699924E0,2.300939970E1
4.003022400E-1,4.137099743E0,2.515649986E1,4.871599674E0,2.595568460E1
4.103022400E-1,6.977399826E0,2.722270012E1,6.092999935E0,2.875559351E1
4.203022400E-1,8.194299698E0,2.892989922E1,6.095900059E0,3.067972643E1
4.303131780E-1,6.950999737E0,2.927409935E1,4.810800076E0,3.047019999E1
4.403022400E-1,4.564799786E0,2.834700012E1,3.566900015E0,2.893289804E1
4.503022400E-1,2.495899916E0,2.679459953E1,3.427599907E0,2.712800254E1
4.603022400E-1,2.477599859E0,2.575739861E1,4.866099834E0,2.632985020E1
4.703022400E-1,6.485799789E0,2.608809853E1,8.769999504E0,2.827662241E1
4.803100530E-1,1.192140007E1,2.704939842E1,1.432629967E1,3.284863158E1
4.903022400E-1,1.671879959E1,3.053719902E1,1.903299904E1,3.967737184E1
5.003022400E-1,2.667409897E1,3.767549896E1,2.014279938E1,5.036549558E1
5.103022400E-1,4.398939896E1,4.355019760E1,1.872889900E1,6.467193046E1
