"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.971983000E-3,1.031999961E-1,3.583000004E-1,-6.280999780E-1,7.304373428E-1
1.597354500E-2,-3.467700005E0,5.655099869E0,4.961499691E0,8.283814160E0
2.597198300E-2,-3.644399881E0,6.204299927E0,5.628299713E0,9.135247437E0
3.597198300E-2,-3.801499844E0,6.478899956E0,5.961499691E0,9.589943913E0
4.597198300E-2,-3.997799873E0,6.528299809E0,6.137499809E0,9.811727989E0
5.597354500E-2,-4.076399803E0,6.528699875E0,6.176099777E0,9.868392264E0
6.597354500E-2,-4.086400032E0,6.568500042E0,6.185199738E0,9.904572369E0
7.597198300E-2,-4.106100082E0,6.569200039E0,6.194099903E0,9.918735839E0
8.597198300E-2,-4.145499706E0,6.589699745E0,6.232299805E0,9.972505773E0
9.597354500E-2,-4.174900055E0,6.610300064E0,6.231099606E0,9.997622702E0
1.059735450E-1,-4.184700012E0,6.611199856E0,6.161399841E0,9.959042410E0
1.159735450E-1,-4.213900089E0,6.583199978E0,6.218899727E0,9.988502877E0
1.259719830E-1,-4.252799988E0,6.594599724E0,6.256499767E0,1.003587777E1
1.359735450E-1,-4.291399956E0,6.576900005E0,6.244899750E0,1.003346900E1
1.459719830E-1,-4.339299679E0,6.568999767E0,6.174799919E0,1.000547019E1
1.559735450E-1,-4.604300022E0,6.578299999E0,5.954899788E0,9.996721515E0
1.659735450E-1,-4.834799767E0,6.648699760E0,5.702099800E0,1.000472086E1
1.759735450E-1,-5.017499924E0,6.712699890E0,5.340899944E0,9.937849743E0
1.859735450E-1,-5.161799908E0,6.769199848E0,5.001999855E0,9.873512416E0
1.959735450E-1,-5.337599754E0,6.836499691E0,4.727200031E0,9.877961293E0
2.059735450E-1,-5.470299721E0,6.962499619E0,4.280399799E0,9.834754822E0
2.159735450E-1,-5.576200008E0,7.019199848E0,4.030200005E0,9.828819111E0
2.259735450E-1,-5.605899811E0,7.074599743E0,3.892199993E0,9.829816631E0
2.359735450E-1,-5.630099773E0,7.108500004E0,3.847499847E0,9.850484802E0
2.459735450E-1,-5.739599705E0,6.983799934E0,3.845399857E0,9.823622873E0
2.559735450E-1,-5.799200058E0,6.798999786E0,3.864899874E0,9.736250328E0
2.659735450E-1,-5.907299995E0,6.643499851E0,3.943499804E0,9.725403550E0
2.759735450E-1,-6.023900032E0,6.499399662E0,3.913399935E0,9.687325049E0
2.859735450E-1,-6.176899910E0,6.329099655E0,3.882499933E0,9.658436761E0
2.959735450E-1,-6.374199867E0,6.163300037E0,3.772399902E0,9.635750740E0
3.059735450E-1,-6.858799934E0,4.405699730E0,1.954299927E0,8.382876288E0
3.159735450E-1,2.273900032E0,-1.243659973E1,-9.326999784E-1,1.267712757E1
3.259735450E-1,-6.156699657E0,-4.921109772E1,-8.993999481E0,5.040366173E1
3.359735450E-1,4.277199745E0,-7.036509705E1,-4.444200039E0,7.063492220E1
3.459735450E-1,1.802219963E1,-6.864239502E1,-2.961699963E0,7.103062537E1
3.559735450E-1,1.069839954E1,-5.423229980E1,-1.329299927E0,5.529344566E1
3.659735450E-1,1.215199947E0,-3.081339836E1,3.308999836E-1,3.083912652E1
3.759735450E-1,-1.617900014E0,-1.535849953E1,3.572199821E0,1.585123717E1
3.859735450E-1,2.864300013E0,-5.297699928E0,5.710899830E0,8.299651556E0
3.959735450E-1,5.221600056E0,-9.294999838E-1,7.486099720E0,9.174462730E0
4.059735450E-1,4.953000069E0,1.668699980E0,9.314000130E0,1.068023257E1
4.159735450E-1,2.364399910E0,4.318500042E0,1.247979927E1,1.341585701E1
4.259735450E-1,-5.379199982E0,1.032520008E1,4.064479828E1,4.227937058E1
4.359735450E-1,1.791099906E0,1.515799999E0,7.256299973E0,7.626242705E0
4.459735450E-1,2.931099892E0,1.440500021E0,-4.639899731E0,5.674068769E0
4.559735450E-1,9.789299965E0,1.263049984E1,-7.310639954E1,7.483251682E1
4.659735450E-1,3.744099855E0,1.221529961E1,-3.431509781E1,3.661635927E1
4.759735450E-1,-1.860000007E-2,1.015499973E1,-8.052299500E0,1.296008846E1
4.859735450E-1,-2.319900036E0,1.093019962E1,7.670099735E0,1.355291961E1
4.959735450E-1,-1.899999976E0,1.067889977E1,3.997900009E0,1.155993532E1
5.059735450E-1,-1.816999912E0,1.000000000E1,1.742900014E0,1.031208947E1
5.159735450E-1,-1.837299943E0,9.853499413E0,1.507900000E0,1.013611781E1
5.259735450E-1,-1.887099981E0,9.798699379E0,1.562699914E0,1.010038053E1
5.359735450E-1,-1.955899954E0,9.756599426E0,1.590099931E0,1.007696357E1
5.459735450E-1,-2.004499912E0,9.717100143E0,1.622499943E0,1.005348503E1
5.559735450E-1,-2.013099909E0,9.729000092E0,1.563300014E0,1.005733170E1
5.659735450E-1,-1.913199902E0,9.782299995E0,1.237399936E0,1.004414684E1
5.759735450E-1,-1.881500006E0,9.778499603E0,1.236099958E0,1.003429319E1
5.859735450E-1,-1.869499922E0,9.775799751E0,1.424700022E0,1.005440505E1
5.959735450E-1,-1.759699941E0,9.803699493E0,1.429299951E0,1.006240359E1
6.059735450E-1,-1.646299958E0,9.816399574E0,1.380499959E0,1.004877029E1
6.159735450E-1,-1.576799989E0,9.812199593E0,1.327799916E0,1.002639575E1
6.259735450E-1,-1.463599920E0,9.782499313E0,1.322399974E0,9.979386716E0
6.359735450E-1,-1.364499927E0,9.811200142E0,1.292099953E0,9.989546064E0
6.459735450E-1,-1.241099954E0,9.809700012E0,1.316100001E0,9.975102137E0
6.559735450E-1,-1.084800005E0,9.816899300E0,1.325799942E0,9.965242014E0
6.659735450E-1,-8.766999841E-1,9.763899803E0,1.360799909E0,9.897177306E0
6.759735450E-1,-7.360999584E-1,9.542499542E0,1.420599937E0,9.675703842E0
6.859735450E-1,-6.934999824E-1,9.280200005E0,1.455799937E0,9.419257285E0
6.959735450E-1,-4.632000029E-1,9.114299774E0,1.485199928E0,9.246125321E0
7.059735450E-1,-2.516999841E-1,8.878099442E0,1.410200000E0,8.992923141E0
7.159735450E-1,6.775000095E-1,8.208799362E0,8.874999881E-1,8.284385883E0
7.259735450E-1,3.638999939E0,2.643699884E0,3.027999997E-1,4.508121280E0
7.359735450E-1,1.294609928E1,-1.596709919E1,-2.587699890E0,2.071825123E1
7.459735450E-1,1.714139938E1,-4.312619781E1,-9.478699684E0,4.736604542E1
7.559735450E-1,1.182059956E1,-6.776179504E1,-1.806239891E1,7.111707035E1
7.659735450E-1,5.832099915E0,-6.861489868E1,-1.376789951E1,7.022515765E1
7.759735450E-1,1.050509930E1,-4.976129913E1,-6.073400021E0,5.121943177E1
7.859735450E-1,1.033430004E1,-2.152689934E1,5.217799664E0,2.444239321E1
7.959735450E-1,7.408399582E0,-5.710399628E0,9.557000160E0,1.337270729E1
8.059735450E-1,6.339299679E0,-3.717099905E0,2.587599993E0,7.790970790E0
8.159735450E-1,5.774999619E0,-4.917699814E0,-2.387300014E0,7.951955320E0
8.259735450E-1,4.532799721E0,-3.744699955E0,-4.402499676E0,7.345138151E0
