"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.059400000E-3,-1.537999958E-1,-1.067999974E-1,-1.259099960E0,1.272946734E0
1.504690000E-2,-1.418299913E0,2.470999956E0,7.629999518E-2,2.850129316E0
2.504533800E-2,-1.829199910E0,2.207099915E0,3.646199942E0,4.638106980E0
3.504690000E-2,-2.973599911E0,2.334399939E0,8.776000023E0,9.555621168E0
4.504690000E-2,-4.578899860E0,2.240599871E0,9.755099297E0,1.100675129E1
5.504533800E-2,-4.973499775E0,1.919600010E0,8.163000107E0,9.749622298E0
6.504533800E-2,-5.654299736E0,1.662599921E0,6.720799923E0,8.938931458E0
7.504690000E-2,-3.456199884E0,1.721699953E0,2.187399864E0,4.437824527E0
8.504690000E-2,-4.002500057E0,1.289199948E0,6.259999871E-1,4.251343223E0
9.504533800E-2,-3.852399826E0,9.505999684E-1,-8.445999622E-1,4.056842838E0
1.050453380E-1,-3.727599859E0,7.849999666E-1,-2.329999924E0,4.465436743E0
1.150453380E-1,-3.447399855E0,1.127099991E0,-3.263499975E0,4.879072887E0
1.250469000E-1,-3.054399967E0,1.593400002E0,-3.896199942E0,5.200832309E0
1.350469000E-1,-2.817899942E0,2.039099932E0,-4.352299690E0,5.571445164E0
1.450469000E-1,-2.546799898E0,2.237499952E0,-4.184000015E0,5.385021066E0
1.550469000E-1,-1.766199946E0,2.477200031E0,-3.911599874E0,4.955461212E0
1.650469000E-1,-5.877000093E-1,2.733999968E0,-3.094599962E0,4.170934673E0
1.750469000E-1,4.463000000E-1,2.600600004E0,-2.382900000E0,3.555350402E0
1.850469000E-1,1.721099973E0,3.046099901E0,-1.672099948E0,3.877734901E0
1.950469000E-1,3.402499914E0,4.077899933E0,-3.405999839E-1,5.321868269E0
2.050469000E-1,4.245599747E0,4.630099773E0,6.425999999E-1,6.314734823E0
2.150469000E-1,7.441399574E0,4.092199802E0,2.531999946E-1,8.496154253E0
2.250469000E-1,9.269999504E0,1.345399976E0,5.597999692E-1,9.383835458E0
2.350469000E-1,1.134759998E1,-1.089100003E0,4.611999989E-1,1.140906962E1
2.450469000E-1,1.238000011E1,-3.568599939E0,1.734399915E0,1.300028659E1
2.550469000E-1,1.235299969E1,-5.705199718E0,4.746699810E0,1.441100497E1
2.650469000E-1,9.781899452E0,-6.974299908E0,5.469399929E0,1.320002847E1
2.750469000E-1,6.929399967E0,-6.355000019E0,4.539400101E0,1.044072614E1
2.850484630E-1,3.485899925E0,-5.024199963E0,3.036700010E0,6.827564024E0
2.950469000E-1,1.835799932E0,-3.599099874E0,2.057999969E-1,4.045495636E0
3.050469000E-1,1.370899916E0,-3.078799963E0,-2.816499949E0,4.392157528E0
3.150469000E-1,1.011600018E0,-2.379499912E0,-5.046400070E0,5.670229986E0
3.250469000E-1,1.823899984E0,-1.507599950E0,-3.980799913E0,4.631008174E0
3.350469000E-1,3.418200016E0,-5.072999597E-1,-1.468999982E-1,3.458760502E0
3.450469000E-1,2.254199982E0,-7.458999753E-1,1.856399894E0,3.013968297E0
3.550469000E-1,7.171999812E-1,-9.962999821E-1,2.561899900E0,2.840830964E0
3.650469000E-1,-2.570999861E-1,-1.617200017E0,2.436599970E0,2.935720646E0
3.750469000E-1,-1.212299943E0,-2.845299959E0,1.424700022E0,3.405168595E0
3.850469000E-1,-2.635799885E0,-4.405099869E0,-7.436000109E-1,5.187030640E0
3.950469000E-1,-3.678499937E0,-5.190700054E0,-2.960999966E0,7.017282212E0
4.050469000E-1,-4.850199699E0,-5.359399796E0,-3.713099957E0,8.126174658E0
