"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.713448000E-3,7.634999752E-1,5.289499760E0,7.808199883E0,9.462014866E0
1.371344800E-2,1.260000020E-1,6.042999625E-1,3.155999780E-1,6.932948805E-1
2.371188600E-2,-9.774999619E-1,1.193799973E0,1.880800009E0,2.432709030E0
3.372282300E-2,-2.303400040E0,3.131999969E-1,2.332200050E0,3.292856367E0
4.371344800E-2,-3.432099819E0,-1.626399994E0,2.246199846E0,4.412470947E0
5.371188600E-2,-3.869699955E0,-3.992599964E0,4.927499771E0,7.429379934E0
6.371188600E-2,-4.397699833E0,-6.335799694E0,8.200499535E0,1.125745594E1
7.371344800E-2,-5.665999889E0,-6.619199753E0,8.781499863E0,1.237061437E1
8.371344800E-2,-6.213999748E0,-4.286699772E0,6.111399651E0,9.712815941E0
9.371188600E-2,-6.317999840E0,-1.300099969E0,2.584499836E0,6.948886336E0
1.037118860E-1,-6.276700020E0,2.561499834E0,-1.602399945E0,6.966055564E0
1.137181360E-1,-6.162399769E0,5.381000042E0,-3.779799938E0,9.012059694E0
1.237134480E-1,-4.565000057E0,6.467599869E0,1.157799959E0,8.000598373E0
1.337134480E-1,-3.224299908E0,5.186899662E0,9.629699707E0,1.140312038E1
1.437134480E-1,-2.642999887E0,2.995299816E0,1.431559944E1,1.486249161E1
1.537134480E-1,-4.669999704E-2,2.129499912E0,1.271070004E1,1.288793413E1
1.637165730E-1,1.163599968E0,1.024699926E0,1.019679928E1,1.031400457E1
1.737134480E-1,9.490000010E-1,-7.531999946E-1,7.932399750E0,8.024392626E0
1.837134480E-1,6.313999891E-1,-2.335700035E0,6.008699894E0,6.477548534E0
1.937134480E-1,9.231999516E-1,-3.918200016E0,3.438599825E0,5.294200437E0
2.037134480E-1,1.989999890E0,-4.820699692E0,9.436999559E-1,5.299982518E0
2.137212610E-1,3.703799963E0,-4.752999783E0,-5.464999676E-1,6.050438274E0
2.237134480E-1,4.324699879E0,-4.244999886E0,-1.078299999E0,6.155142887E0
2.337134480E-1,4.587199688E0,-3.703899860E0,-1.256699920E0,6.028314013E0
2.437228230E-1,5.573999882E0,-2.681900024E0,-1.523299932E0,6.370439946E0
2.537134480E-1,6.284899712E0,-1.520299911E0,-1.369400024E0,6.609578854E0
2.637134480E-1,7.063599586E0,-1.018700004E0,-1.233199954E0,7.242442333E0
2.737134480E-1,7.316099644E0,-1.232399940E0,-1.642199993E0,7.598746240E0
2.837134480E-1,7.004299641E0,-1.727800012E0,-2.251299858E0,7.557371063E0
2.937134480E-1,7.418599606E0,-2.676699877E0,1.898499966E0,8.112006192E0
3.037134480E-1,8.003999710E0,-3.711999893E0,-2.552000046E0,9.184533674E0
3.137134480E-1,8.666899681E0,-4.373600006E0,-6.704199791E0,1.179787362E1
3.237134480E-1,8.736899376E0,-4.164899826E0,-9.353799820E0,1.346006584E1
3.337134480E-1,7.940899849E0,-3.661000013E0,-1.073829937E1,1.384817262E1
3.437134480E-1,6.655399799E0,-3.349399805E0,-9.988900185E0,1.246157905E1
3.537134480E-1,5.850299835E0,-2.255199909E0,-8.325399399E0,1.042229389E1
3.637134480E-1,5.556900024E0,-1.397400022E0,-6.954099655E0,9.010625212E0
3.737134480E-1,4.998300076E0,-1.057099938E0,-6.012399673E0,7.889829767E0
3.837134480E-1,4.284199715E0,-1.089200020E0,-5.434400082E0,7.005242903E0
3.937134480E-1,3.954799891E0,-1.150699973E0,-4.829199791E0,6.347103530E0
4.037196980E-1,3.307999849E0,-1.134099960E0,-3.926699877E0,5.258138230E0
4.137134480E-1,3.575699806E0,-1.153299928E0,-3.122699976E0,4.885384833E0
4.237134480E-1,4.147999763E0,-1.357900023E0,-2.447799921E0,5.004150174E0
4.337134480E-1,4.319600105E0,-1.823699951E0,-1.999499917E0,5.097335235E0
4.437134480E-1,3.976999998E0,-2.155999899E0,-1.712899923E0,4.837239987E0
4.537212610E-1,4.007499695E0,-1.984200001E0,-1.958499908E0,4.881887477E0
4.637134480E-1,4.059700012E0,-2.005300045E0,-2.676199913E0,5.259699462E0
4.737134480E-1,3.955599785E0,-2.314199924E0,-3.645200014E0,5.855747099E0
4.837134480E-1,3.871599913E0,-2.797499895E0,-4.400899887E0,6.494860381E0
4.937134480E-1,3.846999884E0,-3.586399794E0,-4.781499863E0,7.108052653E0
5.037134480E-1,3.869299889E0,-4.693799973E0,-5.009299755E0,7.880122071E0
5.137134480E-1,4.342899799E0,-5.753900051E0,-5.158499718E0,8.864438155E0
5.237134480E-1,4.923999786E0,-6.137599945E0,-4.274300098E0,8.954638369E0
5.337134480E-1,5.019899845E0,-6.063799858E0,-3.331599951E0,8.548018566E0
5.437134480E-1,5.053100109E0,-6.198299885E0,-3.605899811E0,8.772414469E0
5.537134480E-1,5.912899971E0,-5.959199905E0,-3.809199810E0,9.218701252E0
5.637134480E-1,6.723000050E0,-5.910500050E0,-4.238199711E0,9.904295901E0
5.737134480E-1,7.764599800E0,-5.760399818E0,-5.307899952E0,1.102928003E1
5.837134480E-1,8.260999680E0,-5.414899826E0,-6.926099777E0,1.206383496E1
5.937134480E-1,8.434499741E0,-4.889400005E0,-8.211899757E0,1.274685514E1
6.037134480E-1,8.399700165E0,-4.012799740E0,-9.153800011E0,1.305563400E1
6.137134480E-1,7.429999828E0,-2.698400021E0,-9.536600113E0,1.238680757E1
6.237571980E-1,6.300999641E0,-2.023099899E0,-9.970799446E0,1.196713714E1
6.337134480E-1,4.992300034E0,-2.313699961E0,-9.497900009E0,1.097662843E1
6.437134480E-1,3.984599829E0,-2.649099827E0,-8.447199821E0,9.708241371E0
6.537150110E-1,2.419899940E0,-4.203700066E0,-5.325500011E0,7.203329809E0
6.637134480E-1,1.700099945E0,-5.152299881E0,-1.344799995E0,5.589724583E0
6.737134480E-1,1.262699962E0,-6.328399658E0,1.353899956E0,6.593640763E0
6.837134480E-1,1.429999992E-2,-7.574999809E0,2.838399887E0,8.089334986E0
6.937134480E-1,-1.801399946E0,-8.592299461E0,4.014199734E0,9.653312970E0
7.037181360E-1,-4.492899895E0,-9.631599426E0,4.953499794E0,1.172565636E1
7.137134480E-1,-6.336999893E0,-9.357799530E0,5.894599915E0,1.274646178E1
7.237134480E-1,-6.189699650E0,-7.650899887E0,6.735399723E0,1.192536206E1
7.337134480E-1,-5.396999836E0,-6.084699631E0,6.459399700E0,1.038629006E1
7.437134480E-1,-4.584700108E0,-4.369699955E0,4.796099663E0,7.944578324E0
7.537134480E-1,-4.917200089E0,-2.552000046E0,2.885599852E0,6.246458793E0
7.637134480E-1,-4.909800053E0,-6.723999977E-1,7.548999786E-1,5.012796853E0
7.737134480E-1,-4.216000080E0,1.433399916E0,-7.953999639E-1,4.523489040E0
7.837165730E-1,-3.104399920E0,2.965499878E0,-1.506999969E0,4.550004098E0
7.937134480E-1,-2.293799877E0,3.804199934E0,1.939299941E0,4.847095963E0
8.037134480E-1,-1.844499946E0,3.833899975E0,4.100999832E0,5.909244342E0
8.137134480E-1,-1.088099957E0,3.824699879E0,4.253999710E0,5.823126670E0
8.237134480E-1,-1.088199973E0,3.304299831E0,5.761699677E0,6.730509618E0
8.337134480E-1,-1.154299974E0,4.053100109E0,3.737900019E0,5.633109752E0
8.437134480E-1,-5.364999771E-1,4.012099743E0,4.330100060E0,5.927439843E0
8.537134480E-1,6.667000055E-1,4.380300045E0,3.119999886E0,5.419032817E0
8.637134480E-1,1.229099989E0,4.378399849E0,3.518499851E0,5.749862018E0
8.737134480E-1,9.107999802E-1,4.590799809E0,3.638700008E0,5.928333428E0
8.837181360E-1,3.599999845E-2,4.289299965E0,4.581599712E0,6.276180854E0
8.937134480E-1,-5.338999629E-1,4.024499893E0,5.597099781E0,6.914417873E0
9.037134480E-1,-1.657400012E0,4.087199688E0,5.907999992E0,7.372695572E0
9.137134480E-1,-3.030299902E0,4.600299835E0,5.988100052E0,8.136511433E0
9.237134480E-1,-3.353799820E0,5.439199924E0,5.643099785E0,8.525106699E0
9.337243860E-1,-2.831599951E0,6.379799843E0,6.087599754E0,9.261677768E0
9.437134480E-1,-2.202999830E0,7.043799877E0,6.612899780E0,9.909529175E0
9.537134480E-1,-2.389999866E0,7.292500019E0,6.141799927E0,9.829260513E0
9.637134480E-1,-2.447399855E0,7.168099880E0,5.170599937E0,9.170961000E0
9.737134480E-1,-1.567299962E0,7.267899990E0,4.323699951E0,8.600766286E0
9.837181360E-1,-7.392999530E-1,7.031599998E0,3.267199993E0,7.788745647E0
9.937134480E-1,-1.001199961E0,5.888700008E0,1.846699953E0,6.252158817E0
1.003713448E0,-1.245800018E0,3.944999933E0,-5.529999733E-2,4.137402597E0
1.013713448E0,-5.115000010E-1,1.235199928E0,-1.336499929E0,1.890392334E0
1.023713448E0,1.440299988E0,-1.978199959E0,-4.015100002E0,4.701996083E0
1.033713448E0,2.131000042E0,-6.187999725E0,-1.045419979E1,1.233380700E1
1.043713448E0,2.218299866E0,-1.207329941E1,-1.842230034E1,2.213744707E1
1.053713448E0,3.531399965E0,-1.697710037E1,-1.929649925E1,2.594316107E1
1.063713448E0,4.270899773E0,-1.894089890E1,-1.423289967E1,2.407433631E1
1.073713448E0,4.576499939E0,-1.542039967E1,-8.958099365E0,1.841142639E1
1.083713448E0,3.330499887E0,-9.467599869E0,-5.196700096E0,1.130191880E1
1.093713448E0,2.726099968E0,-4.484899998E0,-2.229300022E0,5.702256362E0
1.103713448E0,2.144899845E0,-8.874999881E-1,-4.131000042E-1,2.357732637E0
1.113713448E0,7.274000049E-1,1.878999949E0,-2.884999812E-1,2.035432095E0
1.123713448E0,-6.656000018E-1,3.237499952E0,4.687999785E-1,3.338293385E0
1.133713448E0,-1.653899908E0,2.626799822E0,2.116199970E0,3.756829052E0
1.143713448E0,-2.770599842E0,9.279999882E-2,2.406699896E0,3.671108785E0
1.153713448E0,-2.831599951E0,-3.341899872E0,5.327399731E0,6.896915320E0
1.163713448E0,-3.417299986E0,-6.740299702E0,8.831099510E0,1.162316213E1
1.173718136E0,-5.655600071E0,-7.754399776E0,9.376199722E0,1.341751278E1
1.183713448E0,-6.097099781E0,-5.006499767E0,6.613999844E0,1.029488512E1
1.193713448E0,-6.185899734E0,-1.341099977E0,5.101099968E0,8.129275832E0
1.203713448E0,-6.429499626E0,1.534699917E0,3.109299898E0,7.304896655E0
1.213713448E0,-7.523599625E0,4.495299816E0,-3.134999990E0,9.308087703E0
1.223725948E0,-6.897599697E0,6.811100006E0,-5.228799820E0,1.101400529E1
1.233713448E0,-5.491899967E0,6.223999977E0,4.514499664E0,9.448801415E0
