"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.657820000E-3,7.897999883E-1,-2.286399841E0,-3.669999912E-2,2.419246814E0
1.565782000E-2,-4.030000046E-2,9.829999506E-2,4.027999938E-1,4.165751001E-1
2.565625800E-2,-1.638000011E-1,-7.490000129E-2,1.964999884E-1,2.665571159E-1
3.565782000E-2,-9.989999980E-2,-1.623999923E-1,-4.219999909E-2,1.952808424E-1
4.565782000E-2,1.829999872E-2,-1.773999929E-1,-2.883999944E-1,3.390873106E-1
5.565625800E-2,1.145999953E-1,-1.476999968E-1,-5.730999708E-1,6.028200598E-1
6.565625800E-2,2.675999999E-1,-7.319999486E-2,-1.033399940E0,1.069992259E0
7.565782000E-2,3.709999919E-1,-4.010000080E-2,-1.483500004E0,1.529712805E0
8.565782000E-2,4.730999768E-1,5.849999934E-2,-1.815299988E0,1.876848391E0
9.565782000E-2,4.871999919E-1,1.635999978E-1,-2.116799831E0,2.178295278E0
1.056562580E-1,3.953000009E-1,1.982000023E-1,-2.319499969E0,2.361276231E0
1.156578200E-1,2.574000061E-1,2.114999890E-1,-2.492100000E0,2.514269162E0
1.256578200E-1,1.323999912E-1,1.753000021E-1,-2.752499819E0,2.761252451E0
1.356578200E-1,-2.789999917E-2,1.290999949E-1,-2.943799973E0,2.946761527E0
1.456562580E-1,-2.036999911E-1,1.017000005E-1,-3.046200037E0,3.054696588E0
1.556578200E-1,-2.388999909E-1,2.699999884E-2,-3.037600040E0,3.047099639E0
1.656578200E-1,-3.498999774E-1,4.629999772E-2,-2.943300009E0,2.964386720E0
1.756578200E-1,-4.271000028E-1,7.549999654E-2,-2.702399969E0,2.736983788E0
1.856578200E-1,-4.001999795E-1,1.536999941E-1,-2.422799826E0,2.460435471E0
1.956578200E-1,-2.969000041E-1,2.515999973E-1,-2.113899946E0,2.149424377E0
2.056578200E-1,-7.809999585E-2,3.680999875E-1,-1.755800009E0,1.795670037E0
2.156578200E-1,1.072999984E-1,4.627999961E-1,-1.426999927E0,1.504003297E0
2.256578200E-1,3.091000021E-1,5.443999767E-1,-1.166199923E0,1.323607346E0
2.356578200E-1,4.878999889E-1,5.727999806E-1,-9.240999818E-1,1.191682421E0
2.456578200E-1,5.855999589E-1,6.365999579E-1,-6.711999774E-1,1.094849865E0
2.556578200E-1,6.039999723E-1,5.796999931E-1,-5.153999925E-1,9.831099638E-1
2.656578200E-1,4.575999975E-1,5.020999908E-1,-1.724999994E-1,7.008982867E-1
2.756578200E-1,2.016000003E-1,5.026999712E-1,5.359999835E-2,5.442635216E-1
2.856578200E-1,-6.059999764E-2,5.408999920E-1,-1.199999973E-1,5.573555063E-1
2.956578200E-1,-3.504999876E-1,5.285999775E-1,-2.919999957E-1,6.982350428E-1
3.056578200E-1,-5.372999907E-1,5.945999622E-1,-3.454000056E-1,8.726634855E-1
3.156578200E-1,-4.784999788E-1,6.886999607E-1,-5.353999734E-1,9.949487409E-1
3.256578200E-1,-3.179000020E-1,8.501999974E-1,-6.175999641E-1,1.097875295E0
3.356578200E-1,-1.573999971E-1,9.541999698E-1,-5.245000124E-1,1.100169353E0
3.456578200E-1,1.287000030E-1,1.022300005E0,-1.884000003E-1,1.047451933E0
3.556578200E-1,4.025000036E-1,9.389999509E-1,4.192000031E-1,1.104289728E0
3.656578200E-1,6.965000033E-1,7.349999547E-1,1.053099990E0,1.460943797E0
3.756578200E-1,8.192999959E-1,4.402000010E-1,1.556800008E0,1.813464857E0
3.856578200E-1,8.234999776E-1,9.479999542E-2,2.136100054E0,2.291301528E0
3.956578200E-1,7.615999579E-1,-2.333000004E-1,2.654399872E0,2.771335791E0
4.056578200E-1,4.988999963E-1,-4.378999770E-1,3.161399841E0,3.230341554E0
4.156578200E-1,1.375999898E-1,-3.655000031E-1,3.207499981E0,3.231188657E0
4.256578200E-1,2.129999921E-2,-1.079999954E-1,2.754799843E0,2.756998343E0
4.356578200E-1,3.093000054E-1,4.910000041E-2,2.224499941E0,2.246436576E0
4.456578200E-1,8.258000016E-1,-1.799999923E-2,1.860099912E0,2.035249696E0
4.556578200E-1,1.397699952E0,-1.107999980E-1,1.875599980E0,2.341733777E0
4.656578200E-1,1.794299960E0,-1.577000022E-1,2.269999981E0,2.897806334E0
