"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.121919000E-3,-5.411299706E0,2.648999989E-1,-4.748799801E0,7.204403935E0
1.412348100E-2,1.094399929E0,-5.159000158E-1,1.929999888E-2,1.210056412E0
2.412348100E-2,7.312999964E-1,-2.516999841E-1,2.822999954E-1,8.233139463E-1
3.412348100E-2,4.718999863E-1,1.991999894E-1,4.842999876E-1,7.049231949E-1
4.412348100E-2,1.064999998E-1,6.656000018E-1,6.492999792E-1,9.359252509E-1
5.412348100E-2,-3.351999819E-1,1.151499987E0,8.402000070E-1,1.464324861E0
6.412348100E-2,-9.309999943E-1,1.565400004E0,1.007300019E0,2.081319652E0
7.412191900E-2,-1.505899906E0,1.844599962E0,1.145699978E0,2.642520007E0
8.412191900E-2,-2.157799959E0,1.989999890E0,1.138999939E0,3.148574453E0
9.412191900E-2,-2.798099995E0,1.972700000E0,1.017099977E0,3.571470458E0
1.041234810E-1,-3.309499979E0,1.889999986E0,7.900999784E-1,3.892190647E0
1.141234810E-1,-3.662699938E0,1.751500010E0,5.751999617E-1,4.100485108E0
1.241234810E-1,-3.809199810E0,1.644299984E0,4.107999802E-1,4.169230415E0
1.341219190E-1,-3.680899858E0,1.557099938E0,3.445000052E-1,4.011516451E0
1.441219190E-1,-3.298599958E0,1.546199918E0,3.456999958E-1,3.659372126E0
1.541234810E-1,-2.875200033E0,1.451599956E0,2.520000041E-1,3.230699872E0
1.641234810E-1,-2.366699934E0,1.478899956E0,4.564999938E-1,2.827862426E0
1.741234810E-1,-1.799600005E0,1.574699998E0,8.513999581E-1,2.538330583E0
1.841234810E-1,-1.351499915E0,1.617999911E0,1.086599946E0,2.371745175E0
1.941234810E-1,-1.141099930E0,1.557399988E0,1.120199919E0,2.232140594E0
2.041234810E-1,-1.079499960E0,1.482599974E0,1.149199963E0,2.164274336E0
2.141234810E-1,-1.097899914E0,1.422799945E0,1.152999997E0,2.135217295E0
2.241234810E-1,-1.166100025E0,1.379999995E0,1.101199985E0,2.115852231E0
2.341234810E-1,-1.282999992E0,1.356299996E0,9.939999580E-1,2.115106280E0
2.441234810E-1,-1.369499922E0,1.314499974E0,8.613999486E-1,2.084574319E0
2.541234810E-1,-1.327099919E0,1.245499969E0,6.751999855E-1,1.941226259E0
2.641234810E-1,-1.145699978E0,1.209499955E0,5.264999866E-1,1.747203714E0
2.741234810E-1,-8.650999665E-1,1.127099991E0,4.791999757E-1,1.499461556E0
2.841234810E-1,-6.434999704E-1,9.375999570E-1,5.464999676E-1,1.261684630E0
2.941234810E-1,-2.554999888E-1,7.092999816E-1,6.114999652E-1,9.707311243E-1
3.041328560E-1,2.989999950E-1,4.919999838E-1,7.246999741E-1,9.255566074E-1
3.141234810E-1,1.019999981E0,2.364999950E-1,9.753999710E-1,1.430991723E0
