"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.170366000E-3,-1.150999963E-1,-1.179799914E0,4.214999974E-1,1.258108936E0
1.216411600E-2,4.211800098E0,-2.631500006E0,1.485299945E0,5.183644304E0
2.216411600E-2,4.613699913E0,-2.719799995E0,1.240399957E0,5.497465867E0
3.216567800E-2,5.181799889E0,-2.808399916E0,9.377999902E-1,5.968050686E0
4.216567800E-2,5.798099995E0,-3.005199909E0,5.780999660E-1,6.556171872E0
5.216411600E-2,6.109499931E0,-3.084499836E0,2.010999918E-1,6.846938721E0
6.216411600E-2,6.096499920E0,-3.134299994E0,2.699999837E-3,6.855009483E0
7.216411600E-2,5.858200073E0,-3.261799812E0,1.580999941E-1,6.706924908E0
8.216567800E-2,5.484399796E0,-3.544799805E0,8.209999800E-1,6.581662992E0
9.216411600E-2,5.064099789E0,-3.708799839E0,1.694700003E0,6.501716005E0
1.021656780E-1,4.763499737E0,-3.676199913E0,2.386800051E0,6.473190096E0
1.121656780E-1,4.639899731E0,-3.516599894E0,2.508199930E0,6.339259516E0
1.221656780E-1,4.760099888E0,-3.318799973E0,2.229199886E0,6.216294421E0
1.321656780E-1,5.073199749E0,-2.957700014E0,1.855499983E0,6.158589551E0
1.421656780E-1,5.490299702E0,-2.542799950E0,1.679999948E0,6.279460345E0
1.521656780E-1,5.914000034E0,-1.986400008E0,1.643299937E0,6.451481697E0
1.621656780E-1,6.481099606E0,-1.089499950E0,1.673200011E0,6.781685669E0
1.721656780E-1,6.938199997E0,-2.478999943E-1,1.684199929E0,7.143990692E0
1.821656780E-1,7.261199951E0,4.669999778E-1,1.555199981E0,7.440548413E0
1.921656780E-1,7.574899673E0,1.016399980E0,1.323699951E0,7.756568542E0
2.021656780E-1,7.779299736E0,1.519500017E0,1.086099982E0,8.000374857E0
2.121656780E-1,7.943999767E0,2.120499849E0,8.732999563E-1,8.268391907E0
2.221656780E-1,7.985199928E0,2.544699907E0,7.879999876E-1,8.417829857E0
2.321656780E-1,8.101200104E0,2.981799841E0,7.196999788E-1,8.662478945E0
2.421656780E-1,8.315199852E0,3.397599936E0,6.592000127E-1,9.006707420E0
2.521656780E-1,8.720499992E0,3.644399881E0,7.958999872E-1,9.484841981E0
2.621656780E-1,9.097299576E0,3.819299936E0,1.150099993E0,9.933309699E0
2.721656780E-1,9.178500175E0,3.930599928E0,1.630999923E0,1.011704710E1
2.821656780E-1,9.033399582E0,4.007100105E0,2.056099892E0,1.009389449E1
2.921656780E-1,8.800499916E0,3.959800005E0,2.486899853E0,9.965615171E0
3.021656780E-1,8.453100204E0,3.749599934E0,2.809700012E0,9.664823686E0
3.121656780E-1,8.073399544E0,3.406999826E0,3.117599964E0,9.300906276E0
3.221656780E-1,7.516899586E0,3.245800018E0,3.386499882E0,8.860438961E0
3.321656780E-1,6.651000023E0,3.139199972E0,3.541999817E0,8.163096255E0
3.421656780E-1,5.667399883E0,3.147099972E0,3.294199944E0,7.271548180E0
