"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.240310000E-4,-1.348899961E0,-7.361799717E0,-1.440400004E0,7.621704425E0
1.011778100E-2,-5.018999577E-1,3.467999995E-1,6.409999728E-2,6.134187940E-1
2.011621900E-2,-3.419999778E-2,2.334999889E-1,-1.362999976E-1,2.725244466E-1
3.011621900E-2,3.224000037E-1,1.149000004E-1,-2.441999912E-1,4.204490554E-1
4.011621900E-2,8.254999518E-1,1.520999968E-1,-5.087000132E-1,9.815091864E-1
5.011778100E-2,1.612800002E0,2.849999964E-1,-1.654999971E0,2.328384365E0
6.011621900E-2,2.154099941E0,3.077999949E-1,-2.189599991E0,3.086945985E0
7.011778100E-2,2.919999838E0,3.091000021E-1,-2.751899958E0,4.024288166E0
8.011778100E-2,4.693599701E0,7.184999585E-1,-3.931599855E0,6.164705813E0
9.011778100E-2,5.672899723E0,9.298999906E-1,-5.721499920E0,8.110614440E0
1.001177810E-1,5.434299946E0,1.107599974E0,-5.623199940E0,7.898023244E0
1.101177810E-1,5.417099953E0,1.767599940E0,-5.568500042E0,7.967281479E0
1.201162190E-1,4.638599873E0,2.453899860E0,-5.179299831E0,7.373152653E0
1.301162190E-1,3.673899889E0,2.680099964E0,-4.005700111E0,6.060207059E0
1.401177810E-1,3.053900003E0,2.497499943E0,-3.052799940E0,4.988326239E0
1.501177810E-1,2.427999973E0,1.936699986E0,-2.097100019E0,3.747508399E0
1.601177810E-1,2.008699894E0,7.544999719E-1,-2.712000012E-1,2.162797936E0
1.701271560E-1,2.326099873E0,-6.822999716E-1,1.133000016E0,2.675810701E0
1.801177810E-1,1.340899944E0,-2.643599987E0,1.041599989E0,3.141904532E0
1.901177810E-1,6.482999921E-1,-3.112399817E0,7.963999510E-1,3.277434725E0
2.001177810E-1,-7.589999586E-2,-3.379499912E0,1.630699992E0,3.753127087E0
2.101177810E-1,-2.851999998E-1,-3.876999855E0,2.230900049E0,4.482118020E0
2.201177810E-1,-2.437999994E-1,-4.943599701E0,1.909299970E0,5.305095929E0
2.301177810E-1,1.676999927E-1,-5.264899731E0,1.586399913E0,5.501268685E0
2.401177810E-1,2.709999867E-2,-5.544600010E0,1.229499936E0,5.679348006E0
2.501177810E-1,-1.759999990E-1,-5.444099903E0,1.085600019E0,5.554073024E0
2.601177810E-1,-4.043999910E-1,-5.145299911E0,1.358099937E0,5.336861060E0
2.701177810E-1,-8.950999975E-1,-5.022599697E0,1.799099922E0,5.409664708E0
2.801177810E-1,-8.050999641E-1,-4.710799694E0,2.124699831E0,5.230121326E0
2.901177810E-1,-1.084900022E0,-4.658499718E0,2.426100016E0,5.363262903E0
3.001177810E-1,-8.417999744E-1,-4.334399700E0,2.531299829E0,5.089511449E0
3.101177810E-1,-1.075699925E0,-4.111299992E0,2.539899826E0,4.950859428E0
3.201177810E-1,-1.226099968E0,-3.742999792E0,2.367799997E0,4.595633297E0
3.301177810E-1,-1.292899966E0,-3.092900038E0,2.146800041E0,3.980750103E0
3.401177810E-1,-1.737899899E0,-2.418200016E0,1.928999901E0,3.548102027E0
3.501177810E-1,-2.119999886E0,-1.592199922E0,1.666199923E0,3.131408994E0
3.601177810E-1,-2.498199940E0,-7.229999900E-1,1.349599957E0,2.930042998E0
3.701177810E-1,-2.883199930E0,2.080000006E-2,1.098600030E0,3.085481567E0
3.801177810E-1,-3.137499809E0,5.809000134E-1,9.659000039E-1,3.333813537E0
3.901177810E-1,-3.378799915E0,9.865999818E-1,8.835999966E-1,3.629106963E0
4.001177810E-1,-3.479699850E0,1.237800002E0,8.121999502E-1,3.781551091E0
4.101177810E-1,-3.568099976E0,1.353899956E0,9.753999710E-1,3.939008458E0
4.201177810E-1,-3.624399900E0,1.334699988E0,1.191299915E0,4.041892402E0
4.301177810E-1,-3.462499857E0,1.307799935E0,1.314399958E0,3.927708388E0
4.401177810E-1,-3.171599865E0,1.272099972E0,1.328899980E0,3.666505039E0
4.501177810E-1,-2.851199865E0,1.293699980E0,1.291299939E0,3.386806142E0
4.601177810E-1,-2.561499834E0,1.282299995E0,1.143299937E0,3.084268053E0
4.701177810E-1,-2.361700058E0,1.217800021E0,1.119599938E0,2.883429915E0
4.801177810E-1,-2.222300053E0,1.168499947E0,9.745000005E-1,2.693261944E0
4.901177810E-1,-2.044899940E0,1.104900002E0,7.964999676E-1,2.456996537E0
5.001177810E-1,-1.760899901E0,1.085799932E0,6.082999706E-1,2.156329940E0
5.101177810E-1,-1.544099927E0,1.020900011E0,4.353999794E-1,1.901592638E0
5.201177810E-1,-1.375399947E0,9.266999960E-1,2.876999974E-1,1.683231768E0
5.301177810E-1,-1.146999955E0,8.618999720E-1,2.179999948E-1,1.451207930E0
5.401177810E-1,-9.470999837E-1,8.269000053E-1,1.600999981E-1,1.267435997E0
5.501177810E-1,-7.461000085E-1,8.220999837E-1,1.348000020E-1,1.118340130E0
5.601177810E-1,-5.931000113E-1,8.376999497E-1,9.399999678E-2,1.030701134E0
5.701177810E-1,-2.818000019E-1,9.036999941E-1,1.160999984E-1,9.537107161E-1
5.801177810E-1,5.939999968E-2,9.504999518E-1,8.309999853E-2,9.559728700E-1
5.901177810E-1,4.681999981E-1,1.005499959E0,9.200000018E-2,1.112971431E0
6.001177810E-1,8.254999518E-1,9.393999577E-1,9.259999543E-2,1.253992508E0
6.101177810E-1,1.198699951E0,8.683999777E-1,7.409999520E-2,1.482056309E0
6.201177810E-1,1.597399950E0,7.114999890E-1,4.779999703E-2,1.749343784E0
6.301177810E-1,2.042500019E0,5.259999633E-1,1.024999991E-1,2.111631724E0
6.401177810E-1,2.452699900E0,3.201999962E-1,3.469999880E-2,2.473756036E0
6.501177810E-1,2.869599819E0,9.879999608E-2,-3.189999983E-2,2.871477350E0
6.601177810E-1,3.107199907E0,-1.384000033E-1,-2.768000066E-1,3.122573309E0
6.701177810E-1,3.382399797E0,-3.615999818E-1,-7.896999717E-1,3.492135304E0
6.801177810E-1,3.793399811E0,-4.626999795E-1,-1.802699924E0,4.225363938E0
6.901177810E-1,3.994299889E0,7.699999958E-3,-2.660300016E0,4.799133991E0
7.001177810E-1,4.536799908E0,1.008399963E0,-2.881500006E0,5.468314747E0
7.101177810E-1,5.752899647E0,4.113999903E-1,-1.536639977E1,1.641314553E1
7.201177810E-1,5.381399632E0,-3.921999931E-1,-2.156929970E1,2.223393740E1
7.301287190E-1,5.435199738E0,-6.653000116E-1,-1.502909946E1,1.599555723E1
7.401177810E-1,5.751699924E0,-8.378999829E-1,-9.915299416E0,1.149335856E1
7.501177810E-1,5.053599834E0,-1.248000026E0,-6.548699856E0,8.365515235E0
7.601177810E-1,3.951200008E0,-1.429399967E0,-4.441599846E0,6.114161837E0
7.701177810E-1,3.007799864E0,-1.177799940E0,-3.029199839E0,4.428332009E0
7.801177810E-1,1.998199940E0,-7.073000073E-1,-2.011399984E0,2.922123577E0
7.901177810E-1,1.082000017E0,-2.929999828E-1,-1.412699938E0,1.803411806E0
8.001177810E-1,4.490000010E-1,4.419999942E-2,-1.038999915E0,1.132729211E0
8.101177810E-1,-1.659999974E-2,1.933999956E-1,-7.069999576E-1,7.331630503E-1
8.201177810E-1,-3.334999979E-1,1.518999934E-1,-4.301999807E-1,5.651264283E-1
8.301177810E-1,-4.226999879E-1,-1.010999978E-1,-1.501999944E-1,4.598440253E-1
8.401177810E-1,-3.333999813E-1,-5.857999921E-1,4.769999906E-2,6.757162630E-1
8.501177810E-1,-8.439999819E-2,-1.457700014E0,2.269999981E-1,1.477681187E0
8.601177810E-1,6.191999912E-1,-2.390599966E0,2.999999821E-1,2.487644833E0
8.701177810E-1,1.090199947E0,-3.354699850E0,3.980999887E-1,3.549793038E0
8.801177810E-1,1.112800002E0,-3.936899900E0,3.186999857E-1,4.103544121E0
8.901177810E-1,6.864999533E-1,-4.263700008E0,-8.639999479E-2,4.319477388E0
9.001177810E-1,-2.229999937E-2,-4.538599968E0,-2.533999979E-1,4.545723102E0
9.101177810E-1,-8.948999643E-1,-4.589900017E0,-8.410000056E-2,4.677082522E0
9.201177810E-1,-2.068500042E0,-4.514899731E0,1.204999983E-1,4.967648564E0
9.301177810E-1,-2.883199930E0,-4.212899685E0,1.338000000E-1,5.106786468E0
9.401177810E-1,-3.279099941E0,-3.554999828E0,2.451999933E-1,4.842586421E0
9.501177810E-1,-3.513099909E0,-2.614199877E0,4.852999747E-1,4.405840218E0
9.601177810E-1,-3.556799889E0,-1.542099953E0,6.107000113E-1,3.924519361E0
9.701177810E-1,-3.725199938E0,-6.370999813E-1,7.965999842E-1,3.862328637E0
9.801177810E-1,-3.980700016E0,-1.184999943E-1,1.008800030E0,4.108246873E0
9.901177810E-1,-4.274199963E0,2.493999898E-1,1.175400019E0,4.439881854E0
1.000117781E0,-4.340899944E0,6.254999638E-1,1.208199978E0,4.549110871E0
1.010117781E0,-4.329299927E0,5.880999565E-1,1.289799929E0,4.555467404E0
1.020117781E0,-4.309199810E0,5.004999638E-1,1.415399909E0,4.563229133E0
1.030117781E0,-4.123399734E0,4.131000042E-1,1.379199982E0,4.367524422E0
1.040117781E0,-3.722499847E0,3.953000009E-1,1.165799975E0,3.920759721E0
1.050117781E0,-3.469799995E0,4.264999926E-1,7.060999870E-1,3.566509700E0
1.060117781E0,-3.237099886E0,4.573999941E-1,3.676999807E-1,3.289868341E0
1.070117781E0,-3.003999949E0,4.001999795E-1,2.620999813E-1,3.041853401E0
1.080117781E0,-2.710899830E0,3.926999867E-1,2.180999964E-1,2.747864403E0
1.090117781E0,-2.436800003E0,3.949999809E-1,3.445999920E-1,2.492542556E0
1.100117781E0,-2.015199900E0,5.342999697E-1,4.530999959E-1,2.133496356E0
1.110117781E0,-1.653299928E0,6.620999575E-1,5.895000100E-1,1.875976350E0
1.120117781E0,-1.595600009E0,6.311999559E-1,8.416999578E-1,1.911233003E0
1.130117781E0,-1.580500007E0,4.108999968E-1,1.110100031E0,1.974624308E0
1.140117781E0,-1.584999919E0,2.193999887E-1,1.367200017E0,2.104660777E0
1.150117781E0,-1.423299909E0,2.338999957E-1,1.464599967E0,2.055613023E0
1.160117781E0,-1.321799994E0,2.775000036E-1,1.348699927E0,1.908704526E0
1.170127156E0,-1.182600021E0,3.698999882E-1,1.056800008E0,1.628556130E0
1.180117781E0,-9.548999667E-1,4.536999762E-1,4.963999987E-1,1.167942881E0
1.190117781E0,-4.893999994E-1,4.623000026E-1,-1.542000026E-1,6.906600412E-1
1.200117781E0,2.741999924E-1,4.849999845E-1,-1.205899954E0,1.328384477E0
1.210117781E0,1.060999990E0,5.008000135E-1,-2.036000013E0,2.349854822E0
1.220117781E0,2.390699863E0,6.259999871E-1,-2.649899960E0,3.623436437E0
1.230117781E0,3.602099895E0,6.973999739E-1,-3.263199806E0,4.910189747E0
1.240117781E0,5.614299774E0,1.289399981E0,-7.383399963E0,9.364694831E0
1.250117781E0,6.869400024E0,1.769899964E0,-9.569099426E0,1.191171131E1
1.260117781E0,5.874700069E0,1.688300014E0,-6.765899658E0,9.118105945E0
1.270117781E0,5.065700054E0,2.221600056E0,-4.901099682E0,7.390372246E0
1.280117781E0,4.557600021E0,2.804499865E0,-4.895499706E0,7.252782557E0
1.290117781E0,4.093699932E0,2.992499828E0,-4.373199940E0,6.696141581E0
1.300117781E0,3.621599913E0,2.764899969E0,-3.905399799E0,6.001067018E0
1.310117781E0,3.615499973E0,2.268699884E0,-3.587899923E0,5.576007988E0
1.320117781E0,3.955499887E0,1.328099966E0,-3.400099993E0,5.382425925E0
1.330117781E0,3.832399845E0,-2.142999917E-1,-2.593299866E0,4.632323095E0
1.340117781E0,3.369799852E0,-1.697799921E0,-1.115299940E0,3.934713404E0
1.350117781E0,2.596999884E0,-2.461599827E0,2.768000066E-1,3.588941396E0
1.360117781E0,1.492299914E0,-2.494499922E0,9.127999544E-1,3.046751163E0
1.370117781E0,4.957999885E-1,-2.396199942E0,1.575899959E0,2.910507253E0
1.380117781E0,2.241999954E-1,-2.353600025E0,1.842000008E0,2.997109065E0
1.390117781E0,1.269000024E-1,-2.663800001E0,1.965899944E0,3.313109815E0
